	index_id	category	text	gpt-3
0	1523	science/technology	Mutasi manambah variasi genetik baru, dan seleksi maapuihnyo dari kumpualan variasi taekspresikan.	Based on the provided text, it appears to be a piece of news related to science/technology.
1	1644	science/technology	Bom atom bakarajo sasuai prinsip bahasonyo paralu energi untuak manyatuan inti atom jo banyak proton sarato neutron.	This appears to be a piece of news regarding science/technology. It discusses the principles of atomic energy and the role of protons and neutrons in the atomic nucleus.
2	558	science/technology	Inti atom ko tadiri ateh duo partikel – neutron jo proton.	This piece of news is related to science/technology.
3	456	science/technology	Hal iko mambuek lensa zoom bisa mambuek gambar bakualitas sabandiang jo nan dicapai lensa jo jarak pokus nan tatap.	This piece of news is regarding science/technology. It discusses the development of a zoom lens that can capture high-quality images from a distance.
4	906	science/technology	Untuak babarapo alasan urang tu mampunyoi kuaso tahadok web proxies: inyo manguasoi lalu linteh internet, indak hanyo htpp.	Based on the provided text, it is difficult to determine the category of the news article. The text appears to be written in a language other than English, making it challenging to understand the context. Additionally, the content does not provide any specific information related to science/technology, travel, politics, sports, health, or geography.
5	452	science/technology	Desain interaktip mamaraluan dunsanak untuak maninjau ulang soal asumsi tantang produksi media dan baraja untuak bapikia jo caro nan indak linier.	Based on the provided text, it is difficult to determine the specific category of the news article. It appears to be written in a language that I am not familiar with. Please provide a translation or more context so that I can assist you better.
6	1557	science/technology	Hal iko manjadi katantuan umum, tapi basi tu mambuek roda kayu padati labiah capek abih.	Based on the provided text, it is difficult to categorize this news article into any specific category.
7	1360	science/technology	Kawanan tabantuak dari ciek atau tigo jantan gadang nan batalian, sarato jo sabanyak tigo puluah batino jo anak singo.	I'm sorry, but I cannot understand the language you used in your message. Could you please provide the text in English or clarify your question?
8	1675	science/technology	Walau AI acok dikaikan sabuah makna kieh carito hayalan ilimu pangatauan, AI manjadi cabang nan sangaik pantiang di bidang ilimu pangatauan komputer, nan baurusan jo parangai, pambalajaran, jo panyasuaian kapandaian dari sabuah masin.	I'm sorry, but I couldn't understand the language you used. Can you please rephrase your question in English?
9	1430	science/technology	Aspek rasio dari format ko (dibagi duo baleh untuak mandapekan rasio saluruah-nomor) dek karano itu disabuik 3:2.	Based on the provided text, it is difficult to determine the category of the news article. Could you please provide more information or context about the content of the article?
10	1907	science/technology	Umumnyo satelit talepon indak dapek mambarantian karajo hape, sarancaknyo dunsanak kalua ruangan nan tajangkau dek satelit untuak manalepon.	Based on the information provided, this news article appears to be related to science/technology. It discusses the inability to make phone calls in certain areas due to satellite disruptions.
