index_id	category	text
797	technology	Si viatges amb un ordinador portàil o una tauleta, desa-hi una còpia a la memòria o al disc (que s'hi pugui accedir sense Internet).
830	travel	A alguns trens que travessen fronteres es realitzen inspeccions mentre el tren està en marxa i heu de tenir un document d'identitat vàlid quan embarqueu a un d'aquests.
150	business	Al Virgin Group de Sir Richard Branson li van rebutjar la licitació del banc abans que fos nacionalitzat.
1806	travel	Alguns animals, com els elefants o les girafes, tendeixen a apropar-se als cotxes, i l'equipament estàndard permetrà unes bones vistes.
902	disasters	Un tornado és una columna giratòria d'aire a molt baixa pressió, que xucla l'aire circumdant cap a dins i cap a dalt.
1225	sports	Del Potro tenia l'avantatge en el segon set, però també aquí ha calgut un desempat després d'assolir el 6-6.
1342	science	El suc de col llombarda canvia de color segons com d'àcida o bàsica (alcalina) sigui una substància.
1959	nature	El parc nacional de Plitvice Lakes és molt boscós, amb faigs, pícees i avets, i alberga una mescla de vegetació alpina i mediterrània.
341	business	"Pel que fa a la situació financera global, Zapatero va continuar dient que ""el sistema financer és una part de l'economia, una part crucial."
352	science	La tensió superficial es produeix perquè les molècules d'aigua a la superfície s'atrauen fortament entre sí més del que ho fan amb les molècules d'aire que estan per sobre d'elles.
448	nature	Cada any devers octubre prop de 1.5 milions d'herbívors viatgen cap a les planures del sud, travessant el Riu Mara, des dels turons del nord per les pluges.
386	politics	El rei Sejong va ser el quart monarca de la dinastia Joseon i és un dels més ben considerats.
1438	religion	L'autoritat principal de l'església havia estat a Roma durant més de mil anys i aquesta concentració de poder i diners va comportar que molta gent es demanés si s'estava complint aquest dogma.
394	politics	"No obstant la Marina Reial seguia sent molt més poderosa que l'alemanya (""Kriegsmarine"") i podria haver destruït qualsevol flota invasora que intentés travessar el Canal de la Mànega."
1977	education	No cal dir que si coneixeu una llengua romanç us serà més fàcil d'aprendre portuguès.
1719	nature	El Parc Nacional Kruger està situat al nord-est de Sud-àfrica i recorre la frontera de Moçambic a l'est, i la de Zimbàbue al nord, i el Riu Crocodile marca la frontera sud.
29	crime	S'ha calat foc a la presó iraquiana d'Abu Ghraib durant una revolta.
845	entertainment	"Tanmateix, avui en dia hi ha artistes de renom, esdeveniments relacionats amb el grafit i murs ""legals"". Les obres de grafit en aquest context sovint tenen més d'obres d'art que de gargots il·legibles."
165	crime	Els atacants de Bombai van arribar en vaixell el 26 de novembre de 2008, portant amb ells granades i armes automàtiques. Van atacar diversos objectius, entre ells la concorreguda estació de tren Chhatrapati Shivaji Terminus i el famós hotel Taj Mahal.
261	business	Nigèria havia anunciat prèviament que tenia previst d'unir-se a l'AfCFTA en la setmana prèvia a la cimera.
531	sports	En una ronda habitual es juguen divuit forats; els jugadors solen començar pel primer forat del recorregut i acabar pel divuitè.
1599	nature	Les mutacions poden tenir una varietat d'efectes diferents depenent del tipus de mutació, la importància del tros de material genètic afectat i si les cèl·lules afectades són cèl·lules de la línia germinal.
428	geography	El territori de Turquia fa més de 1.600 quilòmetres (1.000 milles) de llarg i 800 km (500 milles) d'ample, amb una forma més o menys rectangular.
1206	health	Hamilton va confirmat que l'Hospital Universitari de Howard havia admès que el pacient es trobava en estat estable.
277	politics	L'antic governador de Massachusetts Mitt Romney va guanyar les eleccions primàries presidencials del Partit Republicà de Florida el dimarts amb més d'un 46 per cent del vot.
2	disasters	El Saab 39 Gripen es va estavellar contra una pista a aproximadament les 09:30 AM hora local (02:30 UTC) i va explotar, fent que l'aeroport es tanqués a vols comercials.
719	geography	La República Dominicana (en espanyol: República Dominicana) és un país caribeny que ocupa la meitat oriental de l'illa de la Hispaniola, que comparteix amb Haití.
324	geography	La tempesta, localitzada aproximadament a 3.000 milles de Miami, Florida, té vents sostinguts màxims de 40 mph (64 km/h).
15	business	"Els ""Papers de Panamà"" és un hiperònim que designa uns deu milions de documents del bufet d'advocats panameny Mossack Fonseca, filtrats a la premsa a la primavera del 2016."
13	sports	Nadal va aconseguir un 88% de punts nets en el partit, guanyant 76 punts amb el primer servei.
1276	crime	Els acusats es diuen Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar i Vishnu Kanjar.
37	entertainment	El programa PBS té més de dues dotzenes de premis Emmy, i la seva emissió només és més curta que la de Barri Sèsam i la de Mister Rogers' Neighborhood.
1192	health	El fotògraf va ser traslladat al Ronal Reagan UCLA Medical Center, on posteriorment va morir.
1239	entertainment	És molt maca i a més canta força bé va dir, segons una transcripció de la roda de premsa.
373	science	Com m'estiraria la gravetat de Io? Si us trobéssiu dempeus sobre la superfície de Io, pesaríeu menys que si ho féssiu a la Terra.
42	disasters	És probable que la tempesta, situada a uns 1040 km a l'oest de les illes de cap Verd, es dissipi abans d'amenaçar qualsevol zona terrestre, segons els pronòstics.
1780	travel	Durant tot l'any es fan molts viatges a l'escull i són rares les lesions degudes a qualsevol d'aquestes causes.
533	sports	A aquest joc s'hi juga sobre gespa i la gespa al voltant del forat se sega més curta i s'anomena green.
167	politics	L'atac va sobrecarregar les relacions entre l'Índia i el Pakistan.
57	crime	"Segons l'Ansa, ""la policia estava preocupada per un parell d'atacs d'alt nivell, que temien que poguessin encendre una veritable guerra de successió."
1264	politics	Huhne s'ha resignat i serà substituït al Cabinet pel parlamentari Ed Davey. S'espera que el parlamentari Norman Lamb prengui possessió del Ministeri de Comerç que Davey deixarà vacant.
460	entertainment	La majoria de televisions es fan de tal manera que agradin al públic general.
1911	education	Això és especialment popular entre estudiants que no han acabat els estudis, donant-los la possibilitat de prendre's un any abans de començar la universitat, sense comprometre la seva educació.
1631	religion	Tots els ciutadans de la Ciutat del Vaticà són catòlics romans.
1997	religion	Per descomptat, hi ha explicacions teològiques cristianes per a aquesta tradició, però és molt plausible que es tracti d'un ritual de primavera i fertilitat anterior al cristianisme.
142	sports	La decisió de l'NBA arriba després que un jugador de l'Utah Jazz hagi resultat positiu en una prova pel virus de la COVID-19.
197	health	L'estat del president és estable, així i tot, es quedarà aïllat a casa uns quants de dies.
107	geography	S'espera que quan la càpsula arribi a la Terra i entri a l'atmosfera, cap a les cinc de la matinada (hora de l'est dels EUA), produeixi un espectacle de llums pels habitants del nord de Califòrnia, Oregon, Nevada i Utah.
295	health	Uns helicòpters van rescatar els dotze membres de la tripulació i l'única lesió ha sigut un nas trencat.
342	business	"Tenim una crisi d'un any de durada, que ha tingut el moment més agut en els darrers dos mesos, i crec que ara els marcats financers es comencen a recuperar."""
365	technology	El motiu n'és que l'electricitat que circula per l'endoll on hi ha la part metàl·lica de la bombeta us pot electrocutar greument si toqueu l'interior de l'interruptor o la base metàl·lica de la bombeta mentre encara es troba parcialment dins l'endoll.
268	crime	Aquesta és la primera condemna basada en la legislació de 2003 per frenar el correu electrònic massiu, també conegut com a correu brossa, de la distribució no sol·licitada a les safates d'entrada dels usuaris.
426	education	Carles va ser el primer membre de la família reial britànica en aconseguir un títol universitari.
1379	science	Les seves llargues mandíbules tenien més de setanta dents esmolades com ganivets, acompanyades d'un joc addicional al cel de la boca, de manera que no hi havia via de fugida per a res que s'interposés en el seu camí.
135	nature	Els factors naturals poden creuar-se per a produir condicions ideals, permetent que aquestes algues augmentin en nombre dramàticament.
1437	religion	Un dels principals principis cristians és que la riquesa ha de ser utilitzada per alleujar el sofriment i de la pobresa i que els fons monetaris de l'església existeixen precisament per aquesta raó.
1687	education	El blogueig és una eina que incentiva la col·laboració i encoratja els estudiants a ampliar l'aprenentatge més enllà de la jornada escolar tradicional.
1166	entertainment	"La pàgina web de l'emissora descriu el programa com ""un ràdio-teatre de la vella escola amb un nou i escandalós gir extravagant!"""
1111	health	El brot ha portat el govern indi a emprendre mesures com ara desplegar caçadors de porcs a les zones greument afectades, la distribució de milers de cortines de mosquits i la fumigació de pesticides.
720	geography	El país allotja, a més de les platges de sorra blanca i els paisatges muntanyosos, la ciutat europea més antiga d'Amèrica, avui en dia part de Santo Domingo.
1943	religion	Al patí de l'església hi ha algunes escultures interessants de coloms fetes de marbre sobre algunes tombes.
1036	travel	Durant el seu viatge, Iwasaki va ficar-se en un embolic en diverses ocasions.
248	disasters	Un hostal va col·lapsar a la Meca, la ciutat sagrada de l'Islam, cap a les 10 d'aquest matí hora local.
111	technology	Es desplaçarà per la costa oest de Califòrnia i il·luminarà el cel des de Califòrnia fins al centre d'Oregon, per seguir cap a Nevada i Idaho i penetrar a Utah, va dir Tom Duxbury, responsable del projecte Stardust.
665	travel	"La visita ""típica"" consisteix a volar a l'aeroport internacional d'Orlando, viatjar amb autocar a un hotel de Disney, passar una setmana sense sortir de les instal·lacions de Disney i tornar cap a casa."
1241	technology	Passats 3 minuts del llançament, una càmera de bord mostrà com un elevat nombre de peces d'esponja aïllant es trencaven separant-se del dipòsit de combustible.
1428	technology	Es produeix encara avui dia, però encara més important: la seva relació d'aspecte s'ha heretat en els formats dels sensors de les càmeres d'imatge digitals.
643	education	En comptes d'esperar-se fins a la següent reunió cara a cara, els estudiants també poden presentar preguntes als instructors a qualsevol hora del dia i esperar respostes raonablement ràpides.
637	science	Quatre anys més tard es va concedir una patent, que va ser la primera patent al món a ser donada en el camp de MRI.
1280	disasters	La carretera on va tenir lloc l'accident es va tancar temporalment mentre els serveis d'emergència alliberaven el conductor de l'Audi TT vermell.
