	index_id	category	text	gpt-3
0	1523	science/technology	Úrbregði gevur nýtt arvaðfrøðiligt frávik, og úrveljing tekur tað burtur úr bólkinum við týðiligum fráviki.	I'm sorry, but I am not able to understand the language you used. Could you please provide the news article in English so that I can categorize it for you?
1	1644	science/technology	Kloyvingsbumbur virka eftir meginregluni um, at orka skal til fyri at seta ein kjarna saman við nógvum protonum og nevtronum.	This piece of text appears to be related to science/technology, specifically nuclear energy or physics.
2	558	science/technology	Kjarnin hevur tveir bitlar - nevtrónir og protónir.	This sentence appears to be written in Faroese, and it states that the core has two particles - neutrons and protons. This is a piece of news related to science/technology.
3	456	science/technology	Hetta hevur gjørt, at sumilinsur kunnu taka myndir við líknandi góðsku, sum tær frá linsum við fastari brennivídd.	I'm sorry, but I am unable to understand the language you have used. Could you please provide the text in English?
4	906	science/technology	Teir eru betri enn internet-proxy av fleiri orsøkum: Teir re-ruta alla netferðslu, ikki bara http.	This piece of news appears to be related to technology.
5	452	science/technology	Samvirkin sniðgevin krevur, at tú av nýggjum umhugsar tín varhuga um miðlaframleiðslu, og lærir at hugsa øðrvísi.	Based on the provided text, it is not clear which category this news article falls under.
6	1557	science/technology	Hetta gjørdist vanlig mannagongd, men jarnið sleit træhjólini á vognunum meira.	I'm sorry, but I cannot categorize the provided text as it appears to be in a different language. If you provide the text in English, I would be happy to help you categorize it.
7	1360	science/technology	Flokkar eru settir saman av einum til trimum vaksnum kalldýrum, sum eru skyldir, saman við upp í tretivu kvenndýrum og ungum.	This piece of news seems to be related to science/technology.
8	1675	science/technology	Hóast telduvit hevur ein sterkan hjátýdning um framtíðarskaldskap, er telduvit ein týðandi grein í teldufrøði, sum fæst við atburð, at læra og vitborin tillaging í eini maskinu.	This piece of news seems to be regarding science/technology, specifically about the future of artificial intelligence and machine learning.
9	1430	science/technology	Støddarlutfallið hjá hesi støddini (býtt við tólv fyri at fáa einfaldasta lutfallið við heilum tølum) eitur tí 3:2.	I'm sorry, but I couldn't understand the language of the text you provided. Please provide the news article in English, and I'll be happy to help you categorize it.
10	1907	science/technology	Ein fylgisveinatelefon avloysir vanliga ikki eina fartelefon, tí at tað er neyðugt at vera uttandura við fríari sjón til fylgisveinin fyri at gera eitt telefonkall.	I'm sorry, but I am unable to categorize the provided text as it appears to be in a different language. If you can provide the text in English, I would be happy to assist you in categorizing it.
11	1555	science/technology	Hóast vognbreytirnar bara vóru samansettar av træplankum, sum gingu javnfart við hvønn annan, hjálptu tær rossunum, sum drógu teir, at ganga skjótari og draga størri byrur, enn tey kundu á teimum heldur óslættu vegunum, sum vóru tá í tíðini.	I'm sorry, but I am unable to categorize this piece of news as it is written in a language I do not understand.
12	1632	science/technology	Fólk hava vitað um grundleggjandi evnafrøðilig frumevni, t.d. gull, silvur og kopar síðan forntíðina, tí tey øll eru at finna í náttúruni í sínum upprunaliga standi og eru lutfalsliga løtt at grava út við einføldum amboðum.	This piece of text seems to be discussing scientific and technological topics, specifically about basic chemical elements such as gold, silver, and copper.
13	1354	science/technology	Hjólið hevur broytt heimin á ótrúligar háttir. Tað størsta, sum hjólið hevur gjørt fyri okkum, er at geva okkum nógv lættari og skjótar flutning.	This piece of news seems to be related to science/technology as it discusses the impact of bicycles on transportation.
14	462	science/technology	Hetta er gjørt fyri at tryggja at myndin ikki dekkar allan skermin. Tað verður kallað overscan.	This statement does not appear to be a news article. It seems to be a description or explanation related to screen display settings.
15	404	science/technology	Týskir kavbátar itu U-Bátar. Týskarar dugdu væl at stýra og røkja sínar kavbátar.	I'm sorry, but I couldn't categorize the news article based on the given text. It appears to be in a different language or contains unfamiliar terms. Can you please provide more information or context about the article?
16	604	science/technology	Hóast alisfrøðiliga støðan kanska broytist, er evnafrøðiliga støðan tann sama.	I'm sorry, but I am unable to understand the language you used in your question. Could you please rephrase it in English?
17	352	science/technology	Yvirflataspenningurin kemur av, at vatnmýlini á yvirflatanum av vatninum eru sterkt bundin at hvørjum øðrum, meira enn tey eru at luftmýlunum uppiyvir.	This piece of text appears to be in Faroese, and it is not clear what the topic is. Therefore, I am unable to categorize it into any specific news category.
18	459	science/technology	Ein av teimum vanligastu trupulleikunum við at umbroyta ein film til DVD snið er overscan.	This piece of news seems to be related to science/technology. It discusses the common problem of overscan when converting a film to DVD format.
19	1519	science/technology	Serstakliga, er tað hevdað, at ein kann síggja um ein lýgur við at tulka mikro-andlitsbrøgd á rættan hátt.	Based on the provided text, it is difficult to determine the category of the news article. The text appears to be in Faroese, and without further context or translation, it is not possible to categorize the news article accurately.
20	1338	science/technology	Gull kann evnast til øll møgulig skap. Tað kann verða rullað til pinkulítil skap.	I'm sorry, but I couldn't understand the language you used in your input. Could you please provide the text in English so that I can assist you better?
21	1679	science/technology	Telduvitsskipanin verður ofta nýtt í økjunum innanfyri búskap, heilivág, verkfrøði og hervaldið, og verða ofta bygdar inn í fleiri hústeldur og nýtsluritbúnaðir til telduspøl.	This piece of news seems to be related to technology, specifically computer science and engineering.
22	1428	science/technology	Hon verður enn framleidd í dag, men av uppaftur størri týdningi verður støddarlutfallið eisini nýtt til myndavarnarastøddir í digitalum myndatólum.	Based on the provided text, it does not appear to be a piece of news related to science/technology, travel, politics, sports, health, or geography.
23	1432	science/technology	Reglan um triðingar, sum ofta verður misnýtt ella gjørt gjøldur burturúr, er ein einføld leiðregla, sum gevur myndini dynamikk, men eisini varðveitir eitt sindur skil í.	I'm sorry, but I couldn't categorize the news article based on the provided text. Could you please provide more information or context about the article?
24	1024	science/technology	Hetta váttar ikki bara, at í minsta lagi nakrir dinosaurar høvdu fjaðrar, eitt ástøði, sum longu er vanligt, men gevur smálutir, sum steinrenningar vanliga ikki kunnu, eitt nú lit og trívíddarskipan.	This piece of news seems to be related to science/technology.
25	373	science/technology	Hvussu hevði tyngdarmegin hjá Io drigið meg? Um tú stóð á yvirflatuni á Io, hevði tú vigað minni, enn tú gert á jørðini.	I'm sorry, but I am unable to understand the language you used in your question. Could you please rephrase it in English?
26	1332	science/technology	NextGen er ein skipan, sum FAA heldur upp á fer at loyva flogførum at flúgva styttri ferðir og spara gallonir í milliónatali á hvørjum ári og skera niður upp á útlátið av kolevni.	This piece of news is regarding science/technology. It discusses the NextGen system, which the FAA plans to implement to allow for shorter flights, reduce fuel consumption, and cut down on carbon emissions.
27	1670	science/technology	Nervafrøðiligar upplýsingar veita ítøkiligt prógv fyri einum ástøðiligum hátti at granska fatan. Tískil verður granskingarøkið minni og nógv neyvari.	This piece of text does not appear to be a news article. It seems to be written in a different language or contains unfamiliar terms.
28	61	science/technology	Í síni tveirtíma longu talu, segði hann at “í dag fer Apple at uppfinna telefonina av nýggjum, vit fara at skriva søgu í dag”.	Based on the provided text, it appears to be a piece of news related to science/technology. The mention of Apple inventing a new phone suggests a technological development.
29	454	science/technology	Vansin við sumilinsum er at brennidepilin verður torgreiðari, og talið á linsulutum, sum er kravt fyri at fáa fleiri brennivíddir, er nógv størri enn hjá primlinsum.	This piece of news seems to be related to science/technology, specifically about the efficiency of a certain type of fuel and the difference in fuel consumption between different vehicles.
30	1234	science/technology	Stýrarin, sum líkist eini fjarstýring, nýtir tveir varnarar, sum sita nær við sjónvarpið hjá brúkaranum, til at tríhyrningsmála hansara støðu í trívíddarrúmi.	This piece of news seems to be related to science/technology. It discusses a device that resembles a remote control and uses two sensors to determine the user's position in a three-dimensional space.
31	1025	science/technology	. Granskarar siga at fjøðurhamurin hjá hesum djórinum var morreyður í erva, við eini bleikari ella reydligari undirsíðu.	Based on the text provided, it is difficult to determine the category of this news article. It appears to be written in Faroese, and without further context or translation, it is not possible to categorize it accurately.
32	1254	science/technology	Bæði sambond virka upp á hvørt annað við at tilevna krystall, sum kunnu forða fyri nýravirksemi, søgdu granskarar á fróðskaparsetrinum.	This piece of news seems to be related to science/technology.
33	780	science/technology	Hetta hevur eina upploysing, ið er næstan fýra ferðir tað, sum ein 35 mm rangmynd hevur (3136 mm2 móti 864).	This piece of news seems to be related to science/technology.
34	649	science/technology	Undirsjóvar ljósleiðarakáplar til Evropa og breiðbandsfylgisveinar gera, at Grønland hevur gott samband til 93% av íbúgvunum, sum hava netsamband.	This piece of news seems to be related to technology or science, specifically about undersea fiber optic cables and broadband infrastructure in Greenland.
35	917	science/technology	Ein av teimum fremstu appunum í hesum bólkinum er Google Translate, ið loyvir avlinjuumsetingum, aftaná ein hevur tikið máldáturnar niður.	This piece of news seems to be related to science/technology. It mentions Google Translate, which is an advanced application in this field.
36	603	science/technology	Tað hevur sama mýlska bygnaðin, antin tað er gass, flótandi ella fast.	Based on the provided text, it does not appear to be a news article. It seems to be a sentence in Faroese language discussing the physical states of matter (gas, liquid, or solid). Therefore, it does not fall into any specific news category.
37	1518	science/technology	Nýtslan av videoupptøku hevur borið við sær týdningarmiklar uppdagingar í tulkingini av mikro-andlitsbrøgdum, andlitsrørslur, sum vara nøkur fá millisekund.	This piece of news seems to be related to science/technology.
38	584	science/technology	Menniskjan hevur framleitt og brúkt linsur at størka við í fleiri túsund ár.	This piece of news seems to be related to science/technology. It mentions the production and use of lenses, which is a technological advancement that has been used for thousands of years.
39	1589	science/technology	Tað er ikki bara við kanningum, har ein kanning er ein roynd, sum verður nýtt at útiloka eitt ella fleiri hugsandi ætl, men eisini við at stilla spurningar, at eygleiða og leiða vísindaligar kanningar.	Based on the provided text, it is difficult to determine the specific category of the news article.
40	1558	science/technology	Sum frá leið, vórðu jarnhjól nýtt í staðin fyri træhjól. Í 1767 komu fyrstu breytirnar úr reinum jarni.	This news article seems to be regarding science/technology, specifically the invention of the iron wheel to replace wooden wheels in 1767.
41	922	science/technology	Hóast flest kort virka til at ringja allastaðni, so leggja summi serligan dent á at veita góðar prísur til at ringja til nøkur ávís lond.	I'm sorry, but the text you provided does not appear to be a news article. It seems to be in a different language or format. Could you please provide a news article or a clear statement for me to categorize?
42	1981	science/technology	Flestu nýmótans stjørnukikarar til gransking eru ómetaliga stórir hentleikar í fjarskotnum økjum við góðum lofthavslíkindum.	This piece of news seems to be related to science/technology, specifically astronomy or space exploration.
43	351	science/technology	Stálnálin flýtur oman á vatninum við yvirflataspenningi.	I'm sorry, but I am unable to categorize the news article based on the text you provided. The text appears to be in a different language. If you could provide a translation or more information about the content of the article, I would be happy to help categorize it for you.
44	1429	science/technology	35mm støddin er í veruleikanum eitt sindur ørvitislig, 36mm breið og 24mm høg.	I'm sorry, but I am unable to categorize the provided text as it appears to be in a different language. If you provide the text in English, I would be happy to assist you in categorizing it.
45	578	science/technology	Kyknur eru so grundleggjandi og avgerandi í lívfrøði, at tær ofta verða nevndar “lívsins byggisteinar”.	This is a piece of news regarding science/technology.
46	905	science/technology	Persónligt VPN (virtuelt privat netverk) veitarar eru ein góður máti at sleppa framvið bæði politiskum avmarkingum og vinnuligum IP-geofiltrum.	This piece of news is regarding technology.
47	264	science/technology	Støðin broytti ikki støðu, hóast eitt gyroskop varð mist fyrr í sendiferðini hjá rúmdarstøðini, inntil rúmdargongan kom at enda.	I'm sorry, but I am unable to categorize the provided text as it appears to be in a language that I am not familiar with. If you could provide the text in English, I would be happy to assist you in categorizing the news article.
48	628	science/technology	Fólk við hesum slagnum av hugsan hava logiska hugsan, og eru før fyri at læra mynstur uttan at, loysa trupulleikar og arbeiða við vísindarligum kanningum.	I'm sorry, but I couldn't categorize the news article based on the given text. Could you please provide more information or context about the article?
49	1366	science/technology	Osilottum dáma at eta smá djór. Teir fanga apur, slangur, gnagdýr og fuglar, um teir megna tað. Næstan øll djórini, sum osilottarnir veiða, eru nógv minni enn teir.	I'm sorry, but I couldn't categorize the news article based on the provided text. The text appears to be in a different language or contains unfamiliar terms. Please provide a news article in English, and I will be happy to categorize it for you.
50	779	science/technology	Nøkur miðalstór filmsmyndatól brúka ein 6 ferðir 6 cm bygnað, meira neyvt eina 56 ferðir 56 mm rangmynd.	I'm sorry, but I am unable to understand the language of the text you provided. Can you please provide the text in English or clarify the topic of the news article you would like me to categorize?
51	1874	travel	Ferðafólk verða staðiliga mæld til, at vera vitandi um vandar fyri harðveðri í teirra økjum, tí at teir kunnu ávirka ferðaætlanir.	This is a piece of news regarding travel.
52	1734	travel	Bussar fara frá tvørlandspartsbussstøðum (yvirum ánna) gjøgnum dagin, hóast teir flestu, ið fara eystureftir og ímóti Jakar/Bumthang fara avstað millum 06:30 og 07:30.	Based on the provided text, it does not appear to be a news article related to science/technology, travel, politics, sports, health, or geography. It seems to be written in a language that is not recognized.
53	1840	travel	Teir geva betri støðufesti til tann, ið ríður, men kunnu hava trygdartrupulleikar, tí at føturnir hjá reiðfólkinum møguliga kunnu sita fastir.	I apologize, but I am unable to understand the language you have provided. Can you please provide the text in English or specify the category you would like me to categorize the news article in?
54	1919	travel	Flestu baltisku túrarnir við ferðamannaskipið bjóða ein langan steðg í Sankta Pætursborg í Russlandi.	This piece of news is regarding travel.
55	828	travel	Frásøgnin gongur út frá, at ferðafólk ikki stjala, gera misbrot, taka lut í ólógliga marknaðinum, bidda, ella onkursvegna misnýta onnur fólk fyri egnan vinning.	I'm sorry, but I am unable to understand the language of the news article you provided. Can you please provide the article in English or specify the category you would like me to classify it into?
56	818	travel	Tað er nógv tú skalt hugsa um, áðrenn og meðan tú ferðast onkustaðni.	This is a piece of news regarding travel.
57	978	travel	Í dagshitanum kunnu ferðafólk uppliva lognbrá, ið gera eina villingarsjón av vatni (ella øðrum).	This piece of news seems to be related to travel or geography, as it mentions a natural phenomenon that travelers can experience.
58	765	travel	Familjur við børnum eru ikki ofta at síggja, men summi vallaraheim loyva teimum í egnum kamari.	Based on the given text, it does not appear to be a news article. It seems to be a statement or observation about the frequency of familiarizing children with certain activities or environments.
59	1992	travel	Til dømis at vitja borgir í Loire Dalinum, Rhine dalinum, ella at sigla til áhugaverdar býir fram við Donau, ella at fara eina bátsferð fram við Erie Kanalini.	This piece of news seems to be related to travel and geography. It mentions visiting cities in the Loire Valley, the Rhine Valley, and sailing along the Danube or the Erie Canal.
60	823	travel	Tað kann vera betur, at nýta eina skrivstovu, sum ofta bíleggur ferðir, ið líkjast tínari.	"This sentence is written in Faroese, and it translates to: ""It may be better to use a travel agency that often books trips similar to yours."" Based on this sentence, the news article is related to travel."
61	762	travel	Couchsurfing varð stovnað í januar 2004 eftir at telduforritarin, Casey Fenton, fann eina bíliga flogferð til Íslands, men ikki hevði nakað stað at gista.	This news article seems to be related to travel.
62	932	travel	Næmingavisa hava vanliga onnur krøv og aðrar umsóknartilgongdir enn vanlig ferðafólka- ella arbeiðsvisa.	Based on the provided text, it seems like this news article is discussing visa requirements and applications for individuals who are not regular tourists or workers. Therefore, it does not fall under any of the given categories of science/technology, travel, politics, sports, health, or geography.
63	678	travel	Hvørt land hevur serliga lóggávu, um hvør neyðútgerð skal vera í bilinum.	Based on the provided text, it is not possible to determine the category of the news article. The text appears to be a sentence in a different language, and it does not provide any specific information about the topic or content of the news article.
64	822	travel	Sjálvt um flestu skrivstovur eru fús at taka ímóti flestu vanligum bíleggingum, so eru nógvar skrivstovur serkøn í serligum sløgum av ferðum, prísflokkum ella ferðamálum.	Based on the provided text, it does not appear to be a news article. It seems to be a statement about travel agencies or booking offices being willing to accept various types of bookings.
65	1820	travel	Ferðafólk kunnu koma fram á skaðakykt, sum tey ikki eru von við í sínum heimi.	Based on the provided text, it appears to be a news article related to travel.
66	1947	travel	Norðanfyri kanst tú eisini vitja stóra Halgistaðin hjá Vár Frúu Fatima (Shrine), ein staður við heimskendum Mariuhamum.	"This piece of news seems to be related to travel or geography, specifically mentioning a visit to a shrine called ""Halgistaðin hjá Vár Frúu Fatima"" in Norðanfyri."
67	1713	travel	Tú kanst nýta boda-boda (motorsúkklutaxa) at koma runt í Goma. Vanligi (lokali) prísurin er ~500 kongolesiskir frankar fyri ein stuttan túr.	This is a piece of news regarding travel.
68	731	travel	Til tey sum njóta uttandura ítriv er ein túrur upp eftir sjógv-til-skýggj geilini alneyðugur.	I'm sorry, but I couldn't understand the language you used in the text. Could you please provide the text in English so that I can categorize it for you?
69	1808	travel	"Ein veiðiferð til gongu (eisini kallað ""kjarrgonga"", ""hiking safari"", ella at fara ""fótandi"") inniheldur at ganga, antin í nakrar fáar tímar ella í fleiri dagar."	This piece of news seems to be related to travel.
70	1929	travel	Einasti hátturin at fáa tað skjótari, er at senda tað sum innskrivað viðføri. Flogfelagsreglur loyva ikki at ein sendir viðføri uttan eitt ferðafólk, og tað er her, at tú kemur í myndina.	This text does not appear to be a news article. It seems to be a message or instruction related to sending attachments or documents.
71	131	travel	300 afturat gevur tilsamans 1.300 vognar, sum skulu útvegast fyri at minka um ovfylling.	Based on the provided text, it is difficult to determine the category of the news article. The text appears to be in a different language and does not provide enough context to identify the topic.
72	814	travel	Familjur við smáum børnum skulu kanska fyrireika seg eitt sindur meira, men ein dagur uttandura ber saktans til, sjálvt við pinkubørnum og  smábørnum.	I'm sorry, but I am unable to categorize the provided text as a news article. It appears to be a sentence in Faroese, but it does not contain any specific information related to science/technology, travel, politics, sports, health, or geography.
73	1799	travel	Einhvør, sum fer at koyra í høgum breiddarstigum ígjøgnum fjallaskørð, eigur at umhugsa møguleikan fyri kava, ísi, ella ísakøldum temperaturi.	This piece of news seems to be related to travel, specifically about someone driving through high mountain passes and considering the possibility of snow, ice, or cold temperatures.
