index_id	category	text
797	technology	如果帶同手提電腦或平板電腦旅遊，可將副本儲存在內存或硬碟中（不需要互聯網亦可存取）。
830	travel	在某些跨境列車上，入境檢查是在運行的列車上進行的，你登上此類列車時應隨身攜帶有效的證件。
150	business	李察·布蘭遜爵士的維珍集團曾出價收購該行，然而在該行國有化之前遭到拒絕。
1806	travel	有些動物（例如大象和長頸鹿）喜歡靠近車子，使用標準設備便能讓你看得清晰。
902	disasters	龍捲風是一個氣壓極低的旋轉柱體，從周圍向內和向上吸入空氣。
1225	sports	德爾-波特羅在第二局剛開始就獲得優勢，但在達到 6-6 之後亦需搶七定勝負。
1342	science	椰菜汁的顏色變化取決於化學物質的酸性或鹼性程度。
1959	nature	普利特維採湖群國家公園森林茂密，主要有山毛櫸、雲杉和冷杉樹，並有混合的高山和地中海植被。
341	business	薩帕特羅針對全球金融情況續稱：「金融體系是經濟的一部分，一個至關重要的部分。
352	science	表面張力的發生，源於水面的水分子之間的吸引力，比它們與上方空氣分子間的吸引力更大。
448	nature	每年十月左右，接近一百五十萬隻草食性動物為了雨水從北部的山丘越過馬拉河前往南部的平原。
386	politics	世宗大王是朝鮮王朝的第四位君王，也是其中一位最受尊敬的君王。
1438	religion	羅馬教會的中央權力機構已有千年歷史，如此集中的權力和金錢使很多人質疑是否符合該信條。
394	politics	但是皇家海軍仍然比德國海軍（「Kriegsmarine」）強大得多，可以摧毀任何穿越英吉利海峽的入侵艦隊。
1977	education	當然，如果你懂得一種羅曼語，那麼學習葡萄牙語對你來說就會更容易。
1719	nature	克魯格國家公園(KNP)位於南非東北部，東部與莫桑比克接壤，北部與津巴布韋接壤，南部與鱷魚河接壤。
29	crime	伊拉克的阿布格萊布監獄在一次騷亂中被焚燒。
845	entertainment	然而，現在有正式的塗鴉藝術家、塗鴉活動和「合法」塗鴉牆。在這種背景下，塗鴉活動往往更像藝術品，而不是難以辨認的標籤。
165	crime	2008 年 11 月 26 日，孟買襲擊者乘船抵達，並攜帶手榴彈和自動武器，襲擊了多個目標，包括擁擠的 Chhatrapati Shivaji 火車總站和著名的泰姬陵酒店。
261	business	尼日利亞在日前宣布計劃在峰會前一週加入AfCFTA。
531	sports	標準回合有十八個球洞，球手一般會在場地的第一洞開始，打至第十八洞結束。
1599	nature	取決於變異的類型、受影響的遺傳物質的重要性以及受影響的細胞是否生殖譜系細胞，變異可以帶來多種不同的影響。
428	geography	土耳其的領土長超過1,600公里（1,000英里），闊800公里（500英里） ，大致上是一個長方形。
1206	health	漢密爾頓證實，霍華德大學醫院接收的病人情況穩定。
277	politics	前麻省州長米特·羅姆尼在星期二以超過46%票數贏得佛羅里達州共和黨總統提名人初選。
2	disasters	當地時間上午九時半左右（世界協調時間 0230），JAS 39C 鷹獅戰機在跑道上墜毀並爆炸，導致機場關閉，商業航班無法升降。
719	geography	多明尼加共和國（西班牙語: República Dominicana）是一個加勒比海國家，佔據了與海地共享的伊斯帕尼奧拉島的東半部
324	geography	該風暴距離佛羅里達州邁阿密約 3000 英里，最高持續風速為每小時 40 英里（每小時 64 公里）。
15	business	「巴拿馬文件」 是巴拿馬莫薩克-馮塞卡律師事務所在 2016 年春天洩露給傳媒約一千萬份文件的總稱。
13	sports	納達爾在比賽中的網前得分為 88%，在首個發球局贏得 76 分。
1276	crime	被告的姓名為 Baba Kanjar、Bhutha Kanjar、Rampro Kanjar、Gaza Kanjar 和 Vishnu Kanjar。
37	entertainment	這個PBS 節目獲得二十多個艾美獎，它的播出時間只比芝麻街和羅傑斯先生的社區短。
1192	health	這名攝影師被送往加州大學洛杉磯分校的羅納德·列根醫療中心，隨後不治。
1239	entertainment	據新聞發布會上的文字記錄，他說：「她很可愛，唱歌也很動聽。」
373	science	木衛一的地心吸力會怎樣拉著我？如果你站在木衛一的表面，會比站在地球表面的體重較輕。
42	disasters	預報員稱，這場位於佛得角群島以西 645 英里（1040 公里）的風暴可能在威脅到任何陸上地區之前消散。
1780	travel	全年都有很多人到珊瑚礁旅遊。而在珊瑚礁上，由於上述任何一種原因而受傷的情況都很罕見。
533	sports	運動在草地上進行，球洞周圍的草地會被鏟短，稱為果嶺。
167	politics	這次襲擊事件對印度和巴基斯坦之間的關係帶來巨大壓力。
57	crime	安莎通訊社表示：「警方對接連發生的高層刺殺行動表示關注，並擔心這可能會觸發黨內為奪權而大開殺戒。」
1264	politics	修恩已經辭職並由下議院議員埃德·戴維接替他在內閣的位置。下議院議員諾曼·蘭姆有望接替戴維出缺的商務部長一職。
460	entertainment	大多數的電視節目都是為了取悅大眾而製作的。
1911	education	這在中學畢業生中尤其流行，允許他們在上大學前休學一年，而不影響對他們的教育。
