index_id	category	text
797	technology	اگر تہی لیپ ٹاپ یا ٹیبلٹس سۭتۍ سفر چھیو کران تہٕ امچہٕ میموری یا ڈسکہٕ منٛز کرو اکھ کاپی محفوظ (انٹرنیٹ وریۓ قابل رسائی)۔
830	travel	کینٛہن کراس بٲرڈر ٹرینن منز پکَن وٲجنین ٹرینن ہند معائنہ چُھ یوان کرنہٕ تہٕ یمَن ٹرینن منز سوار گژھنہٕ وقت گژہ توہہ نیش آسُن درست شنٲختی کارڈ۔
150	business	سر رچرڈ برنسنمنۍ ورجن گروپن ٲس بنٛکس خٲطرٕ  قومیانہٕ برٛۄنٛہہ اکھ بوٗلۍ مسترد کٔرمٕژ۔
1806	travel	کینہہ جانور، ییتھ کیٛن زن ہس تہٕ جرافے، چِھ گاڑین نزدیک گژھنک رجحان تھاوان تہٕ معیاری آلات چِھ اصل ویو ہاوان۔
902	disasters	ٹورنیڈو چُھ وآریا کم دباؤ وۄل ہوہک نژن وول کٲلم،یُس آس پاس کس ہوہس چُھ اندر تہٕ ہیر کُن ژھان۔
1225	sports	ڈیل پوٹرو اُس دیمس سیٹس منز ابتدائی فائدہ، مغر آمیستہ چھ 6-6 تم واتنہ پاتحہ ٹائی بریک درکار تھا۔
1342	science	بندٕ گوپی ہندرنگ بدلنُک درمدار چُھ زِ کیمکل کوُتا (الکلائن) acidic یا basic چُھ۔
1959	nature	پلِٹ وس لیکس نیشنل پارک چھ واریاہ جنٛگلات وول علاقہٕ، بنیٲدی طور چھ اتہ بیچ ، سپروس تہ فر کلیٚن سۭتۍ سۭتۍ الپاین تہٕ میٚڈٹیرنیَن کُلیٚن کٹیٚن ہنٛد مرکب موٗجوٗد ۔
341	business	"عالمی مٲلٲتی صورتحالکِس  بارس منز , Zapatero تھو یہ وَنُن جٲرۍ زِ ""مٲلٲاتی نظام چُھ معیشتُک اکھ حصہ، اکھ اہم حصہ۔"
352	science	سرفیس ٹینشن چھے  گثھان کیازِکہ آبٕک مالیکیول چھ سطحس پیٹھ اکھ ٲکِس زیادٕ کٔشِس کران بنسبتکہ ہوا مالیکیول کھۄتہ ہٕم تٔتھ پیٹھٕ چھٕ آسان۔
448	nature	ہر ورِییٚہٕ اکتمبر کہٕ رتکِس آس پاس لگبگ 1.5 ملین جڑی بوٹین رُودٕ خٲطرٕ شُمٲلی پہاڑن پیٹھ دریائہٕ ماراہَس ترآن ترآن جنٛوبی مٲدٲنی علاقن کُن سفر چھ کران۔
