index_id	category	text
431	geography	Say Turkey et apaliberan na saray dayat so taloran diking to: Aegean Sea diad west, Black Sea diad north tan Mediterranean Sea diad south.
403	science/technology	Diad umpisay giyera kaslakan so manbiabiahe ed tapew na dayat,nen niwala so radar saray submarine so unlusong ed kaaralman na dayat pian sikaray ag nanengneng.
1592	science/technology	Sanen onkakapuy lay kakabatan ed Griyego, say West, pinultot to lay koneksyon to manlapud pilosopiya tan siyensya.
993	entertainment	Anggaman ontan, nikadkaduma so inkabalibali tan santing da no winter, ta dakel iray hill station ya nawawalaan na dakel iran niyebe kanian dakel iray nagawaan singa pan-ski, tan snowboarding.
755	entertainment	Sarayan hotel et mayaman tan sikat nensaman,tan walaan na fine dinning tan nightlife.
1936	politics	Nen 1994, niwalay self-proclaimed Transnistria Republic diad eastern Moldova, ya walaan na sarilin gobyerno tan kuarta balet agbibidbirin na membro na bansan UN.
1205	health	Imbaga nen DanieIIe Lantagne, sakey ya eksperto na UN ed sakit, ya sayan inkamayat so nayarin Iapud saray sundaIo.
1692	geography	Diad baleg iran parte ed amianen et ataytayak iray totoo, tan diad arum ya kalawakan et ngalngali anggapoy manaayam.
280	politics	Nanprotesta so 100,000 ya totoo ed syudad na Germany kabiangay Berlin,Cologne,Hamburg tan Hanover.
247	politics	Sayan ahensya so responsabli ed pangitarya na serbisyo na gobyerno tan hudisyal unong ed Artikulo 247 na Konstitusyon na Pakistan.
1439	politics	Kayari anampot so kaugsan,kinobkob na Britain so Germany.
1239	entertainment	"""Sikatoy makapaliket ya nengnengen tan marunong met ya mangansion,"" so kuanto base ed nisulat diad news conference."
743	geography	Say Cook Island et anggapo ray syudad to balet walaan iya na 15 ya nanduruman isla. Say manuna ed saraya et say Rarotonga tan Aitutaki.
18	politics	Wala ray agawan protesta ed intiron mundo, nilitis so pigaran kason kriminal, tan nan-resign iray lider ed gobierno na Iceland tan Pakistan.
