index_id	category	text
431	geography	Ła Turchia xe circondà dal mar da tre parti; el Mar Egeo a ovest, el Mar Nero a nord e el Mar Mediteraneo a sud.
403	science/technology	A l’inissio dea guèra ‘ndava in superficie ma quando i radar ga tacà essar sviłupai e xe deventai pì precisi i sotomarini xe stà costréti a ‘ndàr sotoacqua pa no essar visti.
1592	science/technology	‘na volta ndà in decadensa a conosensa del greco, l’Ocidente se ga trovà tajà fòra dae so raìsi fiłosofiche e sientifiche greche.
993	entertainment	Comunque łe ga un tipo diverso de bełesa e fascino durante l’inverno, co tante stasión cołinari che łe riceve boni quantitativi de neve e łe ore atività come el sci e el snowboard.
755	entertainment	Sti hotel i jera dove che i richi e i famosi del tempo i stava, e speso i ‘ndava al ristorante de luso o ałe serate noturne.
1936	politics	Nel 1994 sto conflito el ga portà ała creasión de l’autoproclamada Republica de Transnistria neła Moldova Oriental, che ła ga el so proprio governo e moneda ma che no ła xe riconosua da nisun membro ONU.
1205	health	Danielle Lantagne xé un’esperta dee Nassioni Unite e a gà dito che l'epidemia xé colpa dei mediatori.
1692	geography	Tante aree ancora pì a nord xe po popołate e certe xe quasi del tuto aree naturałi disabitae.
280	politics	I organisadori dea protesta ga dito che ghe gera almanco 100000 persone in cità tedesche come Berlìn, Cołonia, Amburgo e Hannover.
247	politics	‘sti agenti xe responsabiłi de operassioni de governo e giustissia soto l’Articoło 247 dea costitussion del Pakistan.
1439	politics	Poc dopo l’inissio dee ostiłità, gli Inglesi i ga fato un bloco navałe contro ła Germania.
1239	entertainment	“Xe tant bèa e ła canta anca ben” el ga dito secondo ‘na trascrision dea conferensa stanpa.
743	geography	Łe isołe Cook no łe ga nisuna cità ma łe xe composte de 15 isołe diverse. Łe principałi łe xe Rarotonga e Aitutaki.
18	politics	Ghe xe stà proteste in tut el mondo, tante procedimenti penałi, e i capi dei governi de Islanda e Pakistan ga dato łe dimision.
1344	science/technology	Gli ioni idrogeno xe dei protoni che ga vùo dei ełetroni cavài via (dato che l’atomo de idrogeno xe fatto de un proton e ‘n ełetron).
688	travel	I visitatori co poc tenpo farìa mèjo a pasar el tenpo da ‘n’altra parte.
556	science/technology	L’atomo pol essar considerà un dei mattoni fondamentałi de tuta a materia.
1645	science/technology	Un fià come spìnzar un carèo pesante su par ‘na cołina. La sission del nucleo assa po’ ‘na parte de chel'energia.
907	science/technology	Normalmente i ofre na banda pí larga e na mejo quałità de servisio. I xe critografai e quindi pí difisiłi da spiar.
1071	politics	Ma el Primo Ministro John Howard ga dito che ‘sta roba xe soło par protezar łe struture de l’ospedàl da l’essar declasàe dal governo dea Tasmania dandoghe un extra de 45 mijoni de dołari austrałiani.
555	sports	Gli atleti pol sentir che ghe piase un prodoto pì de un altro anca se no ghe da benefici reali.
1203	health	Prima che rivesse e trupe Haiti nol vea avuo problemi de ‘sta maeattia da l’800.
58	politics	La Połisia ga dito che Lo Piccolo ga vùo el vantajo parché xe stà el brazzo destro de Provenzano a Palermo e ła so esperiensa pì granda ga dato el rispeto dea generasion pì vecia dei capi mentre łori ga seguìo ła połitica de Provenzano de tegnèr profiło basso intanto che se raforséa ła rete de poder.
1764	travel	In pí , sii cosciente che i odori i atrae i orsi e altri animałi selvadeghi, quindi evita de portar o cuxinar cibi odorosi e mantien neto el campo base.
195	sports	Massa starà fòra almanco pal resto dea stajon 2009.
1785	travel	Prenotar in anticipo ghe dà al viajator ła sicuresa e ła tranquiłità che ghe sarà un posto da dormir quando che i riva ała so destinasión.
600	science/technology	I ełementi e i conposti pol movarse da un stato a l’altro e no canbiar.
553	sports	La corsa de media distansa xe un sport che costa rełativamente poc; tutavia, ghe xe tante idee sbajàe sui pochi tochi de equipagiamento che serve par partecipar.
1720	geography	El parco ga ‘na superficie de 19.500 km² e xe diviso in 14 diverse ecozone, ognuna sostien diversi animałi selvareghi.
1622	geography	El Rio dełe Amazzoni xe el secondo fiume pì longo e el pì grando sua Tèra. El ga pì de 8 volte l’acqua del secondo fiume pì grando.
1441	politics	Ła Gran Bretagna ga messo dee mine ntee acqua internasionài pa blocàr parti intière de oceano a tute łe navi, causando danni anca ae navi neutrałi.
566	health	La vision, o la capacità de vedar, depende dai organi de senso visivo, i oci.
1515	science/technology	E carateristiche distinte de Internet e gà portà altre dimensiòn dei usi e de aprocio ae gratificasiòn.
