	index_id	category	text	gpt-4
0	1523	science/technology	Mutácia pridáva nové genetické variácie a selekcia ich zase odstraňuje zo skupiny prejavených variácií.	"This piece of news seems to be related to ""Science/Technology"", specifically genetics."
1	1644	science/technology	Štiepna bomba využíva princíp, podľa ktorého je treba energiu na zostavenie jadra s množstvom protónov a neutrónov.	This piece of news is regarding science/technology.
2	558	science/technology	Jadro sa skladá z dvoch častíc - neutrónov a protónov.	"This piece of news seems to be related to ""Science/Technology"" as it discusses components of an atom, namely neutrons and protons."
3	456	science/technology	Toto umožnilo objektívom s priblížením vytvárať obrázky v kvalite porovnateľnej s tou, ktorú dosahujú objektívy s pevnou ohniskovou vzdialenosťou.	"This seems to be related to ""science/technology"" as it discusses lenses and image quality, which is typically associated with technology or photography."
4	906	science/technology	Sú nadradení webovým proxy serverom hlavne z týchto príčin: Presmerovávajú celý internetový prenos, nielen http.	"This piece of news falls under the category of ""science/technology""."
5	452	science/technology	Pri interaktívnom dizajne budete musieť prehodnotiť svoje domnienky o mediálnej produkcii a budete sa musieť naučiť rozmýšľať nelineárne.	"Based on the provided information, it seems like this news article could be categorized under ""Science/Technology"". However, without more context, it's difficult to be certain."
6	1557	science/technology	To sa stalo bežnou praxou, ale železo spôsobilo väčšie opotrebenie drevených kolies vozňov.	"Based on the information provided, it's hard to categorize this news article as it seems to be missing context. However, it could potentially fall under ""science/technology"" if it's discussing the impact of iron on wooden wagon wheels. Please provide more information."
7	1360	science/technology	Svorku sa skladá z jedného až troch príbuzných dospelých samcov a až tridsatich samíc a mláďat.	"The text you provided is not a news article, it appears to be a sentence in Slovak language about a group composition of certain animals. Therefore, it cannot be categorized under ""science/technology, travel, politics, sports, health or geography""."
8	1675	science/technology	AI má silnú konotáciu science fiction a tvorí významné odvetvie počítačovej vedy, ktoré sa zaoberá správaním, učením a inteligentnou adaptáciou robotov.	This piece of news regards science/technology.
9	1430	science/technology	Pomeru strán tohto formátu, ktorý je vydelený dvanástimi, aby sa získal najjednoduchší pomer celých čísel, sa preto hovorí 3:2.	The text you provided does not seem to be a news article. It appears to be a mathematical or technical explanation, possibly related to science or technology. However, without more context, it's difficult to categorize accurately.
10	1907	science/technology	Satelitný telefón všeobecne nie je náhradou mobilného telefónu. Aby ste s ním mohli volať, musíte byť v exteriéri na mieste s jasnou viditeľnosťou na satelit.	"This piece of news can be categorized under ""Science/Technology""."
