index_id	category	text
431	geography	Tiki antoure ak lanmè sou twa kote: lanmè Eje nan lwès, lanmè Nwa nan nò ak lanmè Mediterane nan sid.
403	science/technology	Nan kòmansman lagè yo te konn vwayaje souvan sou lanmè, men lè rada yo komanse devlope epi vin pi efikas, sou maren yo te oblije al kache anba dlo pou yo pat wè yo.
1592	science/technology	Ak  konesans grèk la ki bese, Oksidan vinn koupe de rasin filozofik grek li yo.
993	entertainment	Sepandan, bote ak cham yo diferan nan sezon ivè, anpil estasyon nan mòn yo resevwa yon bon kantite nèj epi pwopoze aktivite tankou eski ak planch pou nèj.
755	entertainment	Otèl sa yo te kote sejou pou moun ki rich yo ak selebrite yo nan epòk sa, epi te pwopoze souvan repa ki fen ak yon lavi lannwit.
1936	politics	Nan lane 1994, konfli te mennen kreyasyon Repiblik otopwoklame Transnistrie a, nan lès Moldova, ki gen pwòp gouvènman l al pwòp lajan l, men ki pa rekonèt pa okenn peyi manm nasyon ini.
1205	health	Danielle Lantagne, yon ekspè ONU sou maladi, te deklare epidemi a te san dout pwovoke pa sòlda lapè yo.
1692	geography	Gwo zòn ki pi lwen nan nò pa gen anpil moun e gen ladan yo ki preske inabite.
280	politics	Selon òganizatè manifestasyon an anviwon 100,000 moun te prezante yo nan vil alman yo tankou Bèlen, Kolòy, Anmbou ak Anòv.
247	politics	Ajan sa yo chaje pou bay sèvis gouvènmantal ak jidisyè yo selon atik 247 konstitisyon pakistanè a.
1439	politics	Kèk tan apre arè ostilite yo, Grann Bretay inisye yon blokaj naval nan Almay.
1239	entertainment	"""Li te bèl anpil epi l chante byen tou"" li te deklare selon yon transkripsyon konferans pou laprès la."
743	geography	Zile Kouk yo pa gen vil men yo konpoze de 15 zile diferan. Sa ki prensipal yo se Rawotonga ak Ayitutaki.
18	politics	Te gen pwotestasyon nan tout mond lan, plizyè pouswit penal, epi dirijan gouvènman Islann ak Pakistan yo te tou de demisyone.
1344	science/technology	Yon idwojèn yo se pwoton yo ki te retire elektwon li yo (piske atom idwojèn yo gen ladan yo yon pwoton ak yon elektwon).
688	travel	Vizitè yo kote tan an limite yo gen enterè pou pase tan yo nan yon lòt kote.
556	science/technology	Atòm lan ka konsidere kòm youn nan blòk fondamantal nan tout matyè yo.
1645	science/technology	Se tankou yo t ap fè woule yon charèt ki lou sou yon ti mòn. Separasyon nwayo a yon lòt fwa libere yon pati nan enèji a.
907	science/technology	Y ap soufri nòmalman yon pi gwo lajè bann epi yon pi bon kalite sèvis. Yo kripte epi donk difisil pou espyone.
1071	politics	Men Premye Minis John Howard te deklare lwa sa te selman le evite enstalasyon lopital yo pa deklase pa gouvènman Tasmani an, pandan l ap bay 45 milyon dola ostralyen anplis.
555	sports	Atlèt yo ka gen enpresyon ke yo renmen yon pwodwi menm loske li pa bay yon avantaj reyèl.
1203	health	Avan twoup yo te rive, Ayiti pa t rankontre pwoblèm ki lye avèk maladi depi lane 1800 yo.
58	politics	Lapolis te deklare Lo Piccolo te gen pouvwa paske l te gen bra dwat Provenzano nan Palerme epi pi gwo eksperyans li an te ba li respè ansyen jenerasyon patwon yo ki t ap pouswivi politik Provenzano a ki vize ak rete pi ba posib tout pandan l ap ranfòse rezo pouvwa yo.
1764	travel	Anplis, raple w odè yo atire ous ak lòt zannimo sovaj yo. Evite transpòte oswa kwit manje ki gen odè yo epi kenbe tant ou an pwòp.
195	sports	Massa ta dwe absan pou rès sezon 2009 lan.
1785	travel	Rezève davans bay vwayajè a yon repo nan lespri li, li konnen lap jwenn yon kote pou li domi kou li rive kote li prale a.
600	science/technology	Eleman ak konpoze yo kapab sòti nan yon eta ak yon lòt epi pa chanje.
553	sports	Kous demi fon se yon espò relativman chè; sepandan, gen anpil move lide konsènan kèk nan ekipman pou patisipe.
1720	geography	Pak la kouvri 19,500 km² epi divize an 14 ekozòn diferan, chak nan yo abrite yon fo n diferan.
1622	geography	Rivyè Amazòn se dezyèm pi long ak pi gwo rivyè sou Latè. Li pote plis pase 8 fwa plis dlo ke dezyèm pi gwo rivyè a.
1441	politics	Grand Bretay mete min nan dlo entènasyonal la pou anpeche bato yo rantre nan tout seksyon oseyan, sa ki mete menm bato ki net yo an danje.
566	health	Vizyon an, oswa kapasite pou wè a, depann de ògàn sansoryèl sistèm vizyèl la oswa zye yo.
1515	science/technology	Karakteristik patikilyè entènèt la mennen ak dimansyon anplis yo an tèm apwòch itilizasyon yo ak gratifikasyon yo.
585	science/technology	Sepandan, premye veritab teleskòp yo te fabrike an Ewòp nan fen 16zyèm syèk la.
1689	geography	Otawa se bèl kapital de lang Kanada epi dispoze anpil galri la ak mize ki prezante pase ak prezan Kanada.
1256	health	konpozisyon kristal sa yo koresponn ak sa yo te jwenn nan pipi bèt domestik ki afekte yo lè yo konpare li pa spektoskopi enfrawouj (FTIR).
60	science/technology	Patwon Apple la Steeve Jobs te fè prezantasyon aparèy la pandan lap rantre an sèn epi li te rale ayfòn la nan pòch pantalon li.
32	sports	Kòm machin ki te devan Alonso yo te al fè gaz anba machin sekirite a, li kouri pran devan pou li ka ranpòte viktwa.
1411	politics	Pandan Gè Revolisyonè a, trèz eta yo te dabò fòme yon gouvènman santral fèb - avèk Kongrè a kòm sèl konpozan - selon Atik Konfederasyon yo.
13	sports	Nadal te rekòlte 88% pwen nets yo nan match pandan l genyen 76 pwen nan premye sèvis la.
1941	travel	Boulva yo laj, bilding ki gen glas devan ak sant magazen modèn yo chaje ak twati tradisyonèl wouj-twil, mache a 18tyèm syèk, ak moske fin vye ak legliz, menmsi vil la gen yon atmosfè plis nan Ewòp Mediterane pase tradisyonèl Latiki.
732	sports	Whistler (ak 1.5 èdtan wout de Vancouver) se yon vil ki chè men trè repite akoz Jwèt olenmpik ivè 2010 yo.
871	entertainment	Ranpli lakay ak yon kafe rich lè maten ak yon te ki gen fèt ak kamomil pou detann ou lè aswè.
886	geography	Antatik se espas ki plis fè frèt sou latè, epi li antoure Pòl Sid.
362	science/technology	Apre plizyè santèn èdtan ap travay, ti fil nan anpoul la boule epi anpoul la pa travay ankò.
1578	health	Konsilte etikèt pou konnen enstriksyon pou premye sekou yo espesifik pou pwazon sa.
996	travel	Nan tout ka yo, ou dwe rezève nan telefòn dirèkteman bò kote konpayi konsène an.
197	health	Eta prezidan an estab, men li pral izole lakay li pandan plizyè jou.
460	entertainment	Pi fò televizyon yo fèt on fason pou fè gran piblik lan plezi.
154	geography	Sou apeprè 24,000 meteyorit yo konnen ki tonbe sou Latè, yo verifye sèlman 34 ki gen orijin masyèn.
1160	politics	Apre otorite yo verifye idantite elektè a, elektè a lage anvlòp lan nan bwat lan epi li siyen bilten an.
1223	entertainment	Yo te anile toune a aprè chantè Steven Tyler te blese pandan l te tonbe sou sèn lan pandan yon konsè 5 dawout pase a.
54	politics	Peter Costello, trezorye ostralyen an epi moun ki pwobab pou ranple Premye Minis John Howard antanke chèf pati liberal la, te pote soutyen l ak yon endistri nikleyè an Ostrali.
7	politics	Manifestasyon an te kòmanse ozanviwon 11:00 lè lokal (UTC+1) sou Whitehall la, anfas antre ki gade pa lapolis Downing Street, rezidans ofisyèl Premye minis lan.
1010	sports	USA Gymnastics ap sipòte lèt komite olenmpik Etazini an epi aksepte nesesite total fanmi olenmpik la pou pwomouvwa yon anviwònman sekiritè pou tout atlèt nou yo.
1174	sports	Eskò final la te yon viktwa yon pwen, 21 ak 20, mete fen a seri 15 viktwa All Blacks yo.
1202	health	Daprè pwosè a, fatra latrin nan kan Nasyonzini an pa te byen elimine, sa ki lakòz bakteri antre nan larivyè Latibonit, youn nan pi gwo rivyè Ayiti.
958	travel	Okenn konpayi ayeryèn kouvri twa travèsè oseyanik emisfè sid yo (epi SkyTeam pa kouvri okenn travèse sa yo).
354	science/technology	Lam la sou yon monte paten glas modèn gen yon kwen doub ak yon konkav vid ant yo. De kwen yo pèmèt pou yon pi bon men nan glas la, menm lè l panche.
505	science/technology	Sit sa yo prezante aspè pozitif yo, tankou posibilite pou kreye fasilman yon paj klas ki kapab gen blòg yo, videyo yo, foto ak lòt eleman yo.
1333	science/technology	Yo itilize teknoloji satelit yo pa rapò a ansyen teknoloji rada yo pou pèmèt kontwolè aeryen yo lokalise avyon yo avèk yon pi bon pozisyon epi bay pilòt yo enfòmasyon presi.
1173	sports	Afrik di sid t bat Tout Nwa yo (Nouvèl Zelann) nan match ribgi twa nasyon yo nan stad Wayal Bafokeng Rstenboug, nan Afrik di sid.
945	travel	Vikings yo te itilize wout navigab ris yo pou yo rann yo nan lanmè Nwa a epi lanmè Kaspyèn lan. Kèk pati nan wout sa yo toujou kapab itilize. Verifye si pèmi espesyal yo ki kapab difisil pou jwenn, yo nesesè.
1012	sports	USA Gymnastics ap sipòte yon ankèt endepandan ki ta kapab fè limyè sou fason kote abi kondisyon an dekri avèk anpil kouraj pa reskape yo Larry Nassar pat kapab pase inapèsi pandan lontan epi adopte tout chanjman nesesè ak apwopriye.
712	travel	Plis pase 60 bato kwazyè ap travèse dlo Galapagos yo avèk yon kapasite sòti nan 8 ak 100 pasaje.
1654	science/technology	De teyori kontni popilè se teyori piramid bezwen yo de Maslow epi teyori de faktè yo de Hertzberg.
