	index_id	category	text	gpt-4
0	1523	science/technology	उत्परिवर्तनं नूतनां जनुकीयभिन्नतां समायोजयति तथा च चयनं तां व्यक्तभिन्नतायाः भेदतः अपाकरोति।	I'm sorry, but the text you provided is in Sanskrit and it doesn't seem to be related to any specific news category. Could you please provide more context or translate the text to English?
1	1644	science/technology	विखण्डनस्फोटकः अस्मिन् तत्त्वे कार्यं करोति यत् सः बहुप्रोटॉनन्यूट्रॉनकणैः सहितं कोशकेन्द्रं स्थापयितुं ऊर्जां गृह्णाति।	"This piece of news seems to be related to ""Science/Technology"" as it talks about nuclear fission, a scientific concept."
2	558	science/technology	कोशकेन्द्रे प्रोटॉन तथा न्यूट्रॉन इत्याख्यौ द्वौ कणौ स्तः।	"Without further context or translation, it's difficult to categorize the news article. The text appears to be in Hindi and mentions ""proton"" and ""neutron,"" which suggests it might be related to science/technology. However, I would need more information to accurately categorize it."
3	456	science/technology	एतत् निकटवर्तित कनीनिकाः चित्राणां स्थिरबिन्दुविस्तारक कनीनिकाभ्यः उपमाने उत्तमगुणवत्ता चित्राणां उत्पादयितुं अनुमन्यन्ते।	"This news appears to be related to ""Science/Technology"" as it mentions about lenses and production of high-quality images, which is a topic typically covered under this category. However, please note that the text is in Sanskrit and the translation might not be 100% accurate."
4	906	science/technology	ते अनेकं कारणतः सप्ताहस्य परदानां पश्चातः उत्तमः अस्ति । यातायातः, न केवल http ।	I'm sorry, but the text you provided is in Sanskrit and doesn't seem to be related to any specific news category. Could you please provide more context or a translation?
5	452	science/technology	अन्तर्क्रियात्मकसंरचनायाः कृते इदम् आवश्यकं यत् भवान् माध्यमनिर्मितेः गृहीतकानि पुनः परीक्षेत तथा च अरैखिकमार्गैः चिन्तनं अध्येत।	I'm sorry, but the text you've provided is in Sanskrit, and it doesn't seem to contain any specific news content. Could you please provide a news article in English for me to categorize?
6	1557	science/technology	एषः सामान्यः व्यवहारः अभवत् किन्तु लोहकारणात् यानानां काष्ठचक्राणि अधिकं जीर्णीभूतानि।	"The text provided is in Sanskrit, and it seems to be related to technology or transportation, possibly discussing the wear and tear of wooden wheels due to metallurgy. Therefore, it can be categorized under ""Science/Technology""."
7	1360	science/technology	प्रदृप्तिः एक एवं त्रयः संबंधित वयस्क पुरुषेण कल्पितः, तृष्णित जाया अपि च शावकेन सह ।	I'm sorry, but the text you provided is in Sanskrit and doesn't seem to contain any specific news information. Could you please provide more details or context?
8	1675	science/technology	यद्यपि AI विज्ञानकल्पनायाः दृढम् अर्थं धारयति, तथापि AI सङ्गणकविज्ञानस्य महत्त्वपूर्णां शाखां निर्माति या यन्त्रे वर्तनम् अध्ययनं तथा च बुद्धिमत् अनुकूलनं निर्माति।	"This news article is regarding ""Science/Technology"", as it discusses AI (Artificial Intelligence), which is a significant branch of computer science."
9	1430	science/technology	अस्य संरूपस्य दर्शनानुपातः ( सामानन्यतमं पूर्णाङ्कानुपातं प्राप्तुम् 12 इति सङ्ख्यया विभज्य) अतः 3:2 इति कथितः अस्ति।	I'm sorry, but the text you've provided is in Sanskrit and doesn't contain enough context for me to categorize it under any of the topics you've listed. Could you please provide more information or a translation?
10	1907	science/technology	एकः सैटेलाइट फोन साधारणतः एक मोबाइल फोनस्य कृतं एक प्रतिस्था पन न अस्ति, कारणः त्वं फोन कालं कृतं हेतु उपग्रह प्रति स्पस्त दृष्टिनां सह द्वारस्य वर्ही भवतस्य इति आवश्यकम् ।	"This news article is related to ""Science/Technology""."
11	1555	science/technology	यद्यपि यानमार्गेषु केवलं समान्तराः काष्ठफलकाः समाविष्टाः आसन् तथापि ते अश्वान् महत्तरं वेगं प्राप्तुं तथा च दिवसे अल्पतरेषु रुक्षमार्गेषु विशालभारान् वोढुम् अन्वमन्यन्त।	"This piece of news seems to be related to ""Travel"". The text is in Sanskrit and talks about travel routes and transportation."
12	1632	science/technology	जनाः सुवर्णं, रजतं, ताम्रम् आदिन् मूलरासायनिकधातून् पुराकालतः जानन्ति। एते सर्वे निसर्गे मूलरूपेषु प्राप्तुं शक्यते तथा च सापेक्षरूपेण सामान्यसाधनैः खनितुं शक्याः।	"This piece of news seems to be related to ""Science/Technology"" as it discusses about chemical elements like gold, silver, copper etc."
13	1354	science/technology	चक्रः विश्वं अविश्वसनीय प्रकारैः परिवर्तितः। अस्मभ्यं चक्रस्य बृहत् कार्यं अस्ति यत् अस्माकं सुलभ एवं तीव्रं परिवहनं दतवान।	Without more context, it's difficult to categorize this news article. However, it seems to be related to travel or technology, as it mentions transportation.
