	index_id	category	text	gpt-4
0	1523	science/technology	Mutacyjo przidowo nowo zmiynność gynetyczno, a selekcyjo wychrōnio ja z puli zmiynności wyrażōnyj.	I'm sorry, but the text provided is not in English and I can't determine the category. Could you please provide the text in English?
1	1644	science/technology	Bōmba rozszczypiyniowo funguje tak, iże potrzeba ynergije, coby słożyć jōndro z mocy protōnōw i neutrōnōw.	"This piece of news seems to be related to ""science/technology"" as it discusses the functioning of a bomb, which involves physics and engineering."
2	558	science/technology	Jōndro skłodo sie z dwōch tajleczek - neutrōnōw i protōnōw.	The text you provided seems to be in a different language and not complete enough to categorize. Could you please provide a full English translation or a more comprehensive excerpt?
3	456	science/technology	Pozwolyło to ôbiektywōm zmiynnoôgniskowym na wykōnowanie zdjyńć ô jakości porōwnowalnyj z jakościōm uzyskowanōm bez ôbiektywy ô stałyj ôgniskowyj.	"This text appears to be in Polish and seems to be related to photography or optics, which would fall under the category of ""Science/Technology."" However, without a full translation or context, it's difficult to categorize accurately."
4	906	science/technology	Sōm ône lepsze ôd serwerōw proxy z poru powodōw: Przekerowujōm cołki ruch internetowy, niy ino http.	The provided text seems to be in a different language and it's not clear what the news is about. Could you please provide more information or translate the text to English?
5	452	science/technology	Projektowanie interaktywne wymogo pōnownyj ôcyny założyń tyczōncych sie produkcyje mediōw i nauczynio sie myślynio we spusōb niylinijowy.	"The provided text seems to be in Polish and talks about interactive design, which falls under the category of ""Science/Technology""."
6	1557	science/technology	Stało sie to powszechnōm praktykōm, ale żelazo powodowało srogsze spotrzebowanie drzewianych kōł ôd wagōnōw.	I'm sorry, but the text you provided is in Polish and doesn't provide enough context to categorize it under any of the topics you mentioned. Could you please provide more information or a translation?
7	1360	science/technology	Stada skłodajōm sie z jednego do trzech spokrewniōnych majoryntnych samcōw, społym z nawet trzidziystōma samicami i modymi.	I'm sorry, but the text you provided is in Polish and seems to be about animal behavior, possibly related to a specific species. However, without more context or a more specific topic, it's difficult to categorize it accurately. Could you please provide more information or clarify the topic?
8	1675	science/technology	Chocioż AI mo siylne kōnotacyje z science fiction, AI stanowi barzo ważno gałōńź informatyki, zajmujōnco sie zachowaniym, uczyniym sie i inteligyntnōm adaptacyjōm w maszinie.	"This piece of news seems to be regarding ""science/technology"", as it discusses artificial intelligence (AI), a significant branch of computer science."
9	1430	science/technology	Spōłczynnik proporcyje tego formatu (bez dzielynie bez dwanoście, coby dostać prosty spōłczynnik liczbōw cołkowitych) wynosi tōż 3:2.	I'm sorry, but the text you provided is not in English and it doesn't seem to contain any clear news information. Could you please provide a news article or clarify the topic you're referring to?
10	1907	science/technology	Telefōn satelitarny ôgōlnie niy ma substytutym mobilnioka, pōniywoż musisz być na zewnōntrz w czystyj lynije widzynio ôd satelity, coby wykōnać połōnczynie telefōniczne.	"This piece of news seems to be related to ""science/technology"" as it discusses satellite phones, which are a technological device."
11	1555	science/technology	Mimo, iże glajzy wagōnowe skłodały sie jyno z rōwnolygłych desek drzewianych, ône przizwolały ciōngnōncym je kōniōm ôsiōngać srogsze wartkości i ciōngnōńć srogsze ladōnki aniżeli na niyco barzij surowych drōgach tamtych czasōw.	"The text provided is in Silesian language and it seems to be discussing historical transportation methods, specifically wagons. Therefore, it could be categorized under ""history"". However, none of the categories you provided (""science/technology, travel, politics, sports, health or geography"") directly apply to this content."
12	1632	science/technology	Ludzie wiedzieli ô bazowych elymyntach chymicznych - takich jak złoto, strzybro i miydź - ôd starożytności, pōniywoż wszyjske ône mogōm być ôdkryte w przirodzie we formie rodzimyj i sōm doś proste do wydobycio ze pōmocōm prymitywnych noczyń.	"This piece of news seems to be related to ""science/technology"", as it discusses about basic chemical elements."
13	1354	science/technology	Koło zmiyniyło świat w niyôbyczajny spōsōb. Nojsrogszōm rzeczōm, jakōm koło zrobiyło do nos je to, co dało nōm moc łatwiyjszy i gibszy transport.	"This piece of news seems to be related to ""science/technology"" as it discusses the impact of the wheel on transportation. However, without more context, it's hard to categorize it definitively."
14	462	science/technology	Je to robiōne, coby być zicher, co ôbroz zakryje cołki ekran. Mianuje sie to nadmiarowiściōm ôbrozu.	I'm sorry, but the text you provided is not in English and seems to be mixed with different languages. Could you please provide a clear news article or specify the category you're interested in?
15	404	science/technology	Niymiecke szify podwodne były nazywane U-Bootami. Niymce byli fest dobre we nawigacyji i ôperowaniu swojimi szifami podwodnymi.	This piece of news seems to be related to history or military, specifically about German submarines (U-Boote). However, it doesn't fit directly into any of the categories you provided (science/technology, travel, politics, sports, health, or geography).
16	604	science/technology	Chocioż jeji stōn fizyczny może sie zmiyniać, jeji stōn chymiczny ôstowo taki sōm.	I'm sorry, but the text provided is not in English and doesn't seem to contain clear information about any specific news topic. Could you please provide more context or translate the text?
17	352	science/technology	Napiyncie powierzchniowe wystympuje, pōniywoż czōnsteczki wody na powiyrzchni wody sōm fest prziciōngane do siebie, barzij aniżeli do czōnsteczek luftu bydōncych nad niymi.	This piece of news seems to be related to science/technology, specifically discussing a phenomenon related to the properties of water. However, without more context, it's difficult to accurately categorize.
18	459	science/technology	Jednym ze nojczynstszych problymōw przi kōnwertowaniu filmu do formatu DVD je nadbytek ôbrozu.	"The text provided is in Polish and discusses a problem related to converting a film to DVD format. Therefore, this can be categorized under ""Science/Technology""."
19	1519	science/technology	W ôsobliwości pado sie, iże po noleżnyj interpretacyji mikroekspresyjōw idzie wykryć, eli dano ôsoba łgo.	"The given text seems to be in a language other than English, making it difficult to categorize. However, it seems to mention ""interpretation"" and ""microexpressions"", which could potentially relate to science/technology or health. Please provide an English translation for a more accurate categorization."
20	1338	science/technology	Złoto idzie ôbrobiać w roztōmajte kształty. Może być swijane w drobne formy.	I'm sorry, but the text provided is not in English and does not provide enough context to categorize it into any of the mentioned categories. Could you please provide more information or translate the text into English?
21	1679	science/technology	Systym AI je teroźnie czynsto używany w dōmynie ekōnōmije, medycyny, inżynieryje i wojska, jak tyż ôstoł wbudowany w pora aplikacyji kōmputrōw dōmowych i szpilōw wideo.	"This news article is related to ""science/technology""."
22	1428	science/technology	Je produkowany do dzisiej, ale co ważne, jego proporcyje erbły formaty przetwornikōw ôbrazu ôd cyfrowych aparatōw.	"The text provided is in Polish and seems to be about technology, specifically digital cameras. Therefore, this piece of news would fall under the ""Science/Technology"" category."
23	1432	science/technology	Czynsto nadużywane i tyż czynsto wyśmiywane prawidło trōjpodziału je prostōm doradōm, keryj wykorzystanie tworzi dynamika przi jednoczesnym zachowaniu porzōndku we ôbrazie.	"I'm sorry, but the text you provided is in Polish and it seems to be about the principle of trisection, which is a mathematical concept. Therefore, it would fall under the category of ""science/technology""."
24	1024	science/technology	To niy ino potwiyrdzo, iże aby niykere dinozaury miały piōra, teoryjo już szyroko rozpowszechniōno, ale pokazuje ôsobliwości, co skamieliny zwykle niy mogōm, take jak farba i trōjwymiarowy ukłod.	"This news article seems to be related to ""Science/Technology"", as it discusses theories about dinosaurs, which falls under the category of paleontology, a branch of science."
25	373	science/technology	W jaki spōsōb grawitacyjo Io wpływałaby na mie? Kebyś stanōł na powiyrzchni Io, wożōłbyś mynij aniżeli na Ziymi.	It seems like this article is related to science/technology, specifically astronomy and physics, as it discusses the gravitational influence of Jupiter's moon Io.
26	1332	science/technology	NextGen to systym, kery podle FAA przizwolōłby fligrōm lotać na krōtszych sztrekach i uszporować milijōny galonów poliwa kożdego roku jak tyż ôgraniczyć ymisyje dwutlynku wōnglo.	"This news article seems to be related to ""science/technology"" and ""travel"", as it discusses a new system (NextGen) that could allow flights to travel shorter distances and save millions of gallons of fuel each year, as well as reduce carbon dioxide emissions."
27	1670	science/technology	Dane neurobiologiczne lifrujōm fizycznych dowodōw dlo teoretycznego podejścio do podszukowanio poznanio. Zawynżajōm tōż pole badawcze i czyniōm je moc akuratniyjszym.	"Based on the information provided, this news article would fall under the category of ""science/technology""."
