	index_id	category	text	gpt-3
0	1523	science/technology	Perubahan genetik baharu pertambahan mutasi dan pemilihan mengeluarkan dari himpunan perubahan yang ditonjolkan.	Based on the provided text, it is difficult to determine the category of the news article. The text appears to be in Malay language and does not provide enough context to categorize it into a specific news category.
1	1644	science/technology	Bom pembelahan berfungsi berdasarkan prinsip bahawa tenaga diperlukan untuk menggabungkan nukleus dengan proton dan neutron yang banyak.	This piece of news appears to be related to science/technology, specifically nuclear physics.
2	558	science/technology	Nukleus terdiri daripada dua partikel iaitu neutron dan proton.	This is a piece of news regarding science/technology. It discusses the composition of the nucleus, which consists of two particles, neutrons and protons.
3	456	science/technology	Ini telah membolehkan kanta zum menghasilkan gambar yang berkualiti setanding dengan yang dicapai oleh kanta dengan jarak fokus tetap.	This piece of news is regarding science/technology. It discusses a new development in camera technology that allows the lens to produce high-quality images comparable to those achieved by a fixed-focus lens.
4	906	science/technology	Mereka adalah bagus pada proksi jaringan untuk beberapa sebab: Mereka mengalih semua laluan Internet, bukan hanya http.	Based on the provided text, it appears to be a piece of news related to technology or specifically, computer networking.
5	452	science/technology	Reka bentuk interaktif memerlukan anda menilai semula jangkaan anda berkenaan produksi media dan belajar untuk berfikir secara tidak linear.	This piece of news seems to be related to science/technology. It discusses the need to reassess expectations regarding media production and learning to think non-linearly in the context of interactive design.
6	1557	science/technology	Ini telah menjadi kebiasaan, tetap besi tersebut telah membuat roda kayu gerabak tersebut menjadi haus.	Based on the provided text, it does not appear to be a news article. It seems to be a statement or sentence that does not fit into any specific news category.
7	1360	science/technology	Sekumpulan singa dibentuk daripada seekor hingga tiga ekor jantan dewasa, bersama sebanyak tiga puluh ekor betina dan anak-anaknya.	This piece of news seems to be related to geography or wildlife. It mentions a group of lions consisting of one to three adult males, along with thirty females and their offspring.
8	1675	science/technology	Walaupun AI mempunyai konotasi yang kuat dengan fiksyen sains, AI membentuk cawangan yang sangat penting dalam sains komputer, berurusan dengan sikap, pembelajaran dan penyesuaian pintar dalam mesin.	This piece of news is regarding science/technology. It discusses the important role of AI in computer science, dealing with attitudes, intelligent learning, and adaptation in machines.
9	1430	science/technology	Nisbah aspek format ini (terbahagi kepada dua belas bagi mendapatkan nisbah keseluruhan yang paling mudah) yang dikatakan 3:2.	Based on the information provided, it is not clear what specific aspect or topic the news article is about. Could you please provide more details or context about the article?
10	1907	science/technology	Secara umumnya,telefon satelit bukanlah pengganti telefon bimbit, kerana anda perlu berada di luar rumah untuk membuat penghantaran garis yang jelas ke satelit untuk membuat panggilan telefon.	This piece of news seems to be related to science/technology, specifically satellite phones.
