index_id	category	text
797	technology	إذا كنت مسافر ومعك كمبيوتر محمول أو جهاز لوحي، اخزن نسخة إما في ذاكرته أو في قرصه (يمكن الوصول إليها بدون الإنترنت).
830	travel	ببعض القطارات العابرة للحدود تحصل عمليات تفتيش على القطار المتحرك ولازم أن يكون معاكم بطائق شخصية صالحة وقت صعودكم واحدة من هذي القطارات.
150	business	وكانت مجموعة فيرجين التابعة للسير ريتشارد برانسون ققدمت بطلب تم رفضه قبل تأميم البنك.
1806	travel	تميل بعض الحيوانات، مثل الفيلة والزراف، إلى الاقتراب بشكل وثيق من السيارات وبتسمح المعدات القياسية بالمشاهدة الجيدة.
902	disasters	الإعصار عمود دوار من هواء فيبُه ضغط شديد الانخفاض يشفط الهواء المحيط للداخل ولأعلى.
1225	sports	حصل ديل بوترو على ميزة مبكرة بالمجموعة الثانية، بس هذا تطلب كمان كسر التعادل بعد الوصول إلى 6-6.
1342	science	يتغير لون عصير الكوبش اعتمادًا على مدى حمضية المادة الكيميائية أو قلويتها.
1959	nature	الغابات الكثيفة تملأ منتزه بحيرات بليفيتش الوطني وتشكلها بالأساس أشجار الزان والتنوب والشوح، ويميزه مزيج من نباتات الألب والبحر الأبيض المتوسط.
341	business	"وبخصوص الوضع المالي العالمي، أكمل زاباتيرو قائلاً ""إن النظام المالي هو جزء من الاقتصاد، جزء رئيسي."
352	science	"تحدث خاصيّة ""التوتّر السّطحي"" لأنّ جزيئات الماء الموجودة على سطح الماء تنجذب بقوّة إلى بعضها البعض أكثر ممّا تنجذب إلى جزيئاتِ الهواءِ فوقها."
448	nature	يهاجر حوالي 1.5 مليون من الحيوانات العاشبة في شهر أكتوبر من كل سنة إلى السهول الجنوبية، ويعبرون نهر مارا، من التلال الشمالية من أجل الأمطار.
386	politics	كان الملك سيجونج الملك الرابع لأسرة جوسون، وكان أحد أكثر الملوك اللي حظوا بتقدير كبير.
1438	religion	كانت السلطة المركزية للكنيسة في روما لأكثر من ألف سنة، وقد أدى هذا التركيز للسلطة والمال إلى تساؤل الكثيرين عن مدى الوفاء بمتطلبات العقيدة.
394	politics	"لكن البحرية الملكية كانت عادِه أقوى بكثير من البحرية الألمانية (""كريغسمارينه"") وكانت تقدر أنه تدمر أي أسطول غزو يتم إرساله عبر القناة الإنجليزية."
1977	education	غني عن التعريف، أن معرفتك بلغة رومانسيّة شتسهّل عليك تعلّم اللغة البرتغاليّة.
1719	nature	يقع منتزه كروجر الوطني (KNP) بشمال شرق جنوب إفريقيا، ويمتد بمحاذاة حدود موزمبيق من الشرق، وزيمبابوي من الشمال، ويحدّه من الجنوب نهر كروكودايل.
29	crime	بقعه حريق بسجن أبو غريب بالعراق وقت أحداث شغب.
845	entertainment	مع ذلك، بالوقت الحالي به هناك فنانين متمكنين من الرسم على الجُدر، كمان به هناك فعاليات للكتابة على الجُدر وبرضو الجُدر القانونية. وبهذا السياق غالبا تشبه لوحات الكتابة على الجُدر أعمال فنية أكثر مما تشبه علامات مش مفهومة.
165	crime	وصل مهاجمو مدينة  مومباي عبر قارب في الـسادس والعشرين من شهر نوفمبر ( 26 نوفمبر 2008) ، حاملين معهم قنابل يدوية وأسلحة آلية وهاجموا أهدافًا متعددة بما في ذلك محطة سكة حديد مدينة  شاتراباتي شيفاجي المزدحمة بالسكان  وفندق تاج محل الشهير.
261	business	أعلنت نيجيريا بوقت سابق أنها سعت للانضمام إلى منطقة التجارة الحرة للقارة الإفريقية قبل انعقاد القمة بأسبوع.
531	sports	يلعبوا ثماني عشرة حفرةٍ في الجولة العادية، حيث يبدأ اللاعبون عادةً من أول حفرة بالملعب وينتهون بالحفرة الثامنة عشرة.
