	index_id	category	text	gpt-3
0	1523	science/technology	Die mutasieproses voeg nuwe genetiese variasie by, en seleksie verwyder dit van die poel van uitgedrukte variasie.	This piece of news seems to be related to science/technology, specifically genetics.
1	1644	science/technology	n Fissie bom werk op die beginsel dat dit energie neem om 'n nukleus met baie protone en neutrone saam te stel.	I'm sorry, but I couldn't categorize the news article based on the given text. It appears to be in a different language or format that I am unable to understand. If you provide me with an English text or a brief summary of the article, I would be happy to assist you in categorizing it.
2	558	science/technology	Die nukleus bestaan uit twee deeltjies - neutrone en protone.	This is a piece of news regarding science/technology. It discusses the composition of the nucleus, which consists of two particles - neutrons and protons.
3	456	science/technology	Hierdie het fokus lense toegelaat om fotos van kwaliteit vergelykbaar met lense van vasgestelde fokale lengte te maak.	This piece of news is regarding science/technology.
4	906	science/technology	Hulle is beter as webinstaanbedieners vir verskeie redes: Hulle herlei alle Internetverkeer, nie net http nie.	This piece of news seems to be related to technology, specifically internet service providers.
5	452	science/technology	Interaktiewe ontwerp vereis dat jy jou aannames oor media produksie herevalueer en leer hoe om in ‘n nie-lineêre manier te dink.	This sentence does not appear to be a news article. It seems to be a statement about interactive design and nonlinear thinking.
6	1557	science/technology	Dit het algemene praktyk geword, maar die yster het meer afwerking van die hout wiele van die waens veroorsaak.	I'm sorry, but I am unable to understand the language you used. Could you please provide the text in English?
7	1360	science/technology	Leeutroppe bestaan uit een tot drie verwante mannetjies, tesame met soveel as dertig wyfies en kleintjies.	I'm sorry, but I am unable to understand the language used in the text you provided. Please provide the text in English so that I can assist you in categorizing the news article.
8	1675	science/technology	Alhoewel Al ‘n sterk konnotasie met wetenskapsfiksie het, vorm Al ‘n baie belangrike tak van rekenaar wetenskap, wat met gedrag, leer en intelligente aanpassing in ‘n masjien te doen hê.	Based on the provided text, it does not appear to be a news article. It seems to be a sentence in Afrikaans discussing the importance of artificial intelligence in computer science.
9	1430	science/technology	Die beeldverhouding van hierdie formaat (deur twaalf te deel om die eenvoudigste heelgetalverhouding te verkry) is derhalwe 3: 2.	This is not a piece of news. It appears to be a statement about the aspect ratio of a certain format, which does not fall into any of the given categories.
10	1907	science/technology	‘n Satelietfoon is nie ‘n algemene vervanging vir ‘n selfoon, want jy moet buite wees met ‘n duidelike lyn van sig na die sateliet hê om ‘n oproep te maak.	This piece of news seems to be related to technology, specifically satellite phones.
11	1555	science/technology	Alhoewel waspore meestal bestaan het uit parallelle houtplanke, het hulle die perde wat hulle voortgesleep het toegelaat om dit teen groter snelhede en met groter vragte te doen as wat dit sou neem om dit op die bykans growwer paaie van die dag te doen.	I'm sorry, but I couldn't categorize the news article based on the provided text. Could you please provide more context or specific information from the article?
12	1632	science/technology	Mense het geweet oor basiese kemiese elemente soos goud, silwer en koper uit antieke tye, en hierdie kan almal in die natuur in hul basiese vorm aangetref word en is relatief eenvoudig om te myn met primitiewe gereedskap.	This piece of text does not appear to be a news article. It seems to be a statement about basic chemical elements and their presence in nature.
13	1354	science/technology	Die wiel het die wêreld in ongelooflike maniere verander. Die grootste ding wat die wiel vir ons gegee het is baie makliker en vinniger vervoer.	This piece of text does not seem to be a news article. It appears to be a statement about the impact of the wheel on transportation.
14	462	science/technology	Dit word gemaak om te verseker dat die beeld die hele skerm dek. Dit word oorskandering genoem.	Based on the provided text, it does not appear to be a news article. It seems to be a description or explanation of an image-related concept, rather than a news story.
15	404	science/technology	Duitse duikbote is U-Bote genoem. Die Duitsers was baie goed in die navigeer en opereer van hul duikbote.	Based on the provided information, this news article seems to be related to history or military rather than any of the given categories.
16	604	science/technology	Al verander die fisiese toestand bly die chemiese toestand dieselfde.	This sentence does not appear to be a news article. It seems to be a statement related to science or chemistry.
17	352	science/technology	Oppervlakspanning gebeur want die water molekules op die oppervlak van die water sterker tot mekaar aangetrek word as wat hul na die lugmolekules bo hulle aangetrek word.	Based on the provided text, it appears to be a piece of news related to science/technology. It discusses the concept of surface tension and the attraction between water molecules on the surface of the water.
18	459	science/technology	Een van die mees algemeenste probleme wanneer ‘n fliek na DVD-formaat omgeskakel word is die “overscan”.	This is a piece of news regarding technology.
19	1519	science/technology	In besonder word dit gemeld dit dat 'n mens kan optel wanneer 'n persoon lieg deur die mikro-uitdrukkings korrek te interpreteer.	This piece of news appears to be related to science/technology. It discusses the ability to detect when a person is lying by accurately interpreting micro-expressions.
20	1338	science/technology	Goud kan in allerande soorte vorms bewerk word. Dit kan ook gerol word in klein vormpies.	This statement does not appear to be a news article. It seems to be a general statement about gold and its various forms.
21	1679	science/technology	Die AI sisteen is nou gereeld gebruik in die velde van ekonomie, medisyne, ingeneurswese en die militêre eenhede, en is ook ingebou in verskeie tuisrekenaars en videospeletjie sagteware toepassings.	This piece of news is regarding science/technology.
22	1428	science/technology	Dit word nogsteeds vervaardig vandag, maar meer belangrik is dat die aspek verhouding oorgeerf is deur digitale kamera beeld sensor formate.	This piece of news seems to be related to science/technology. It mentions the aspect ratio being inherited by digital camera image sensor formats.
23	1432	science/technology	Die veel-misbruikte en gereeld bespotte reël van derdes is 'n eenvoudige riglyn wat beweging skep terwyl dit 'n mate van orde in 'n beeld behou.	Based on the provided text, it does not appear to be a news article related to science/technology, travel, politics, sports, health, or geography. It seems to be discussing a rule of thirds in a visual context.
24	1024	science/technology	Dit bevestig nie net dat daar ten minste sommige dinosaurusse was wat vere gehad het nie, wat reeds ‘n wydverspreide teorie is, maar bied ook besonderhede wat fossiele oor die algemeen nie kan nie, soos kleur en drie-dimensionele rangskikking.	This piece of news is regarding science/technology. It confirms not only that there were dinosaurs with feathers, which is already a widely accepted theory, but also provides details that fossils generally cannot, such as color and three-dimensional arrangement.
25	373	science/technology	Hoe sou Io se swaartekrag op my inwerk? Indien jy op die oppervlak van Io sou staan, sou jy minder weeg as wat jy op Aarde weeg.	This is a piece of news regarding science/technology and geography. It discusses the effect of gravity on the surface of Io, one of Jupiter's moons.
26	1332	science/technology	NextGen is ‘n sisteem wat die FLA beweer sal lugvaartuie toelaat om korter roetes te vlieg en miljoene liters brandstof jaarliks spaar en koolstof uitlatings sny.	This piece of news is regarding science/technology. It discusses the NextGen system, which claims to allow aircraft to fly shorter routes, save millions of liters of fuel annually, and reduce carbon emissions.
27	1670	science/technology	Neurobiologiese data bied fisiese bewyse vir 'n teoretiese benadering tot die ondersoek van kognisie. Dus vernou dit die navorsingsarea en maak dit dit meer presies.	This piece of news is regarding science/technology.
28	61	science/technology	Tydens sy 2 uur toespraak het hy genoem dat, “Vandag gaan Apple die foon herbedink, Ons gaan vandag geskiedenis maak”.	Based on the provided text, it is not possible to categorize this news article into any of the given categories. The text appears to be in Afrikaans and does not provide any specific information about science/technology, travel, politics, sports, health, or geography.
29	454	science/technology	Die nadele van zoomlense is dat die ingewikkeldheid van die fokus en aantal lens elemente wat vereis word om ‘n reeks fokuslengtes te verkry veel groter is as vir prima lense.	This piece of news seems to be related to science/technology, specifically about the disadvantages of zoom lenses compared to prime lenses.
30	1234	science/technology	Dit stel ‘n televisie afstandbeheer voor, die beheerder gebruik twee sensors wat naby die gebruiker se televisie geplaas word om die posisie daarvan in drie-dimensionele ruimte te trianguleer.	This piece of news is regarding science/technology.
31	1025	science/technology	Wetenskaplike sê dat hierdie dier se vere kastaiingbruin bo-op met ‘n vaal of karetoïed-gekleurde onderkant het.	This piece of news is regarding science/technology.
32	1254	science/technology	Die twee verbindings reageer met mekaar om kristalle te vorm wat nier funksie mag blokkeer, het navorsers by die Universiteit gesê.	This piece of news is related to health.
33	780	science/technology	Dit gee 'n resolusie van byna vier keer van dit van 'n 35 mm negatief (3136mm2 tenoor 864).	I'm sorry, but I am unable to understand the language you used in your response. Could you please provide the information in English?
