index_id	category	text
431	geography	Turquia es enrodada per de mars sus sos tres costats: la Mar Egèa a l’oèst, la Mar Negra al nòrd e la Mar Mediterranèa al sud.
403	science/technology	Al començament de la guèrra viatjavan subretot sus la mar, mas estent que los radars comencèron a èsser desvolopats e a venir pus precises los sosmarins foguèron forçats a anar jos l’aiga per evitar d’èsser vistes.
1592	science/technology	Estant que la coneissença del grèc declinèt, Occident se trobèt copat de sas rasics filosoficas e scientificas grègas.
993	entertainment	Pasmens, an un genre diferent de beutat e d'embelinament durant l'ivèrn, amb mantas estacions de montanha que recebon de quantitats sanas de nèus e que prepausan d'activitats talas coma l'esquí e lo snowboard.
755	entertainment	Aquestes otèls èran ont los rics e las celebritats del jorn demoravan, e avián sovent una cosina e una vida nocturna rafinadas.
1936	politics	En 1994, aquel conflicte menèt a la creacion de l'autoproclamada Republica de Transnístria dins l'èst de Moldàvia, qu'a son pròpri govèrn e sa moneda mas es pas reconeguda per cap dels païses membres de l'ONU.
1205	health	Danielle Lantagne, una expèrta de l'ONU de la malautiá, declarèt que l'epidèmia èra estada probablament causada pels soldats de manten de la patz.
1692	geography	Los espandis grands mai al nòrd son puslèu escassament poblats e d'unes son gaireben de regions salvatjas inabitadas.
280	politics	Los organizadors de la manifestacion afirmèron que aperaquí 100.000 personas i participèron dins de vilas alemandas coma Berlin, Colonha, Amborg, e Hannover.
247	politics	Aquestes agents son responsables de fornir de servicis governamentals e judiciaris en vertut de l'article 247 de la Constitucion paquistanesa.
1439	politics	Lèu après lo desencadenament de las ostilitats, Granda Bretanha lancèt un blocatge naval d'Alemanha.
1239	entertainment	"""Es fòrça polida e canta pro plan, tanben,"" diguèt segon la transcripcion de la conferéncia de premsa."
743	geography	Las Islas Cook an pas cap de vila mas son compausadas de 15 islas diferentas. Las principalas son Rarotonga e Aitutaki.
18	politics	I aguèt de manifestacions dins lo mond entièr, divèrsas enseguidas criminalas, e los caps dels govèrns d'Islàndia e Paquistan demissionèron totes dos.
