index_id	category	text
431	geography	Turkiją net iš trijų pusių supa jūros: Egėjo vakaruose, Juodoji šiaurėje ir Viduržemio pietuose.
403	science/technology	Karo pradžioje jie daugiausia plaukė vandens paviršiuje, tačiau patobulėjus ir pradėjus tiksliau veikti radarams povandeniniai laivai buvo priversti pasinerti, kad nebūtų pastebėti.
1592	science/technology	Irako Abu Ghraibo kalėjimas buvo padegtas per riaušes.
993	entertainment	Tačiau žiemą jie pasižymi kitokiu grožiu ir žavesiu: daugelyje kalvų miestelių iškrenta pakankamai sniego ir siūlomi tokie užsiėmimai kaip slidinėjimas bei snieglenčių sportas.
755	entertainment	Šie viešbučiai buvo ten, kur apsistodavo turtingieji bei garsieji, ir dažnai turėjo puikias maitinimo bei naktinių pramogų įstaigas.
1936	politics	1994 m. po šio konflikto rytų Moldovoje buvo įkurta savavališkai pasiskelbusi Padniestrės Respublika, turinti savo vyriausybę ir valiutą, bet nepripažįstama jokios JT valstybės narės.
1205	health	Šios ligos ekspertės Jungtinėse Tautose Danielle'ės Lantagne teigimu, protrūkį greičiausiai sukėlė taikdariai.
1692	geography	Toliau šiaurėje dideli plotai gana retai apgyventi, o kai kur plyti beveik negyvenami tyrlaukiai.
280	politics	Kaip teigė protesto organizatoriai, Vokietijos miestuose, pavyzdžiui, Berlyne, Kelne, Hamburge ir Hanoveryje, susirinko maždaug 100 000 žmonių.
247	politics	Šie agentai atsakingi už vyriausybės ir teisminių paslaugų pagal Pakistano Konstitucijos 247 straipsnį teikimą.
1439	politics	Netrukus po tokios agresijos Didžioji Britanija inicijavo Vokietijos jūrų blokadą.
1239	entertainment	Spaudos konferencijos stenogramoje nurodyta, kad, jo žodžiais, „ji labai miela ir gana gerai dainuoja“.
743	geography	Kuko salose nėra miestų, jas sudaro 15 skirtingų salų. Pagrindinės yra Rarotonga ir Aitutaki.
18	politics	Protestai vyko visame pasaulyje, keletas asmenų buvo patraukti baudžiamojon atsakomybėn, o Islandijos ir Pakistano vyriausybių lyderiai atsistatydino.
1344	science/technology	Vandenilio jonai – tai yra protonai, iš kurių yra pašalinti jų elektronai (vandenilio atomą sudaro vienas protonas ir vienas elektronas).
688	travel	Pranešama, kad vienas turtingiausių pasaulio žmonių Allenas investavo didelę dalį savo turtų į jūrų tyrinėjimą ir pradėjo savo paieškas, kad surastų musashi visą gyvenimą dominantį karą.
556	science/technology	Atomas gali būti laikomas viena svarbiausių sudedamųjų materijos dalių.
1645	science/technology	Panašiai kaip stumti į kalną sunkų vežimą. Branduolys vėl skyla ir išsilaisvina kažkiek energijos.
907	science/technology	Paprastai jie siūlo geresnį tinklo pralaidumą ir geresnę paslaugų kokybę. Jie yra užšifruoti ir todėl juos sunkiau šnipinėti.
1071	politics	Tačiau premjeras Johnas Howardas pasakė, kad įstatymu siekiama tik apsaugoti ligoninės infrastruktūrą, kad Tasmanijos valdžia jos nepablogintų – tam papildomai skiriama 45 milijonai AUD.
555	sports	Sportininkai gali jausti, kad renkasi produktą, net jei jis neteikia jokios realios naudos.
1203	health	Prieš atvykstant kariuomenei, Haitis nuo XIX a. pradžios nebuvo susidūręs su problemomis, susijusiomis su šia liga.
58	politics	Policija teigė, kad Lo Piccolo buvo viršiausias, nes jis buvo Provenzano dešinioji ranka Palerme ir jo didesnė patirtis pelnė jam vyresniosios kartos bosų pagarbą, šiems vykdant Provenzano politiką veikti kuo mažiau, tuo pačiu metu stiprinant savo galios tinklą.
1764	travel	Be to, atminkite, kad kvapai pritraukia meškas ir kitus laukinius gyvūnus, todėl venkite nešiotis ar gaminti kvapius maisto produktus ir laikykite stovyklavietę švarią.
195	sports	Massa nedalyvaus mažiausiai iki 2009 m. sezono pabaigos.
1785	travel	Išankstinis užsakymas suteikia keliautojui ramybę, nes žino, kad turės kur nakvoti, kai pasieks kelionės tikslą.
600	science/technology	Cheminiai elementai ir junginiai gali pereiti iš vienos būsenos į kitą nepakisdami.
553	sports	Vidutinio nuotolio bėgimas yra palyginti nebrangus sportas; tačiau yra daug klaidingų nuomonių dėl tam tikros įrangos, kurios reikia norint juo užsiimti.
1720	geography	Parkas apima 19 500 km² plotą, yra suskirstytas į 14 ekologinių zonų, kurių kiekvienoje saugoma vis kitokia gyvūnija.
1622	geography	Amazonės upė yra antra pagal ilgį ir didžiausia upė Žemėje. Ji neša daugiau nei 8 kartus daugiau vandens nei antroji pagal dydį upė.
1441	politics	Didžioji Britanija užminavo tarptautinius vandenis, kad jokie laivai nepatektų į jokias vandenyno dalis ir nesukeltų pavojaus net neveiksmingiems valstybės laivams.
566	health	Rega – gebėjimas matyti – priklauso nuo regos sistemos jutimo organų – akių.
1515	science/technology	Išskirtinės interneto savybės lemia papildomų dimensijų naudojimo ir troškimų tenkinimo atžvilgiu atsiradimą.
585	science/technology	Tačiau pirmi tikrieji teleskopai buvo sukurti Europoje XVI a. pabaigoje.
1689	geography	Otava yra žavinga, dvikalbė Kanados sostinė, kurioje gausu meno galerijų ir muziejų, kuriuose susipina Kanados praeitis ir ateitis.
1256	health	Lyginant infraraudonųjų spindulių spektroskopijos (FTIR) metu, šių kristalų sudėtis atitinka ir paveiktų naminių gyvūnų šlapime randamas medžiagas.
60	science/technology	„Apple“ generalinis direktorius Styvas Džobsas prietaisą pristatė atėjęs į sceną ir išsitraukęs „iPhone“ iš džinsų kišenės.
32	sports	Prieš Alonso'ą važiavusiems automobiliams sustojus degalų saugos automobilio fazės metu, jis atsidūrė pirmoje vietoje ir laimėjo.
1411	politics	Vykstant revoliuciniam karui, iš pradžių trylika valstijų sudarė silpną centrinę vyriausybę (kurios vienintelė dalis buvo Kongresas), remdamosi Konfederacijos straipsniais.
13	sports	Nadalis per mačą laimėjo 88 proc. taškų prie tinklelio, o pirmuoju padavimu – 76 taškus.
1941	travel	Platūs bulvarai, pastatai stiklo fasadais ir modernūs prekybos centrai sudaro kontrastą tradiciniams raudonomis čerpėmis dengtiems stogams, XVIII a. turgui ir senosioms mečetėms bei bažnyčioms, nors mieste tvyro labiau Europos Viduržemio jūros regiono nei tradicinės Turkijos atmosfera.
732	sports	Visleryje (1,5 val. kelio nuo Vankuverio) yra brangu, tačiau jis yra žymus dėl 2010 m. žiemos olimpinių žaidynių.
871	entertainment	Ryte pripildykite namus sodriu kavos aromatu, o vakare išgerkite atpalaiduojančios ramunėlių arbatos.
886	geography	Antarktida – šalčiausia vieta Žemėje, plytinti aplink Pietų ašigalį.
362	science/technology	Po šimtų veikimo valandų kaitinamasis lemputės siūlelis galiausiai sudega ir lemputė nebeveikia.
1578	health	Etiketėje suraskite konkrečios medžiagos, kuria apsinuodyta, pirmosios pagalbos instrukcijas.
996	travel	Visais atvejais turite atlikti rezervaciją paskambinę tiesiai į oro linijų bendrovę.
197	health	Prezidento būklė stabili, tačiau kelias dienas jis bus izoliuotas namuose.
460	entertainment	Daugelis televizorių gaminami siekiant patenkinti plačiosios visuomenės poreikius.
154	geography	Patvirtinta, kad iš maždaug 24 000 žinomų į Žemę nukritusių meteoritų marsiškos kilmės buvo tik apie 34.
1160	politics	Pareigūnams patikrinus rinkėjo tapatybę, rinkėjas įmeta voką į balsadėžę ir pasirašo balsavimo ritinėlį.
1223	entertainment	Jie atšaukė turą, kai atlikėjas Stevenas Tyleris susižeidė nukritęs nuo scenos koncerte rugpjūčio 5 d.
54	politics	Peteras Costello, Australijos iždininkas ir žmogus, kuris greičiausiai pakeis ministrą pirmininką Johną Howardą liberalų partijos lyderio vietoje, išreiškė palaikymą Australijos branduolinės energetikos pramonei.
7	politics	Protestas prasidėjo apie 11 val. vietos laiku (UTC+1) Whitehall kelyje priešais policijos saugomą įvažiavimą į Downing gatvę, kurioje yra Ministro Pirmininko oficiali rezidencija.
1010	sports	„USA Gymnastics“ pritaria JAV olimpinio komiteto laiškui ir sutinka, kad olimpinei šeimai yra būtina skatinti saugią aplinką visiems sportininkams.
1174	sports	Galutinis rezultatas buvo pergalė vienu tašku (21 su 20), užbaigusi „All Blacks“ 15 pergalių virtinę.
1202	health	Ieškinyje nurodoma, kad atliekos iš JT stovyklos nebuvo tinkamai dezinfekuotos, todėl į Artibonito upės – vienos didžiausių Haityje – intaką pateko bakterijų.
958	travel	Nė viena oro transporto įmonių sąjunga nesiūlo visų trijų skrydžių per vandenyną pietų pusrutulyje (o „SkyTeam“ nesiūlo nė vieno iš jų).
354	science/technology	Šiuolaikinės pačiūžos ašmenys turi dvi briaunas, tarp kurių yra įgaubtas įdubimas. Dvi briaunos leidžia geriau įsikibti į ledą net ir pasvirus.
505	science/technology	Šios interneto svetainės turi teigiamų aspektų, pavyzdžiui, galima lengvai nustatyti klasės puslapį, kuriame gali būti tinklaraščių, vaizdo įrašų, nuotraukų ir kitų ypatybių.
1333	science/technology	Jai naudojama palydovinė technologija, o ne senesnė antžeminių radarų technologija, kad oro eismo kontrolieriai galėtų tiksliau nustatyti orlaivius ir suteikti pilotams tikslesnės informacijos.
1173	sports	Pietų Afrika įveikė „All Blacks“ (Naujoji Zelandija) Regbio sąjungos „Tri Nations“ rungtynėse, vykusiose karališkajame Bafokengo stadione, Rustenburge, Pietų Afrikoje.
945	travel	Vikingai Rusijos teritorijos vandens keliais pasiekė Juodąją ir Kaspijos jūrą. Dalis šių maršrutų yra vis dar naudojami. Specialius leidimus gali būti sunku gauti, todėl patikrinkite, ar jų reikia.
1012	sports	„USA Gymnastics“ remia nepriklausomą tyrimą, kuris gali atskleisti, kaip tokio masto išnaudojimas, apie kurį drąsiai papasakojo Larry'o Nassaro aukos, galėjo tokį ilgą laiką likti nepastebėtas, ir yra pasirengusi taikyti būtinus ir tinkamus pakeitimus.
712	travel	Daugiau kaip 60 kruizinių laivų plaukioja Galapagų vandenyse – jų dydis yra nuo 8 iki 100 keleivių.
1654	science/technology	Dvi populiarios turinio teorijos – Maslow poreikių hierarchijos teorija ir Herzbergo dviejų veiksnių teorija.
76	politics	Tačiau jis pakartojo savo ankstesnį teiginį, kad Roe prieš Wade'ą yra „nusistovėjęs krašto įstatymas“, ir pabrėžė Aukščiausiojo Teismo sprendimų nuoseklumo svarbą.
637	science/technology	Po ketverių metų buvo išduotas patentas, kuris buvo pirmasis pasaulyje patentas, išduotas MRT srityje.
1694	geography	Rytinės Afrikos salos yra Indijos vandenyne palei rytinį Afrikos krantą.
