	index_id	category	text	gpt-3
0	1523	science/technology	විකෘතිය නව ජාන විචල්‍යතාවයක් එක් කරන අතර, වරණය ප්‍රකාශිත විචල්‍යතා සංචිතයෙන් එය ඉවත් කරයි.	"This news article appears to be in the category of ""science/technology"" as it discusses the creation of a new artificial intelligence and the discontinuation of a related technology."
1	1644	science/technology	විඛණ්ඩන බෝම්බය ක්‍රියා කරන්නේ බොහෝ ප්‍රෝටෝන සහ නියුට්‍රෝන සමඟ න්‍යෂ්ටියක් එක් කිරීමෙන් ඇති වන ශක්තියේ මූලධර්මය මත ය.	This piece of news seems to be related to science/technology.
2	558	science/technology	න්‍යෂ්ඨිය- නියුට්‍රෝන හා ප්‍රෝටෝන ලෙස අංශූ දෙකකින් සමන්විත වේ.	I apologize, but I am unable to understand the language you used. Could you please rephrase your question in English?
3	456	science/technology	ස්ථාවර නාභීය දුරක් සහිත කාච මගින් ලබාගත් ගුණාත්මක භාවයට සමාන පින්තූර නිපදවීමට මෙය විශාලන කාචවලට ඉඩ දී ඇත.	This piece of news seems to be related to science/technology.
4	906	science/technology	ඒවා හේතු කිහිපයක් නිසා වෙබ් ප්‍රොක්සි වලට වඩා හොඳය: http පමණක් නොව, සියලුම අන්තර්ජාල දත්ත ගමන් ඒවා ප්‍රතියොමු කරයි.	I'm sorry, but I am unable to understand the language you have used. Could you please provide the text in English so that I can assist you?
5	452	science/technology	ඔබ මාධ්‍ය නිෂ්පාදනය පිළිබඳ ඔබේ උපකල්පන නැවත ඇගයීම කර රේඛීය නොවන ආකාරවලින් සිතීමට ඉගෙන ගැනීම අන්තර්ක්‍රියාකාරී සැලසුමට අවශ්‍ය වේ.	"මෙය අනුව {{""විද්‍යාව/තාක්ෂණය, විද්‍යාව/තාක්ෂණය, ගමන්, දේශපාලනය, ක්‍රීඩා, සෞඛ්‍ය හා භාෂාව""}} පිළිබඳ ප්‍රධාන පිළිබඳ ප්‍රකාශයක් විය හැක."
6	1557	science/technology	මෙය සාමාන්‍ය ක්‍රියාවක් බවට පත් වූ නමුත්, යකඩ නිසා කරත්තවල ලී රෝද වැඩිපුර ගෙවීයාමට ලක් විය.	I'm sorry, but I am unable to understand the language you used. Could you please provide the text in English?
7	1360	science/technology	ප්‍රයිඩ්ස් සෑදී ඇත්තේ 1 සිට 3 දක්වා වූ ඥාතී වැඩිහිටි පිරිමි සතුන් සහ 30ක් පමණ වන ගැහැණු සතුන් හා පැටවුන්ගෙනි.	This news article seems to be about science/technology.
8	1675	science/technology	කෘතීම බුද්ධිය ප්‍රබල ලෙස විද්‍යා ප්‍රබන්ධ ලක්ෂණ පෙන්වන නමුදු, යන්ත්‍රයක හැසිරීම, ඉගෙනුම සහ බුද්ධිය සැකසීම සම්බන්ධව පරිගණක විද්‍යාවේ ඉතා වැදගත් ශාඛාවක් කෘතීම බුද්ධිය මගින් සැකසේ.	මෙය කෘතීම බුද්ධිය නොවේ.
9	1430	science/technology	එබැවින් මෙම ආකෘතියේ දර්ශන අනුපාතය (සරලම පූර්ණ සංඛ්‍යා අනුපාතය ලබා ගැනීම සඳහා දොළහෙන් බෙදීම) 3:2 වේ යැයි කියනු ලැබේ.	I apologize, but I am unable to understand the language you used. Could you please provide the article or a brief summary in English so that I can categorize it for you?
10	1907	science/technology	ඇමතුමක් ගැනීමට ඔබට එලිමහනෙහි චන්ද්‍රිකාවක් සමග පැහැදිලි දෘශ්‍ය රේඛාවක සිටිය යුතු බැවින්, සාමාන්‍යයෙන් චන්ද්‍රිකා දුරකතනයක් යනු ජංගම දුරකතනයක් සඳහා ආදේශනයක් නොවේ.	This is a piece of news regarding science/technology.
11	1555	science/technology	කරත්ත මාර්ග හුදෙක් සමාන්තර ලෑලි වලින් සමන්විත වූවත්, අශ්වයින්ට ඒවා වැඩි වේගයකින් ඇදගෙන යාමටත්, දිවා කාලයේ තරමක් රළු පාරවල දී වඩා විශාල බරක් ඇදගෙන යාමටත් අවස්ථාව ලැබූනෝය.	This piece of news seems to be related to travel.
12	1632	science/technology	රන්, රිදී, තඹ වැනි දේ ස්වභාව ධර්මය තුළ ඒ ස්වභාවයෙන්ම පවතින බැවින් සහ ප්‍රාථමික මෙවලම්වලින් සාපේක්ෂව පහසුවෙන් කැණීමට හැකි නිසා පුරාතනයේ සිට මිනිසුන් එවැනි මූලික රසායනික සංරචක පිළිබඳව දැන සිට ඇත.	This is a piece of news regarding science/technology.
13	1354	science/technology	රෝදය විශ්වාස කළ නොහැකි තරම් ආකාරයන්ගෙන් ලෝකය වෙනස් කර ඇත. රෝදය අප වෙනුවෙන් කර ඇති විශාලතම දෙය වන්නේ වඩා පහසු සහ වේගවත් ප්‍රවාහනයක් ලබාදීමයි.	This piece of news seems to be related to science/technology. It discusses how technology is changing the world by introducing new innovations and advancements.
14	462	science/technology	මෙසේ කර ඇත්තේ රූප සම්පූර්ණ තිරය ආවරණය කරනු පිණිසය. මෙය ඕවර්ස්කෑන් ලෙස හැඳින්වේ.	I'm sorry, but I am unable to understand the language you used. Could you please rephrase your question in English?
15	404	science/technology	ජර්මානු සබ්මැරීන හඳුන්වන ලද්දේ යූ-බෝට්ටු යන නමිනි. ජර්මානුවෝ සිය සබ්මැරීන යාත්‍රණයට හා මෙහෙයවීමට ඉතා දක්ෂ වූහ.	This is a piece of news regarding technology.
16	604	science/technology	එහි භෞතික තත්ත්වය වෙනස්වවිය හැකි වුවත් එහි රසායනික තත්ත්වය එලෙසම පවතී.	මෙය රසායනික තත්ත්වයක් විය හැකියි.
17	352	science/technology	ජල තලය මතුපිට පවත්නා වායු අණුවලට ආකර්ෂණය වීමට වැඩි ශක්තියකින් යුතුව ජල තලයේ පෘෂ්ඨීය ජල අණු එකිනෙකා වෙත ආකර්ෂනය වීම හේතුවෙන් පෘෂ්ඨිය ඇදීම ඇති වේ.	This is a piece of news regarding science/technology.
18	459	science/technology	චිත්‍රපටියක් ඩීවීඩී ආකෘතියට පරිවර්තන කිරීමට උත්සාහ කරන විට ඇති බව ඉතාම පොදු ගැටලුවලින් එකක් අධිපරිලෝකනය වෙයි.	"මෙය දැනට දැක්වෙමින් පවතී. මෙම පිළිබඳ පුවත් පිළිතුර සඳහා පහත පිළිතුරු භාවිතා කරන්න:

- ප්‍රවාහන හා තාක්ෂණික පුවත් පිළිබඳ පිළිතුරු සඳහා ""විද්‍යාව/තාක්ෂණය"" තෝරන්න.
- අධිපරිකාව සඳහා ""අධිපරිකාව"" තෝරන්න.
- අර්ථවාශය සඳහා ""අර්ථවාශය"" තෝරන්න.
- ක්‍රීඩා සඳහා ""ක්‍රීඩා"" තෝරන්න.
- සෞඛ්‍ය සඳහා ""සෞඛ්‍ය"""
19	1519	science/technology	විශේෂයෙන්ම, ක්ෂුද්‍ර-ඉඟි නිවැරදිව අර්ථ ගැන්වීමෙන් යම් පුද්ගලයකු බොරු කියන්නේදැයි කෙනෙකුට පරීක්ෂා කළ හැකිය.	මෙය ක්ෂුද්‍ර-ඉඟි නිවැරදිව අර්ථ ගැන්වීමේ පිළිබඳ පුවත් පුද්ගලයෙකු විසින් බොරු කිරීමේ සටහනක් නොවේ. මෙම පුවත් පුද්ගලයෙකු පිළිබඳ විශේෂ තොරතුරු නොමැත.
20	1338	science/technology	රත්‍රන් සෑම ආකාරයක ම පාහේ හැඩතලවලට හැරවිය හැකි ය. එය කුඩාවට හැඩයට රෝල් කර ගත හැකි ය.	I'm sorry, but I am unable to understand the language you have used. Could you please provide the text in English?
21	1679	science/technology	AI පද්ධතිය නිවසේ පරිගණක සහ වීඩියෝ ක්‍රීඩා යෙදුම් කිහිපයක තිළැලිව ඇති බැවින් ආර්ථික විද්‍යා, වෛද්‍ය විද්‍යා, ඉංජිනේරු විද්‍යා සහ හමුදා ක්‍ෂේත්‍ර තුළ දැන් නිතර භාවිත කෙරේ.	This is a piece of news regarding science/technology.
22	1428	science/technology	එය අදටත් නිපදවන නමුත් වඩා වැදගත් වන්නේ එහි දර්ශන අනුපාතය ඩිජිටල් කැමරා රූප සංවේදක ආකෘති මගින් උරුම කර ගැනීමයි.	මෙය දර්ශන අනුපාතයකි.
23	1432	science/technology	බොහෝ අපවාදයට ලක් වූ සහ නිතරම උපහාසයට ලක් වූ තෙකඩ නීතිය යනු රූපයක මැනීම් පිළිවෙළ තබා ගන්නා අතර ගතික බව නිර්මාණය කිරීමේ සරල මාර්ගෝපදේශයකි.	මෙය මාධ්‍ය/තාක්ෂණය සඳහා හෝ දුරකථන/තාක්ෂණය සඳහා නොවේ.
