index_id	category	text
797	technology	ຖ້າເດີນທາງໂດຍມີແລັບທັອບ ຫຼື ແທັບເລັດ, ໃຫ້ເກັບຮັກສາສຳເນົາໄວ້ໃນໜ່ວຍຄວາມຈຳ ຫຼື ແຜ່ນດິດຂອງມັນ (ທີ່ສາມາດເຂົ້າເຖິງໄດ້ໂດຍບໍ່ຕໍ່ອິນເຕີເນັດ).
830	travel	ໃນການກວດສອບລົດໄຟຂ້າມຊາຍແດນບາງຂະບວນນັ້ນເຮັດໃນຂະນະລົດໄຟກໍາລັງແລ່ນ ແລະ ທ່ານຄວນມີບັດປະຈໍາຕົວທີ່ຖືກຕ້ອງເມຶ່ອເຈົ້າຂຶ້ນລົດໄຟຂະບວນໃດຂະບວນໜຶ່ງ.
150	business	ກຸ່ມບໍລິສັດ Virgin Richard ຂອງ Sir Richard Branson ມີການສະເໜີລາຄາສຳລັບທະນາຄານທີ່ຖືກປະຕິເສດກ່ອນທີຈະເປັນທະນາຄານຂອງປະເທດ.
1806	travel	ສັດບາງຊະນິດເຊັ່ນ: ຊ້າງ ແລະ ສັດປີກແມ່ນມີແນວໂນ້ມທີ່ຈະເຂົ້າໃກ້ລົດ ແລະ ອຸປະກອນທີ່ເປັນມາດຕະຖານຈະຊ່ວຍໃຫ້ມຸມມອງທີ່ດີ.
902	disasters	ພາຍຸທໍນາໂດແມ່ນແນວຕັ້ງການໝູນວຽນຂອງອາກາດແຮງດັນຕໍ່າຫຼາຍເຊິ່ງດູດອາກາດອ້ອມຮອບເຂົ້າທາງໃນ ແລະ ທາງເທິງ.
1225	sports	Del Potro ໄດ້ປຽບກ່ອນໃນຊຸດທີສອງ, ແຕ່ມັນກໍຈຳເປັນຕ້ອງໄດ້ພັກຫຼັງຈາກໄດ້ຄະແນນ 6-6.
1342	science	ນໍ້າຜັກກະຫຼໍ່າປີປ່ຽນສີຕາມຄວາມເປັນກົດຫຼືດ່າງ (alkaline) ສານເຄມີທີ່ເປັນ.
1959	nature	ສວນສາທາລະນະແຫ່ງຊາດ Plitvice Lakes ແມ່ນມີປ່າໄມ້ຢ່າງໜາແໜ້ນ, ສ່ວນໃຫຍ່ແລ້ວແມ່ນຕົ້ນເຜິ້ງ, ຕົ້ນສົນ ແລະ ຕົ້ນໄມ້ສົນທີ່ເປັນໃບສາມຫຼ່ຽມ ແລະ ມີລັກສະນະປະສົມຂອງພືດພັນ Alpine ແລະ Mediterranean.
341	business	ກ່ຽວກັບສະຖານະການການເງິນໂລກ, ທ່ານ Zapatero ໄດ້ກ່າວຕໍ່ໄປວ່າ “ລະບົບການເງິນແມ່ນພາກສ່ວນໜຶ່ງຂອງເສດຖະກິດ ເຊິ່ງເປັນພາກສ່ວນໜຶ່ງທີ່ສຳຄັນ.
352	science	ຄວາມເຄັ່ງຕຶງໜ້ານ້ຳເກີດຂຶ້ນເນື່ອງຈາກໂມເລກຸນຂອງນໍ້າຢູໜ້ານໍ້າຖືກດຶງດູດເຊິ່ງກັນ ແລະ ກັນຫຼາຍກ່ວາໂມເລກຸນຂອງພວກມັນທີ່ຢູ່ໃນອາກາດທີ່ຢູ່ເໜືອພວກມັນ.
448	nature	ໃນແຕ່ລະປີປະມານເດືອນຕຸລາ ສັດກິນຫຍ້າເກືອບ 1.5 ລ້ານຕົວເດີນທາງຈາກເນີນພູທາງເໜືອໄປສູ່ເຂດທົ່ງພຽງເຂດພາກໃຕ້ຂ້າມແມ່ນໍ້າ Mara ເພື່ອໄປຫານ້ຳຝົນ.
386	politics	ກະສັດ Sejong ແມ່ນກະສັດອົງທີສີ່ຂອງລາຊະວົງ Joseon ແລະ ເປັນໜຶ່ງໃນຜູ້ທີ່ໄດ້ຮັບການຍ້ອງຍໍຫຼາຍທີ່ສຸດ.
1438	religion	ອຳນາດການປົກຄອງສູນກາງຂອງໂບດໄດ້ຢູ່ກຸງໂຣມເປັນເວລາຫລາຍພັນປີແລ້ວ ແລະ ການເປັນຈຸດສຸ່ມອຳນາດ ແລະ ເງິນໄດ້ເຮັດໃຫ້ຫລາຍໆຄົນຕັ້ງຄຳຖາມວ່າທິດສະດີນີ້ຖືກຄົ້ນພົບ ຫຼຶ ບໍ່.
394	politics	ແຕ່ກອງທັບເຮືອ Royal Navy ກໍຍັງແຂງແຮງກວ່າກອງທັບເຮືອເຢຍລະມັນ (“Kriegsmarine”) ຫຼາຍ ແລະ ສາມາດທຳລາຍເຮືອຮົບໃດກໍຕາມທີ່ຖືກສົ່ງຜ່ານຊ່ອງແຄບອັງກິດ.
1977	education	ບໍ່ຈຳເປັນຕ້ອງເວົ້າຖ້າທ່ານຮູ້ພາສາ Romance, ມັນຈະງ່າຍກວ່າສຳລັບທ່ານທີ່ຈະຮຽນພາສາປອກຕຸຍການ.
1719	nature	ສວນສາທາລະນະແຫ່ງຊາດ Kruger (KNP) ຕັ້ງຢູ່ທາງທິດຕາເວັນອອກສ່ຽງເໜືອຂອງອາຟຣິກາໃຕ້ ແລະ ລຽບຕາມຊາຍແດນ Mozambique ທາງທິດຕາເວັນອອກ, Zimbabwe ທາງທິດເໜືອ ແລະ ຊາຍແດນທາງໃຕ້ແມ່ນແມ່ນ້ຳ Crocodile.
29	crime	ຄຸກຄຸມຂັງ Abu Ghraib ຂອງອີຣັກໄດ້ຖືກຈູດໃນລະຫວ່າງການກໍຄວາມວຸ້ນວາຍ.
845	entertainment	ເຖິງຢ່າງໃດກໍຕາມ, ໃນປະຈຸບັນມີການສ້າງບັນດານັກແຕ້ມຮູບກາຟຟິກ, ກິດຈະກຳກາຟຟິກ ແລະ ກຳແພງ “ທີ່ຖືກກົດໝາຍ”. ຮູບແຕ້ມປະເພດກາຟຟິກໃນສະພາບການນີ້ມັກຈະຄ້າຍຄືກັບວຽກງານສີລະປະຫຼາຍກວ່າປ້າຍທີ່ອ່ານບໍ່ອອກ.
165	crime	ໃນວັນທີ 26 ມິຖຸນາ 2008, ກຸ່ມຜູ້ໂຈມຕີ Mumbai ໄດ້ເດີນທາງໄປຮອດທີ່ໝາຍດ້ວຍເຮືອ ພ້ອມດ້ວຍມືປືນ, ອາວຸດອັດຕະໂນມັດ ແລະ ໄດ້ໂຈມຕີເປົ້າໝາຍຢູ່ຫຼາຍຈຸດລວມທັງສະຖານີລົດໄຟ Chhatrapati Shivaji Terminus ທີ່ແອອັດ ແລະ ໂຮງແຮມ Taj Mahal ທີ່ມີຊື່ສຽງ.
261	business	ກ່ອນໜ້ານີ້ປະເທດ Nigeria ໄດ້ປະກາດວ່າຕົນໄດ້ວາງແຜນທີ່ຈະເຂົ້າຮ່ວມກອງປະຊຸມ AfCFTA ໃນອາທິດກ່ອນກອງປະຊຸມສຸດຍອດ.
531	sports	ສິບແປດຂຸມຖືກຫຼີ້ນໃນຮອບທຳມະດາ, ໂດຍຜູ້ຫຼິ້ນມັກຈະເລີ່ມຕົ້ນຂຸມທຳອິດໃນຫຼັກສູດ ແລະ ຈົບລົງໃນຂຸມທີສິບແປດ.
1599	nature	ການກາຍພັນສາມາດມີຜົນກະທົບທີ່ແຕກຕ່າງກັນໄປຂຶ້ນນຳຊະນິດຂອງການກາຍພັນ, ຄວາມສຳຄັນຂອງຊິ້ນສ່ວນຂອງວັດສະດຸພັນທຸກຳທີ່ໄດ້ຮັບຜົນກະທົບ ແລະ ບໍ່ວ່າຈະເປັນເຊວຈຸລັງທີ່ຖືກກະທົບແມ່ນແພຈຸລັງ.
428	geography	ດິນແດນຂອງປະເທດຕຸລະກີມີຄວາມຍາວຫຼາຍກ່ວາ 1,600 ກິໂລແມັດ (1,000 ໄມລ໌) ແລະ ກວ້າງ 800 ກິໂລແມັດ (500 ໄມລ໌) ເຊິ່ງມີຮູບຊົງສີ່ຫລ່ຽມໂດຍສັງເຂບ.
1206	health	ແຮມມິນຕັນ (Hamilton) ໄດ້ຢືນຢັນວ່າ ໂຮງໝໍຂອງມະຫາວິທະຍາໄລຮາວເວີດ ໄດ້ຮັບຄົນເຈັບຢູ່ໃນສະພາບທີ່ໝັ້ນຄົງ.
