index_id	category	text
431	geography	ᱛᱩᱨᱠᱤ ᱫᱚ ᱵᱟᱨ ᱛᱚᱨᱚᱯᱷ ᱠᱷᱚᱱ ᱫᱚᱨᱮᱭᱟᱜ ᱛᱮ ᱜᱷᱮᱨᱟᱣ ᱠᱟᱱᱟᱭ: ᱯᱟᱪᱮ ᱥᱮᱫ ᱨᱮ ᱮᱡᱤᱭᱟᱹ ᱥᱟᱜᱚᱨ, ᱮᱛᱚᱢ ᱨᱮ ᱠᱟᱞᱟ ᱥᱟᱜᱚᱨ ᱟᱨ ᱠᱚᱸᱭᱮ ᱨᱮ ᱢᱮᱰᱤᱴᱮᱨᱟᱹᱱᱤᱭᱟᱹᱱ ᱫᱚᱨᱭᱟ᱾
403	science/technology	ᱞᱟᱹᱰᱷᱟᱹᱭ ᱨᱮᱭᱟᱜ ᱮᱛᱦᱚᱵ ᱨᱮ ᱩᱱᱠᱩ ᱫᱚᱨᱭᱟ ᱨᱮᱭᱟᱜ ᱪᱮᱛᱟᱱ ᱨᱮ ᱫᱟᱲᱟᱮᱫ ᱛᱟᱦᱮᱸᱫ, ᱦᱮᱞᱮ ᱡᱮᱞᱠᱟᱼᱡᱮᱞᱠᱟ ᱨᱮᱰᱟᱨ ᱵᱤᱠᱥᱤᱛ ᱤᱫᱤ ᱮᱱᱟᱭ ᱟᱨ ᱰᱷᱮᱨ ᱥᱚᱴᱷᱤᱠ ᱤᱫᱤ ᱮᱱᱟ ᱠᱚ ᱯᱚᱱᱰᱩᱵᱤ ᱠᱚ ᱧᱮᱞ ᱠᱷᱟᱱ ᱵᱟᱧᱪᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱫᱟᱜ ᱠᱷᱚᱱ ᱞᱟᱛᱟᱨ ᱛᱮ ᱪᱟᱞᱟᱣ ᱦᱩᱭ ᱟᱫᱮᱭᱟ᱾
1592	science/technology	ᱡᱮᱞᱠᱟᱼᱡᱮᱞᱠᱟ ᱜᱽᱨᱤᱠ ᱨᱮᱭᱟᱜ ᱜᱭᱟᱱ ᱠᱚᱢ ᱤᱫᱤ ᱮᱱᱟ, ᱯᱟᱪᱮ ᱯᱟᱦᱴᱟ ᱫᱚ ᱟᱡ ᱛᱮᱜᱮ ᱜᱽᱨᱤᱠ ᱫᱟᱹᱨᱥᱚᱱᱤᱠ ᱟᱨ ᱥᱟᱮᱬᱥᱤᱭᱟᱹ ᱡᱚᱲᱟᱣ ᱠᱷᱚᱱ ᱠᱟᱴᱟᱣ ᱞᱮᱠᱷᱟ ᱵᱩᱡᱷᱟᱹᱣ ᱠᱮᱜᱼᱟᱭ᱾
993	entertainment	ᱮᱱᱦᱚᱸ, ᱨᱮᱭᱟᱲ ᱫᱤᱱ ᱩᱱᱠᱩᱣᱟᱜ ᱢᱤᱫ ᱡᱩᱫᱟᱹ ᱞᱮᱠᱟᱱ ᱪᱮᱦᱨᱟ ᱟᱨ ᱚᱨᱚᱜ ᱛᱟᱦᱮᱸᱱᱟ, ᱟᱭᱢᱟ ᱰᱩᱸᱜᱽᱨᱤ ᱥᱴᱮᱥᱳᱱ ᱨᱮ ᱱᱟᱯᱟᱭ ᱰᱷᱮᱨ ᱫᱷᱟᱨᱟ ᱵᱚᱨᱚᱯᱷ ᱦᱟᱛᱟᱣᱜᱼᱟ ᱟᱨ ᱥᱠᱟᱭᱠᱤᱝ ᱟᱨ ᱥᱱᱳᱵᱳᱨᱰᱤᱝ ᱞᱮᱠᱟᱱ ᱠᱟᱹᱢᱤᱠᱟᱹᱥᱱᱤ ᱮᱢ ᱪᱟᱞᱚᱜᱼᱟ᱾
755	entertainment	ᱱᱚᱣᱟ ᱠᱚ ᱦᱳᱴᱮᱞ ᱡᱟᱦᱟᱸ ᱨᱮ ᱠᱤᱥᱟᱹᱬ ᱟᱨ ᱫᱤᱱ ᱨᱮ ᱧᱩᱛᱩᱢᱟᱱ ᱦᱚᱲᱠᱚ ᱛᱟᱦᱮᱸᱱ ᱛᱟᱦᱮᱸᱫ, ᱟᱨ ᱞᱮᱛᱟᱲ ᱵᱷᱟᱜᱮ ᱰᱟᱭᱱᱤᱝ ᱟᱨ ᱱᱟᱭᱤᱴᱞᱟᱭᱤᱯᱷ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ᱾
1936	politics	᱑᱙᱙᱔ ᱨᱮ, ᱱᱚᱣᱟ ᱵᱤᱵᱟᱹᱫᱽ ᱥᱟᱢᱟᱝ ᱢᱳᱞᱫᱳᱵᱷᱟ ᱨᱮ ᱱᱤᱡᱮᱨ-ᱰᱮᱵᱽᱞᱟᱨ ᱴᱨᱟᱱᱥᱱᱤᱥᱴᱨᱤᱭᱟᱱ ᱫᱤᱥᱣᱟᱹᱨᱟᱡᱽ ᱥᱤᱨᱤᱡᱽ ᱞᱮᱫᱼᱟᱭ, ᱡᱟᱦᱟᱸ ᱨᱮᱭᱟᱜ ᱱᱤᱡᱚᱨ ᱥᱚᱨᱠᱟᱨ ᱟᱨ ᱠᱟᱹᱣᱰᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱢᱮᱱᱠᱷᱟᱱ ᱡᱟᱹᱛᱤ ᱜᱟᱫᱮᱞ ᱨᱤᱱ ᱚᱠᱚᱭ ᱥᱚᱦᱮᱫ ᱫᱤᱥᱚᱢ ᱦᱚᱸ ᱢᱟᱹᱱ ᱵᱟᱝᱠᱚ ᱮᱢ ᱟᱠᱟᱫᱼᱟ᱾
1205	health	ᱰᱮᱱᱤᱭᱮᱞ ᱞᱟᱱᱴᱮᱜᱽᱱᱮ, UN ᱵᱮᱢᱟᱨ ᱮᱠᱥᱯᱟᱹᱨᱴ, ᱢᱮᱱ ᱠᱮᱜᱼᱟᱭ ᱵᱮᱢᱟᱨᱤ ᱫᱚ ᱯᱤᱥᱠᱤᱯᱚᱨ ᱴᱷᱮᱱ ᱠᱷᱚᱱ ᱯᱟᱥᱱᱟᱣ ᱠᱟᱱᱟ᱾
1692	geography	ᱢᱟᱬᱟᱝ ᱥᱮᱫ ᱮᱛᱚᱢ ᱨᱮ ᱢᱟᱨᱟᱝ ᱴᱚᱴᱷᱟ ᱟᱭᱢᱟ ᱠᱚᱢ ᱟᱵᱟᱫ ᱟᱱᱟᱜ ᱠᱟᱱᱟ ᱟᱨ ᱠᱤᱪᱷᱩᱜᱟᱱ ᱵᱟᱞᱤᱭᱟᱹᱲ ᱚᱛ ᱡᱟᱨᱟ ᱢᱮᱱᱟᱜᱼᱟ᱾
280	politics	ᱵᱤᱨᱚᱫᱷ ᱨᱤᱱ ᱟᱭᱚᱡᱤᱭᱟᱹ ᱠᱚᱠᱚ ᱢᱮᱱ ᱠᱮᱫ-ᱟ ᱡᱮ ᱵᱚᱨᱞᱤᱱ, ᱠᱚᱞᱚᱜᱽᱱᱮ, ᱦᱟᱢᱵᱚᱨᱜᱽ ᱟᱨ ᱦᱚᱱᱚᱣᱚᱨ ᱞᱮᱠᱟᱱ ᱡᱚᱨᱢᱟᱱ ᱱᱟᱜᱟᱨ ᱠᱚᱨᱮ ᱑᱐᱐,᱐᱐᱐ ᱜᱟᱱ ᱦᱚᱲᱠᱚ ᱦᱮᱡ ᱞᱮᱱᱟI
247	politics	ᱱᱩᱭ ᱮᱡᱮᱱᱴ ᱯᱟᱠᱤᱥᱛᱟᱱᱤ ᱥᱚᱝᱵᱤᱫᱷᱟᱱ ᱨᱮᱭᱟᱜ ᱟᱨᱴᱤᱠᱮᱞ ᱒᱔᱗ ᱞᱮᱠᱟᱛᱮ ᱥᱚᱨᱠᱟᱨᱤ ᱟᱨ ᱵᱤᱪᱟᱹᱨᱤᱭᱟᱹ ᱥᱮᱵᱟ ᱮᱢ ᱞᱟᱹᱜᱤᱫ ᱮ ᱫᱟᱹᱭᱵᱷᱟᱨ ᱢᱮᱱᱟᱜ ᱛᱟᱭᱟ᱾
