index_id	category	text
431	geography	Turki dilingkari laut pada tiga sisi, Laut Aegean pada arah barat, Laut Hitam pada arah utara dan Laut Mediterania pada arah selatan.
403	science/technology	Pada mula peperangan mereka banyak menggembara di atas laut, tetapi apabila radar berkembang dan menjadi lebih tepat kapal selam terpaksa masuk ke bawah air untuk mengelakkan dilihat.
1592	science/technology	Ketika pengetahuan tentang bahasa Yunani merosot, dunia Barat mendapati mereka terhenti daripada mempelajari akar falsafah dan saintifik Yunani.
993	entertainment	Walau bagaimanapun, mereka mempunyai pelbagai jenis keindahan dan daya tarikan semasa musim sejuk, dengan banyak stesen bukit menerima jumlah yang sihat salji dan menawarkan aktiviti seperti bermain ski dan snowboarding.
755	entertainment	Hotel-hotel ini ialah tempat tinggal orang-orang kaya dan terkenal dan sering menjamu selera dan hiburan malam.
1936	politics	Pada tahun 1994, konflik ini membwa kepada penciptaan Republik Transnistria yang mengumumkan sendiri di timur Moldova, yang mempunyai kerajaan dan mata wangnya sendiri tetapi tidak diakui oleh mana-mana negara anggota PBB.
1205	health	Danielle Lantagne, seorang pakar PBB berkenaan penyakit ini, mengatakan bahawa wabak ini mungkin disebabkan oleh penjaga keamanan.
1692	geography	Beberapa kawasan besar di bahagian utara agak jarang diduduki dan sebahagiannya pula merupakan hutan belantara yang hampir tidak berpenghuni.
280	politics	Para penganjur bagi tunjuk perasaan itu berkata kira-kira 100,000 orang telah menyertai di bandar-bandar German seperti Berlin, Cologne, Hamburg dan Hanover.
247	politics	Agen ini bertanggungjawab untuk menyediakan perkhidmatan kehakiman dan kerajaan di bawah Artikel 247 Perlembagaan Pakistan.
1439	politics	Tidak lama selepas tercetusnya pertempuran, Britain memulakan sekatan tentera laut Jerman.
1239	entertainment	“Dia sangat comel dan bernyanyi dengan baik,” kata beliau menurut sebuah transkrip sidang akhbar tersebut.
743	geography	Kepulauan Cook tidak mempunyai apa-apa bandar raya, tetapi ia mempunyai 15 pulau lain. Yang utama ialah Rarotonga dan Aitutaki.
