index_id	category	text
431	geography	تركيا يحيط به البحار من ثلاث جهات: بحر إيجه من الغرب، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب.
403	science/technology	في بداية الحرب، سافروا في الغالب بالبحر، ولكن لُما بدأ الرادار بالتطور وأصبح أدق، اضطرت الغواصات إلى الغوص تحت الماء علشان ما يكتشفوها.
1592	science/technology	بينما انحدرت المعرفة عند اليونانيين، شاف الغرب نفسه معزولاً عن جذوره الفلسفية والعلمية اليونانية.
993	entertainment	مع ذلك، فهم يتمتعون بنوع مختلف من الجمال والسحر أيام الشتاء، حيث تسقط على الكثير من محطات التلال كميات كبيرة من الثلج وتقيم أنشطة كالتزحلق والتزلج على الجليد.
755	entertainment	كانت هذي الفنادق هي المكان اللي بيقيم فيه الأغنياء والمشاهير بهذا الوقت، وغالبًا ما كان معهم طعام جيد وحياة ليلية.
1936	politics	في سنة 1994 أدى هذا النزاع إلى إنشاء جمهورية ترانسنيستريا اللي نصبت نفسها بنفسها بشرق مولدوفا، واللي معها حكومتها و عملتها الخاصة إلا أنه مش معترف بها من قبل أي دولة عضو بالأمم المتحدة.
1205	health	صرحت دانييلا لانتين، واحدة من خبراء المرض التابعين للأمم المتحدة أنه من المحتمل أن يكون سبب تفشي المرض هو قوات حفظ السلام.
1692	geography	المناطق الكبيرة في الشمال هي مناطق قليلة السكان نوعا ما والبعض مافيبه سكان تقريبا.
280	politics	"قال منظمو الاحتجاج إنو حوالي 100000 شخص حضروا في مدن ألمانية مثلاً:- ""برلين"" و""كولوني"" و""هامبورغ"" و""هانوفر""."
247	politics	هذولا الوكلاء مسؤولون عن تقديم الخدمات الحكومية و القضائية بموجب المادة 247 من الدستور الباكستاني.
1439	politics	وبسرعة بادرت بريطانيا بمحاصرة ألمانيا من البحر بعد اندلاع المناوشات.
1239	entertainment	"وقال وفقًا لنص المؤتمر الصحفي: ""إنها طيبة جداً وكمان تغني اغاني ملاح ملاح."
743	geography	مافيش بجزر كوك أي مدن ولكنها تتكون من 15 جزيرة أهمها راروتونجا وإيتوتاكي.
18	politics	كانت به هناك احتجاجات بالعالم كله، وكثير من المحاكمات الجنائية، واستقال رئيس حكومة آيسلندا وحكومة باكستان.
1344	science/technology	أيونات الهيدروجين هي بروتونات مافيبش إلكترونات (حيث أن ذرات الهيدروجين تتكون من بروتون واحد وإلكترون واحد).
688	travel	يُفضل أن يمشي الزوّار محدودو الوقت وقتَهم في مكان ثاني.
556	science/technology	يُمكن اعتبار الذرة أنه واحدة من وحدات البناء الأساسية لكل المواد.
1645	science/technology	مثل دحرجة عربة ثقيلة أعلى تل. تنشق النواة مرة ثانية ويخرج جزء من هذيك الطاقة.
907	science/technology	توفر عادة عرض نطاق ترددي أعلى وجودة خدمة أفضل، من الصعب التجسس عليها فهي مشفرة.
1071	politics	لكن رئيس الوزراء جون هوارد قال أن التصرف كان بس من أجل حماية مرافق المستشفى من تخفيض تصنيفها من قِبَل حكومة تسمانيا بمنح 45 مليون دولار أسترالي إضافي.
555	sports	قد يشعر الرياضيون أنهم يفضلون منتجاً ما حتى إذا كان ما يجيبش منافع حقيقية.
1203	health	قبل وصول القوات، لم تواجه هايتي مشاكل متعلقة بالمرض من أيام القرن التاسع عشر.
58	politics	وقالت الشّرطة إنو كان للو بيكولو اليدَ العليا لأنّه كان اليد اليمنى حق بروفنزانو في باليرمو وخبرته الكبيرة خليته يكسب احترام الجيل الأكبر عمراً من الرّؤساء وهم اتّبعوا سياسة بروفنزانو المتمثّلة في البعدِ عن الأضواء بينما يعزّزوا شبكة قوتهم.
1764	travel	إضافةً إلى ذلك، انتبه لأن الروائح تجذب الدببة وحيوانات برية ثانية، لذا تجنّب حمل أو طبخ أطعمة لها رائحة وحافظ على نظافة المخيم.
195	sports	من المفروض أن يغيب ماسا كل الوقت الباقي من موسم 2009 على أقل تقدير.
