	index_id	category	text	gpt-3
0	1523	science/technology	Tiḍermas rnant-d abeddel ajini, ma d afran yettekkses-it seg unaw n ubeddel εinani.	I'm sorry, but I couldn't understand the text you provided. Could you please rephrase your question or provide more context?
1	1644	science/technology	Tafezwayt n beṭṭu tebna ɣef umenzay id-yeqqaṛen belli tlaq tṣaṛeɣt i usdukkel n wul akked waṭas n ibrutunen d inutrunen.	Based on the provided text, it is difficult to determine the specific category of news. Could you please provide more information or context about the article?
2	558	science/technology	Ul isɛa snat n tzelɣiwin - inutrunen akked ibrutunen.	Based on the provided text, it appears to be written in a language I am not familiar with. Therefore, I am unable to determine the category of the news article. Could you please provide a translation or more context?
3	456	science/technology	Ay-agi yeǧǧa iswiyen zum ad farsen tiwlafin n tɣaṛa yettemcabin ɣer tin d-ṭṭfen s yiswiyen at teɣzi tusbiḍt takaswarant.	Based on the provided text, it is difficult to determine the category of the news article. It appears to be written in a language that I am not familiar with. Can you please provide more information or a translation of the text?
4	906	science/technology	D iminag ɣef iseɣzanen web s waṭas n tmental: Ttbeddilen abrid i yak tasnisnit Internet, mačči siwa httb.	Based on the provided text, it is difficult to determine the category of the news article. Could you please provide more information or context about the article?
5	452	science/technology	Asugen n temyigawt yessuter-d d akken ad tεawdeḍ ad ssitgeḍ ittɣilen-ik ɣef ufares n ulɣagdud yerna ad tlemdeḍ ad txemmemeḍ s tmamkin wartizelmanin.	I'm sorry, but I am unable to understand the language you used in your query. Could you please rephrase your question in English?
6	1557	science/technology	Aya-gi yuɣal d ccɣel imucaɛen, maca uzzal-nni isett rwadi n usɣaṛ n ticaṛiḍin.	Based on the given text, it is not possible to determine the category of the news article.
7	1360	science/technology	Tiqeḍɛiyin seɛɛunt kraḍ n yizmawen iwtamen imengaḍen, d wazal n kraḍ n tmerwin n tewtamin n yecbalen.	I'm sorry, but I cannot understand the language you used. Could you please rephrase your question in English?
8	1675	science/technology	Xas akken tiḥerci n tṣenniɛt teqqen ɣer uxayel ussnan, tiḥerci n tṣenniɛt d afurek agejdan di tsenselkimt, id-ilhan d lexdayem, d uḥfaḍ akked tserwest iḥercen di tṣenniɛt.	Based on the provided text, it is difficult to determine the category of the news article. Can you please provide more information or context about the article?
9	1430	science/technology	Timeẓri n teɣzi d tehri n talɣa-agi (ẓun s mraw d sin i wakken ad ssawḍen uṭṭun ummid n ufmiḍi afessas akk) ihi nan-d d akken d 3:2.	This piece of news appears to be related to sports. It mentions a match or game with a score of 3:2.
10	1907	science/technology	Tiliɣṛi n ugensa ur d-yelli deg adeg n ufafus s wudem amatu, imi ilaq ad tiliḍ beṛṛa s uzlem yeṣfan n tuṭṭfa n ugensa i wakken ad tessiwleḍ.	Based on the provided text, it is difficult to determine the category of the news article. Could you please provide more information or context about the content of the article?
11	1555	science/technology	Xas akken ibardan n tcaṛiḍin sɛan kan tilwiḥin n usɣaṛ imqabalen, ǧǧant iɛidiwen itent-ittseḥḥiben ad siwḍen ɣer tɣawla tameqqrant yarna ad seḥben taẓeyt tameqqrant kter n ibardan ur naɛdil ara deg wass.	Based on the provided text, it is difficult to determine the specific category of the news article. Could you please provide more information or context about the article?
12	1632	science/technology	Imdanen snen iferdisen akruranen igejdanen si teglest am dheb, lfeṭṭa, akked nḥas, imi wi-gi akk ttilin deg ugama s ṣifa-nsen tagamant yarna sehlen i tɣuzi s wallalen n zik.	Based on the provided text, it is difficult to determine the specific category of news. It appears to be written in a language that is not easily recognizable.
13	1354	science/technology	Ṛṛuḍa tbeddel amaḍal d leɛǧeb. Taɣawsa akk tameqqrant i aɣ-texdem d tikci n yiwen n ttawil n umesni i fessusen wa yettɣawalen ugar.	Based on the given text, it is difficult to determine the category of the news article. Could you please provide more specific information or context about the article?
14	462	science/technology	Wagi ittwaxdem iwakken ad yeǧǧ tugna ad teddel akk agdil. Qqaren-as asemɣer s waṭas.	I'm sorry, but I cannot understand the language you used in your question. Could you please rephrase it in English?
15	404	science/technology	Tineṭṭabin Tilalmaniyin qqaren-asent Iɣeṛṛuba-U. Ilalmaniyen snen mliḥ assilel akked uselḥu n tneṭṭabin-nsen.	Based on the given text, it is difficult to determine the exact category of the news article. The text appears to be in a different language, and without further context or translation, it is not possible to categorize it accurately.
16	604	science/technology	Xas akken ṣifa-s tezmer ad tbeddel, lḥala-s takrurant tettɣimi akken tella.	I'm sorry, but I cannot understand the language you used. Could you please rephrase your question in English?
17	352	science/technology	Tussda n tjumma tettili-d acku ibelkimen n waman deg tjumma n waman ttemyijbaden gar-asen ugar n wacḥal ttemyijbaden d ibelkimen yellan s ufella. .	Based on the provided text, it is difficult to determine the category of the news article. It appears to be in a language that I am not familiar with, making it challenging to identify the subject matter.
18	459	science/technology	Yiwen seg iɣeblan mucaɛen di tririt n usaru ɣer umasal DVD d asemɣer.	Based on the provided text, this appears to be a piece of news related to technology.
19	1519	science/technology	Ladɣa, qqaren-d d akken yezmer ad nẓer ma yella yeskiddib umdan s lefhama akken iwata n tenfaliyin timecṭaḥ maḍi.	I apologize, but I am unable to understand the language you used in your question. Could you please rephrase it in English?
20	1338	science/technology	Dheb yezmer ad yettwaxdam deg waṭas n talɣiwin. yezmer ad yettwaḍewwer di talɣiwin meẓẓiyen.	I'm sorry, but I am unable to understand the language you used in your question. Could you please rephrase your question in English?
21	1679	science/technology	Anagraw n tḥerci n tṣenniɛt tura ittusexdam s umata deg unnar n tdamsa, tujjya, tajenyuṛt akked tserdast, itteddu daɣen deg waṭas n wahhilen n uselkim n wexxam akked wuraren.	"Based on the provided text, it seems to be discussing various topics such as ""science/technology, travel, politics, sports, health, or geography."" However, without further context or specific information, it is difficult to determine the exact category of the news article."
22	1428	science/technology	Mazal er tura ttfarasen-tent, maca s wudem axatar ugar timeẓri-ines n teɣzi d tehri yewwi-t-id si talɣiwin n yimaṭṭafen n tweṣṣafin tumḍinin.	I'm sorry, but I am unable to understand the language you used. Could you please provide the text in English or specify the category you would like to know about?
23	1432	science/technology	Alugen n kraḍ yettuḥeqren d yettwabehdlen d amnir kan ixelqen abawal skud tella tasunḍa deg tugna.	Based on the provided text, it is difficult to determine the category of the news article. The text appears to be in a different language and does not provide any specific information about the topic.
24	1024	science/technology	Ay-agi ur d-iwekked ara kan d akken ma drus maḍi kra n yidinuẓuren sεan rric, d yiwet n tiẓṛi yucaεen, maca yegla-d s kra n ttfaṣil ur zmiren ad mlen ifuṣilen s umata, am yini d ubraz n tiddi tis kraḍ.	I'm sorry, but I couldn't understand the language you used. Can you please rephrase your question in English?
25	373	science/technology	Amek yezmer ad iyi-d-yejbed uzimaṣ n Iu? Ma yella tbeddeḍ ɣef tjumma n Iu, taẓayt-ik ad tenqes ɣef mi telliḍ ɣef Umaḍal.	I'm sorry, but I cannot understand the language you used in your message. Can you please rephrase your question in English?
26	1332	science/technology	NekstJen d yiwen unagraw i d-teqqar FAA, ad yeǧǧ inaffagen deg ijerriden wezzilen wa ad yessager imelyan n litrat n userɣu wa ad yesenɣes abbu n karbun i d-suffuɣent.	Based on the provided text, it is difficult to determine the exact category of the news article. The text appears to be in a different language and does not provide enough context to categorize it into one of the given categories.
27	1670	science/technology	Isefka isnudranen yaɛnan allaɣ fkan-d anza i yiwet n tmuɣli n unadi ɣef ufiqi. S wakka samecteḥen tamnaḍt n unadi yarna erran-tt d tusdidt akteṛ.	Based on the provided text, it is difficult to determine the specific category of the news article. Could you please provide more information or context about the content of the article?
28	61	science/technology	"Deg inaw-ines n 2 n tsaεtin yenna-d d akken ""Ass-a Abbel ad as-nefk udem amaynut i tiliɣṛi, Ad yeqqim deg umezruy ass-a""."	Based on the provided text, it is difficult to determine the category of the news article.
29	454	science/technology	Aɣbel n yiswiyen zum d akken ilɣi akaswaran d uṭṭun n yiferdisen iswiyen ilaq ad ssawḍen teɣzi takaswarant imeqqren mliḥ ɣef yeswiyen imenza.	I apologize, but I am unable to understand the language you have used. Could you please rephrase your question in English?
30	1234	science/technology	Tecba anzaḍ anmeggag n tiliẓri, tanaɛurt n uselḥu tessexdam sin imaṭṭafen i yettrusun ɣer tama n tiliẓri n win i t-yessexdamen i waken ad kerdes amḍiq-is deg allun bu-kraḍ n tsektiwin.	Based on the provided text, it appears to be a piece of news regarding technology.
31	1025	science/technology	Imusnawen qqaren-d d akken rric n uɣerṣiw-agi d aqehwi s ufella d aceεlal neɣ am yini n carutenuyid s daxel.	Based on the provided text, it is difficult to determine the category of the news article. Could you please provide more information or context about the article?
32	1254	science/technology	Sin iferdisen mi ara mxalaḍen mbu gar-asen suffuɣen-d ibelluṛen i yessefcalen tigeẓẓal, i d-berḥen kra ussanen n tseddawit.	I'm sorry, but I'm unable to understand the language you used in your message. Could you please rephrase your question in English?
33	780	science/technology	Tettak-d temɣeṛ n tugna qrib ukkuz n tikkal n tin n yibbaw n 35 mm (3136 mm2 mgal 864).	Based on the provided text, it is not possible to determine the category of the news article. The text appears to be in a different language and does not contain any specific information related to science/technology, travel, politics, sports, health, or geography.
34	649	science/technology	Imi illa lxiḍ iɛeddan s yilel iqqnen ɣer Uruba akked igensawen, Grinland teqqen akken iwata ɣer anternet imi 93% n imezdaɣ-is sɛan anternet.	This piece of news appears to be related to technology, specifically internet usage in Uruguay and Greenland.
35	917	science/technology	Yiwen seg yesnasen ixataren akk deg taggayt-agi d Asuɣel Gugle, yettaǧǧan asuɣel beṛṛa n tuqqna seld assider n usefku n tutlayt i k-yehwan.	This piece of news is regarding technology. It discusses the development of a new feature on Google that focuses on improving the accuracy of voice recognition for the Amazigh language.
36	603	science/technology	Isɛa yiwen lebni ama d lgaz, d aman, neɣ d aqquṛan.	I'm sorry, but I couldn't understand the language you used in your response. Could you please rephrase your question in English?
37	1518	science/technology	Asexdem n usekles ufidyu yegla-d s tegrutin tixatarin di lefhama n tenfaliyin-timecṭaḥ, imbiwlen n wudem i yettdummun kra n tasinin timecṭaḥ maḍi.	I'm sorry, but I am unable to understand the language you have provided. Could you please provide the text in English or clarify your question?
38	584	science/technology	Imdanen xeddmen-d yerna sexdamen tirejlajin i usemɣeṛ d luluf iseggasen ay-agi.	
39	1589	science/technology	Maca mačči uḥdes, tirmit, tirmit d aɛaṛeḍ i xeddmen iwakken ad sinfen yiwet neɣ kter n turdiwin, asteqsi n isteqsiyen, akked timawin daɣen ttwellihen anadi ussnan.	Based on the given text, it is difficult to determine the category of the news article.
40	1558	science/technology	Ɣer taggara, rwadi n usɣaṛ ttwabeddlent s rwadi n wuzzal. Di 1767, lulen-d ibardan n wuzzal s lekmal.	Based on the provided text, it does not appear to be a news article. It seems to be a statement or a historical fact rather than a piece of news related to any specific category.
41	922	science/technology	Imi tuget n tkarḍin lhant i usiwel anda id ak-yehwa, kra muzzgen deg tikci n yifmiḍiyen imeεnen n ussiwel i yigrawen usdiden n tmura.	Based on the provided text, it is difficult to determine the category of the news article. Could you please provide more information or context about the article?
42	1981	science/technology	Tuget n yitiliskuben n unadi atrar d arrumen anect-ilaten deg yimekwan ibeεden s tegnatin n unezwi yelhan.	Based on the provided text, it is difficult to determine the category of the news article. The text appears to be in a different language or may contain typos. Could you please provide more information or clarify the text?
43	351	science/technology	Tisegnit n wuzzal tettali deg waman ɣef tmentilt n tussda n tjumma.	Based on the given text, it is difficult to determine the category of the news article. Could you please provide more information or context about the article?
44	1429	science/technology	Talɣa n 35mm d tidet, ɣas akken d ayen yessewhamen, 36mm di tehri ɣef 24mm di teɣzi.	This is a piece of news regarding science/technology. It appears to be discussing the specifications of a camera lens.
45	578	science/technology	"Tikwatin d lsas yarna d tigejdit di tezrawt n tudert, di tidett, daymi skanen ɣuṛ-sent s waṭas s yisem n ""tebrikin ibnan tudert""."	Based on the provided text, it is difficult to determine the exact category of the news article. It appears to be written in a language that I am not familiar with. Please provide a translation or more context so that I can assist you better.
46	905	science/technology	Iseɣzanen n AUU (aẓeṭṭa uhlis uslig) udmawan d tamamekt ifazen i wakken ad tsizedweḍ tadrest tasertit d umsizdeg-IB asenzan.	I'm sorry, but I couldn't understand the language you used in your question. Could you please rephrase it in English?
47	264	science/technology	Taɣsert ur tbeddel ara addud-is xas akken iruḥ yiwen ujiruskub uqbel di tuɣḍat n teɣsert n wallun armi d tukin n tuffɣa deg wallun.	I apologize, but I am unable to understand the language you used. Could you please rephrase your question in English?
48	628	science/technology	Imdanen isɛan ṣṣenf-agi n twengimt sɛan tawengimt iṛeznen, zemren ad cfun i wunuɣen, ad frun iɣeblan yarna ad xedmen ɣef tirmitin n tussna.	Based on the provided text, it is difficult to determine the specific category of news. Can you please provide more information or context about the article?
49	1366	science/technology	Asiluṭ iḥemmel ad yečč iɣersiwen imecṭaḥ. Ad iṭṭef ibekkan, izerman, iɣerdayen d yefrax ma izmer. Qrib merra iɣerṣiwen i yettseyyid usiluṭ meẓẓiyit fell-as.	Based on the provided text, it is difficult to determine the specific category of news this article falls under. It appears to be written in a language that I am not familiar with. Please provide a translation or more context so that I can assist you better.
50	779	science/technology	Kra n tweṣṣafin n isura n imusal ilemmusa sexdament amasal n 6 ɣef 6 cm, s wudem usdid ibbaw n 56 ɣef 56 mm.	This piece of news seems to be related to science/technology.
51	1874	travel	Iminigen ttuweṣṣan ad ḥadren iman-nsen ɣef imihiyen n tegnewt iwaɛṛen ara iḥazzen tamnaḍt-nsen imi izmer ad isɛu tazrirt ɣef uɣawas n uḥewwes.	Based on the provided text, it is difficult to determine the specific category of the news article. Could you please provide more information or context about the content of the article?
52	1734	travel	Ttaqlaɛent lkiṛan si teɣsert n lkiṛan n ger-tudrin (ad zegrent i yeɣẓer) s ṭul n wass, xas akken amur ameqqran, abaɛda tid ittruḥun ɣer usamer akked Jakar/Bumtang ttaqlaɛent ger 06:30 akked 07:30.	This piece of news seems to be regarding travel. It mentions a journey to a specific location and provides details about the time of departure and arrival.
53	1840	travel	Ttakent-d arkad ameqqṛan i umnay maca zemrent ad sɛunt uguren n tɣellist imi izmer ad iwḥel uḍaṛ n umnay deg-sent.	I'm sorry, but I am unable to understand the language you have provided. Could you please rephrase your question in English?
54	1919	travel	Tuget n Tmaggirin Tibaltiyin timeẓliyin sḍuluyent iɣimi di San Betersburg, Rrus.	This piece of news appears to be regarding travel.
55	828	travel	Aweṣṣi-agi iḥseb iminigen ur ttakren ara, ur tɛeddayen ara ɣef ayla n wiyiḍ, ur ttekkin ara di ssuq aruzrif, ur suturen ara, ur sexdamen ara wiyiḍ iwakken ad awḍen ɣer yeswi-nsen.	I'm sorry, but I am unable to understand the language you used in your message. Could you please provide the article or a brief description in English so that I can assist you better?
56	818	travel	Llan waṭas n lecɣal fayef i yelaq ad txemmemeḍ uqbel akked mi ara tinigeḍ ɣer walebɛaḍ n imukan.	I'm sorry, but I am unable to understand the language you used in your query. Could you please provide the text in English or clarify your question?
57	978	travel	Deg uzɣal n wass, imessukal zemren ad shetrifen ttwalin d akken llan waman (neɣ tiɣawsiwin niḍen).	I'm sorry, but I cannot understand the language you used. Could you please rephrase your question in English?
