index_id	category	text
431	geography	Atsiaƒuwo ƒoxlã Turkey le go etɔ̃ dzi: Aegea Ƒu la le ɣetoɖoƒe, Ƒu Yibɔ la le anyiehe me eye Mediterranea Ƒu la le dziehe me.
403	science/technology	Le aʋa la ƒe gɔmedzedze me la, wozɔ mɔ zi geɖe le ƒu la ta me, ke esi wovadze didiƒenudimɔwo wɔm eye wodze dɔ wɔm pɛpɛpɛ la, eva hiã na ƒugɔmeʋawɔʋuwo be woayi ɖe tsi gɔme ale be womagakpɔ wo o.
1592	science/technology	Abe ale si Greektͻwo kpͻe de dzesiea, Anyiehetͻwo ɖe wo ɖokuiwo ɖa tso Geek dzͻdzͻmenusrͻlawo gbͻ.
993	entertainment	Gake woƒe atsyɔ̃ɖoɖo kple nyonyo toa vovo le vuvɔŋɔli.Tsikpe dzadza ɖe togbɛ nutowome wɔe be amewo wɔa snodzifefe
755	entertainment	Amedzrodzeƒe siawoe hotsuitɔ kple ameŋkutawo nɔna, eye zi geɖe la, woɖu nu nyuie hemlɔ anyi nyuie.
1936	politics	Masɔmasɔ sia wɔe be woɖo Transnistria anyi le ɣedzeƒe Moldova abe dukɔ nɔ eɖokui si le ƒe 1994 me. Transnistria dua ɖo eƒe dziɖuɖu kple ga gake Dukɔ Ƒoƒuawo ƒe du aɖeke mede dzesi o.
1205	health	Danielle Lantagne, ame si nya nu tso dɔléle ŋu le UN la, gblɔ be dɔlélea ƒe kaka anya tso avulélawo gbɔ.
1692	geography	Ame agbͻsͻsͻ vi aɖewo koe le teƒe gbadza siwo le ɣedzeƒea, ame menͻa teƒea ɖewo o.
280	politics	Ame siwo ɖo tsitretsitsi zɔlizɔzɔa anyi la gblɔ be ame 100 000 woe kpɔ gome le eme eye wotso Dzamani dugãwo me abe Berlin, Cologne, Hamburg kple Hanover.
247	politics	Ametiatia siawo ƒe dɔde asi enye be woawɔ diɖuɖua ƒe dɔ kple nu si ana dzɔdzɔenyenye abe ale si wòle le Pakistã ƒe senu 247 lia nu ene.
1439	politics	Esi aʋa di be yeanya do mo ɖa ko la, Britain zã eƒe tɔdzisrafowo hetsɔ xe mɔ na Germany.
1239	entertainment	"Le nyanuɖeɖe si wowɔ le nyakakagbalẽ dɔwɔƒea la, egblɔ be: ""Edze tugbe alegbegbe eye wòdzi ha hã nyuie ŋutɔ."""
743	geography	Du gãwo mele Cook Ƒukpoawo me o, ke boŋ ƒukpo 15 vovovoe le eme. Nyanyɛtɔwo koŋue nye Rarotonga kple Aitutaki.
18	politics	Ame geɖewo tsi tre eye woɖo asi zãnuɖula geɖewo dzi hena ʋɔnudɔdrɔ. Evɔ Pakistant kple Island ƒe dukplɔlawo yea ɖe asi le zikpuia ŋu.
1344	science/technology	Haidrodzin ƒe ion woe nye protɔn si ŋu woɖe elɛktrɔnwo le ( esime protɔn kple elɛktrɔn ɖeka woe le Haidrodzin atɔm me
688	travel	Mͻzͻla siwo si ɣeyiɣi sͻ agbͻ aɖeke mele o la adi be yewoagble yewoƒe game ɖe teƒe bubu.
556	science/technology	Wode dzesi atͻmuwo abe nu siwo wͻ nu sia nu la ƒe gͻmeɖokpewo ɖeka ene.
1645	science/technology	Ele abe keke tsͻ agba kpekpe aɖe hehe atsͻ lia toe. Nuwo ƒe dzi alo amikɛ la kaka alo mekaka ɖea ŋusĕ mawo ƒe ɖe dzi kpͻtͻna.
907	science/technology	Intanet-dzi nyatakakawo zɔna kaba le wo dzi eye woƒe dɔwɔwɔ hã nyo wu. Woŋlɔna woƒe gbedeasiwo ɖe nya ɣaɣlawo me eya ta esẽna hafi wofina nuwo le wo dzi.
1071	politics	Gake dudɔnunɔla gbãtɔ John Howard gblɔ be Tasmania dziɖuɖua wɔ ɖoɖo sia atsɔ kpe ɖe kɔdzi xɔawo tutu ŋu kple Australia ga miliɔn 45
555	sports	Hɛllawo axͻe se be yewolͻa nane ne viɖɛ aɖeke mado go tso eme hã o.
1203	health	Do ŋgɔ na aʋakɔawo ƒe vava la, Haiti mekpɔ kuxi aɖeke si kuɖe dɔlélea ŋu tso ƒe 1800 me kpɔ o.
58	politics	Kpovitɔwo gblɔ be Lo Piccolo kpɔ ŋusẽ elabena enye Provenzano ƒe akameti gbãtɔ va yi le Palermo eye eƒe nunya de ŋgɔ woe be amegã tsitsiwo dea bubu eŋu. Wogblɔ nya sia esime wonɔ dzidzim aɖɔ Provenzano ƒe sewo ɖo ɣemaɣi wòanɔ dzadzraɖo wɔm
1764	travel	Gakpe ɖe eŋu la, nya be nuwo ƒe ʋeʋẽ yɔna sisiblimiiwo kple lã wɔada bubuwo, eya ta mègatsɔ nuɖuɖu siwo si ʋeʋẽ lilili le alo aɖa wo ɖe asi vɛ o, eye nàna be asaɖa la me nenɔ dzadze.
195	sports	Massa mele gome kpɔ ge le ƒe 2009 hoʋiʋli ƒe akpa mamleawo me o
