index_id	category	text
431	geography	Turkey waxaa ku wareegsan bado saddexda dhinacba: Bada Aegean dhanka galbeedka, Bada Madow dhanka waqooyi iyo Bada Dhexe ee dhanka konfurta.
403	science/technology	Bilawgi dagaalka waxa ay inta badan ku safri jireen bada dusheeda, laakin sida uu raaderku uu uso baxay una noqday mid leysku haleyn karo, gudis yada waxa ay ku qasbanaadeyn in ay biyaha hoostoda jeexan si ay uuga fogaadan in la arko.
1592	science/technology	Maaddaama aqoonta Giriiggu hoos u dhacday, reer Galbeedka ayaa laftooda ka go'ay xididdadiisa falsafadeed ee Giriigga iyo sayniska.
993	entertainment	Si kastoo ay ahaataba, waxay leeyahiin qurux kala duwan iyo farxad xiliga jilaalka, bosteeojoyin badan waxay heelan tiro caafirmad xiliga barafka iyo ku deeqid shaqooyin sida ciyaaraha baraf ka.
755	entertainment	Hoteeladan ay dadka taajiriinta iyo kuwa caanka ah degaan, ayaa inta badan lahaayeen cunto iyo baashaalka habeenka oo wacan.
1936	politics	1994 kii, qilaafkan wuxuu sababay in dawlada iskeeda iskugu dhawaaqday Jamhuuriyada Transnistria ee bariga Moldova, kaas oo ay leedahay dawlad iyo lacag u gaar ah laakiin aanay aqoonsan xubnahaa wadamada Qaramada Midobe ka mid ka ah.
1205	health	Danielle Lagtagne, oo khabiir ku ah cudurka una shaqeya UN ka, ayaa sheegay in dilaacista cudurka ay suurto galtahay inay keeneen nabad sugeyaashu.
1692	geography	Dhulka ballaadhan ee waqooyiga si teelteel ah ayaa loo yaal meelaha qaarna waaba duur aan cidiba degenayn.
280	politics	Qabanqaabiyayaasha mudahaaradka ayaa sheegay inay ku dhawaad 100,000 oo qof isugu soo baxeen magaalooyinka Jarmalka sida Baaliin, Cologne, Hamburg, iyo Hanover.
247	politics	Wakiiladaasi waxay ka masuul yihiin bixinta adeegyada sharciyeed ee dawladda ee ku yaal Xeerka 247 ee Dastuurka Bakistaan.
1439	politics	Isla markiiba ka dib markii colaaddu dillaacday, Ingiriisku waxa uu Jarmalka ku bilaabay bad xir.
