index_id	category	text
431	geography	Tá An Tuirc timpeallaithe ag farraigí ar thrí thaobh: an Muir Aeigéach taobh thiar, an Mhuir Dhubh ó thuaidh agus an Mheánmhuir ó dheas.
403	science/technology	I dtús an chogaidh thaistil siad den chuid is mó ar bharr na farraige, ach de réir mar a forbraíodh radar thosaigh sé ag éirí níos cruinne agus b’éigean do na fomhuireáin dul faoi uisce ionas nach bhfeicfí iad.
1592	science/technology	Dé réir mar a tháinig meath eolais ar an nGréigis, d'éirigh tíortha na nIarthar scoite óna bhfréamha i bhfealsúnacht agus eolaíocht na Gréige.
993	entertainment	Mar sin féin, tá áilleacht agus tarraingteacht de chineál éagsúil acu i rith an gheimhridh, le go leor stáisiún cnoic ag fáil méideanna móra sneachta agus gníomhaíochtaí cosúil le sciáil agus clársciáil á dtairiscint acu.
755	entertainment	Ba sna hóstáin seo a d'fhanadh daoine saibhre agus mór le rá an uair sin, agus is minic a bhíodh mórdhinnéir agus siamsaíocht oíche acu.
1936	politics	Sa bhliain 1994, de thoradh na coimhlinte seo, cruthaíodh, go féinfhógartha, an Phoblacht Transnistria in oirthear na Moldóive, a bhfuil a rialtas agus a hairgeadra féin aici ach nach n-aithníonn aon bhallstát de chuid na Náisiún Aontaithe.
1205	health	Dúirt Danielle Lantagne, saineolaí ar an ngalar de chuid na Náisiún Aontaithe, gur dócha gurbh iad na coimeádaithe síochánta ba chúis leis an ráig.
1692	geography	Níl mórán daoine ina gcónaí i gceantair mhóra níos faide ó thuaidh agus tá cuid dó ina fiántas atá nach mór neamháitrithe.
280	politics	Dúirt lucht eagraithe na hagóide gur tháinig thart ar 100,000 duine amach i gcathracha Gearmánacha leithéidí Bheirlín, Köln, Hamburg, agus Hanover.
247	politics	Faoi Airteagal 247 de Bhunreacht na Pacastáine, tá sé de fhreagracht ar na gníomhairí seo seirbhísí rialtais agus breithiúnacha a sholáthar.
1439	politics	Go luath tar éis bhriseadh amach na cogaíochta, chuir an Bhreatain an Ghearmáin faoi imshuí cabhlaigh.
1239	entertainment	"""Tá sí gleoite agus canann sí go maith, leis,"" a dúirt sé de réir thrascríbhinn den ócáid nuachta."
743	geography	Cúig oileán déag atá i gceist in Oileáin Cook gan aon chathair. Is iad Rarotonga agus Aitutaki na príomh-oileáin.
18	politics	Tharla agóidí ar fud an domhain, roinnt ionchúiseamh coiriúil, agus d’éirigh ceannairí rialtais na hÍoslainne agus na Pacastáine araon as.
1344	science/technology	Is prótóin iad iain hidrigine ar baineadh a leictreoin díobh (ós rud é go bhfuil adamh hidrigine comhdhéanta de phrótón agus leictreon amháin).
688	travel	B'fhearr do chuairteoirí nach bhfuil mórán ama acu an t-am sin a chaitheamh in áit éigin eile.
556	science/technology	Is féidir féachaint ar an adamh mar bhunbhloc tógála gach aon ábhair.
1645	science/technology	Cosúil le cairt throm a bhrú suas cnoc. Scaoiltear cuid den fhuinneamh sin nuair a scoiltear an núicléas in athuair.
907	science/technology	Is gnách dóibh bandaleithead níos mó agus seirbhís ar chaighdeán níos airde a thairiscint. Tá siad criptithe agus mar sin tá sé níos deacra spiaireacht a dhéanamh orthu.
1071	politics	Ach dúirt an Príomh-Aire John Howard nach raibh ann sa ghníomh, AUD$45 milliún sa bhreis a thabhairt, ach chun áiseanna an ospidéil a chosaint in aghaidh a bheith íosghrádaithe ag rialtas na Tasmáine.
555	sports	Is féidir go n-aireoidh lúthchleasaithe go dtaitníonn táirge áirithe níos fearr leo, fiú mura dtugtar aon bhuntáistí leis i ndáiríre.
1203	health	Ó na 1800í ar aghaidh, ní raibh aon fhadhb ag Háití a bhain leis an ngalar, go dtí gur tháinig trúpaí.
58	politics	Dúirt na póilíní go raibh an lámh in uachtar ag Lo Piccolo de bhrí gur crann taca Provenzano a bhí ann i Palermo agus thuill an taithí bhreise a bhí aige meas ghlúin níos sine de cheannairí agus iad ag cloí le beartas Provenzano fanacht as amharc a mhéad is féidir agus an líonra cumhachta a neartú ag an am céanna.
1764	travel	Ina theannta sin, cuimhnigh go meallann bolaí áirithe béir agus fiadhúlra eile, mar sin ná déan bianna a bhfuil boladh láidir uathu a iompar ná a chócaráil agus bíodh an campa glan i gcónaí.
195	sports	Tá Massa le bheith amuigh den chuid eile de shéasúr 2009.
1785	travel	Má chuirtear áit in áirithe roimh ré, tugtar suaimhneas intinne don taistealaí go mbeidh áit aige/aice le codladh nuair a bhaintear an ceann scríbe amach.
600	science/technology	Is féidir le heilimintí agus comhdhúile bogadh ó staid amháin go staid eile agus gan aon athrú teacht orthu.
553	sports	Tá rith meánraoin ina spórt measartha saor; tá, áfach, neart míthuiscintí ann i dtaca leis an chúpla píosa trealaimh atá tá de dhíth le páirt a ghlacadh ann.
1720	geography	Clúdaíonn an pháirc 19,500 km² agus tá sé roinnte ina 14 éicichrios ar leith, gach ceann acu ina thaca d'fhiadhúlra difriúil.
