index_id	category	text
431	geography	तीनवटा समुद्रले टर्कीलाई घेरेको छ: पश्चिममा एजियन सागर, उत्तरमा ब्ल्याक सी र दक्षिणमा भूमध्य सागर।
403	science/technology	युद्धको सुरुवातमा तिनीहरू प्राय: समुद्रको टुप्पोमा यात्रा गर्थे, तर राडरको विकास हुन सुरु भएपछि र अझ यथार्थ हुन थालेपछि पनडुब्बीहरूलाई नदेखिने बनाउनका लागि पानी मुनि जान बाध्य बनाइएका थिए।
1592	science/technology	ग्रिकको ज्ञानमा गिरावट आउँदा, पश्चिमले आफूलाई आफ्नो ग्रिक दार्शनिक र वैज्ञानिक जराबाट टाढा भएको पायो।
993	entertainment	यद्यपि, उनीहरूको हिउँदयाममा फरक प्रकारको सौन्दर्य र आकर्षण छ, धेरै पहाडी स्टेशनहरूले स्वस्थ मात्रामा हिउँ पाइरहेको छ र स्कीइङ र स्नोबोर्डिङजस्ता गतिविधिहरू प्रदान गर्दछन्।
755	entertainment	यी होटलहरू ती थिए जहाँ धनी र दिनका प्रसिद्ध व्यक्तिहरू बस्थे र अक्सर राम्रो भोजन र रातको जीवन हुन्थ्यो।
1936	politics	1994 मा, यो द्वन्द्वले पूर्वी मोल्डोभाको स्व-उद्घोषित ट्रान्सनिस्ट्रिया गणतन्त्रमा पुर्‍यायो, जसको आफ्नै सरकार र मुद्रा थियो तर UN सदस्य राष्ट्रमा मान्यता प्राप्त छैन।।
1205	health	UN रोग विशेषज्ञ ड्यानिएल ल्यान्टानले भने सम्भावित रूपमा शान्तिसेनाद्वारा प्रकोप भएको हुन सक्थ्यो।
1692	geography	थप उत्तरका ठूला क्षेत्रहरू एकदम बिरलै बसोबास युक्त छन् र केही लगभग बसोबास नभएको उजाडस्थान हो।
280	politics	आन्दोलनका आयोजकहरूले बर्लिन, कोलोन, ह्याम्बर्ग र हनोभर जस्ता जर्मन शहरहरूमा करिब 100,000 मानिसहरू आएका थिए भने।
247	politics	यी एजेन्टहरू पाकिस्तानी संविधानको धारा 247 अन्तर्गत सरकारी र न्यायिक सेवाहरू प्रदान गर्न जिम्मेवार छन्।
1439	politics	शत्रुता प्रकोप बढ्ने बितिक्कै, ब्रिटेनले जर्मनीको नाभेल नाकाबन्दी सुरु गर्‍यो।
1239	entertainment	“उनी धेरै प्यारी छिन् र धेरै राम्ररी गाउँछिन् पनि”, उनले समाचार सम्मेलनको एक ट्रान्सक्रिप्टकाअनुसार भने।
743	geography	कुक टापुहरूमा कुनै पनि सहर छैन तर यो 15वटा फरक टापुहरू मिलेर बनेको छ। तीमध्ये मुख्य सहरहरू भनेका रारोटोङ्गा र आइतुतकी हुन्।
18	politics	विश्वव्यापी रूपमा प्रदर्शनहरू र धेरै आपराधिक अभियोग भएका थिए, र आइसल्यान्ड र पाकिस्तान दुबै सरकारका नेताले राजीनामा दिए।
1344	science/technology	इलेक्ट्रोनले तिनीहरूबाट अलग निकालेको (हाइड्रोजन परमाणुमा एउटा प्रोटोन र एउटा इलेक्ट्रोन हुने भएकाले) हाइड्रोजन आयोन प्रोटोन हो।
688	travel	सीमित समयका साथ आउने आगन्तुकहरूले आफ्नो समय अरू ठाउँमा बिताउनु उत्तम हुनेछ।
556	science/technology	परमाणुलाई सबै पदार्थ निर्माण गर्ने एउटा आधारभूत ब्लकको रूपमा लिन सकिन्छ।
1645	science/technology	भारी टन्न भएको गाडालाई पहाडमा घुमाएको जस्तो खालको छ। न्यूक्लियसलाई फेरि विभाजन गर्दा त्यस ऊर्जाको केही निस्किन्छ।
907	science/technology	तिनीहरूले साधारणतयाः उच्च ब्यान्डविथ र सेवाको अझ राम्रो गुणस्तर प्रदान गर्छन्। तिनीहरू गुप्तीकरण गरिएका हुन्छन् र यसर्थ जासुसी गर्न कठिन हुन्छ।
1071	politics	प्रधानमन्त्रीले तर जोन हवार्डले अतिरिक्त AUD$45 मिलियन डलर दिएको बेलामा यस ऐनलाई उक्त अस्पतालका सुविधाहरूलाई तास्मानीयाको सरकारले तल्लो दर्जामा झर्नबाट जोगाउन मात्रै ल्याइएको थियो भने।
555	sports	खेलाडीहरूले उत्पादनले कुनै वास्तविक लाभ प्रदान नगर्दा पनि उनीहरूले यसलाई नै प्राथमिकता दिन्छन् भन्ने कुरा महसुस गर्न सक्दछन्।
1203	health	सेनाको आगमन हुनुअघि, हाइटीले सन् 1800 को दशकपछि यो रोगसँग सम्बन्धित समस्याहरूको सामना गर्नुपरेको थिएन।
58	politics	प्रहरीले लो पिक्कोलोको माथिल्लो हात रहेको छ भने किनभने उनी पालेर्मोमा प्रोभेन्जानोको दाहिने हातका मानिस थिए र उनको ठूलो अनुभवले उनलाई पुरानो पुस्ताका मालिकहरूको मन जिते किनभने उनीहरूले आफ्नो शक्तिको सञ्जाललाई सुदृढ पार्ने क्रममा प्रोभेन्जानोको सकेसम्म कम राख्ने नीति अनुसरण गरेका थिए।
