	index_id	category	text	gpt-3
0	1523	science/technology	Mutasi menambahkan variasi genetik yang baru, sedangkan seleksi menghapusnya dari kelompok variasi ekspresi.	This piece of news is regarding science/technology.
1	1644	science/technology	Bom fisi bekerja berdasarkan prinsip bahwa energi diperlukan untuk membentuk sebuah inti atom dengan banyak proton dan neutron.	This piece of news is regarding science/technology.
2	558	science/technology	Nukleus terdiri dari dua partikel - neutron dan proton.	This is a piece of news regarding science/technology. It discusses the composition of the nucleus, which consists of two particles - neutrons and protons.
3	456	science/technology	Ini memungkinkan lensa pembesar menghasilkan gambar dengan kualitas yang setara dengan yang dihasilkan oleh lensa dengan jarak fokus tetap.	This piece of news is regarding science/technology. It discusses the ability of a magnifying lens to produce images of the same quality as a lens with a fixed focal length.
4	906	science/technology	Ini lebih unggul dari web proxy karena beberapa alasan: Mampu merutekan ulang semua lalu lintas Internet, tidak hanya http.	Based on the provided text, it does not appear to be a news article. It seems to be a statement or opinion about the superiority of a certain web proxy. Therefore, it does not fall into any of the given categories of news.
5	452	science/technology	Desain interaktif menuntut Anda menilai kembali asumsi Anda tentang produksi media dan belajar untuk berpikir dengan cara yang non-linier.	This piece of news seems to be related to science/technology. It discusses interactive design and challenges the assumptions about media production, suggesting a non-linear way of thinking.
6	1557	science/technology	Ini menjadi praktik yang umum, tetapi besi menyebabkan roda kayu pada kereta lebih cepat rusak.	This piece of news seems to be related to science/technology. It discusses the common practice of using iron for the wheels of trains, but highlights the drawback that iron causes wooden wheels to deteriorate faster.
7	1360	science/technology	Prides terdiri dari satu hingga tiga jantan dewasa bersaudara, bersama dengan 30 betina dan anak-anaknya.	This piece of text does not seem to be a news article. It appears to be a sentence about prides, which could be related to animal behavior or wildlife.
8	1675	science/technology	Walaupun Kecerdasan Buatan memiliki konotasi yang kuat dari fiksi ilmiah, Kecerdasan Buatan membentuk cabang yang sangat penting dari ilmu komputer, berurusan dengan tingkah laku, pembelajaran dan adaptasi kecerdasan dalam mesin.	This piece of news is regarding science/technology. It discusses Artificial Intelligence and its importance in the field of computer science, specifically dealing with behavior, learning, and intelligence adaptation in machines.
9	1430	science/technology	Rasio aspek format ini (dibagi dua belas untuk memperoleh rasio bilangan bulat yang paling sederhana) maka dari itu dikatakan sebagai 3:2.	I'm sorry, but I couldn't understand the context of your question. Could you please provide more information or rephrase your question?
10	1907	science/technology	Telepon satelit biasanya bukan merupakan pengganti telepon seluler karena Anda harus berada di luar ruangan dengan jarak pandang yang jelas ke satelit untuk menelepon.	This piece of news seems to be related to science/technology. It discusses the use of satellite phones and mentions that they are not a replacement for cellular phones because they require being outdoors with a clear line of sight to the satellite in order to make calls.
11	1555	science/technology	Walau jalur-jalur kereta hanya terdiri dari papan kayu secara paralel, dengan jalur ini kuda dapat menarik kereta sehingga lebih kencang dan menarik beban lebih banyak dibanding jalanan yang sedikit lebih kasar pada saat yang sama.	This piece of news seems to be related to technology, specifically transportation technology.
12	1632	science/technology	Orang-orang telah mengenal unsur-unsur kimia dasar seperti emas, perak, dan tembaga dari zaman kuno karena semua ini dapat ditemukan di alam dalam bentuk aslinya dan relatif mudah ditambang dengan alat-alat primitif.	This piece of text seems to be discussing science/technology, specifically about basic chemical elements such as gold, silver, and copper being known to people since ancient times and being relatively easy to mine with primitive tools.
13	1354	science/technology	Roda telah mengubah dunia dengan cara yang luar biasa. Hal terbesar yang telah dilakukan roda bagi kita adalah memberikan kita transportasi yang lebih mudah dan cepat.	This piece of news is regarding science/technology. It discusses the impact of the wheel on the world and how it has revolutionized transportation.
14	462	science/technology	Hal ini dilakukan untuk memastikan gambar menutupi seluruh layar. Hal tersebut dinamakan overscan.	"Based on the provided text, it does not seem to be a news article. It appears to be a statement or explanation about overscan, which is a term related to technology or specifically display settings. Therefore, it can be categorized under ""science/technology""."
15	404	science/technology	Kapal selam Jerman disebut U-boat. Orang Jerman ahli dalam navigasi dan mengoperasikan kapal selam.	This is a piece of news regarding geography. It mentions the German U-boat, which is a type of submarine used by Germany. It also mentions that Germans are skilled in navigating and operating submarines.
16	604	science/technology	Walau bentuk fisiknya mungkin berubah, tetapi bentuk kimiawinya kan tetap sama.	This statement does not provide enough information to categorize the news article. Please provide more details or context about the article.
17	352	science/technology	Tekanan permukaan terjadi karena molekul-molekul air di permukaan yang saling menarik lebih kuat dibanding molekul-molekul udara di atasnya.	This is a piece of news regarding science/technology. It discusses the concept of surface tension and the interaction between water molecules on the surface and air molecules above it.
18	459	science/technology	Salah satu masalah paling umum saat mencoba mengonversi film ke format DVD adalah overscan.	This is a piece of news regarding technology.
19	1519	science/technology	Secara khusus, dinyatakan bahwa kita dapat mendeteksi apakah seseorang berbohong dengan mengamati ekspresi mikronya dengan benar.	This piece of news falls under the category of science/technology. It discusses the ability to detect lies by accurately observing microexpressions.
20	1338	science/technology	Emas dapat diolah menjadi berbagai bentuk. Antara lain digulung jadi bentuk-bentuk kecil.	This piece of news seems to be related to science/technology, specifically about the processing of gold into various forms, including small rolls.
