index_id	category	text
797	technology	Idha kunta tusafir ma3a jihaz computer ma7mul aw jihaz law7y, fa qum bi-takhzin nuskha fi dhakiratih aw qursih (yumkinu al-wusul ilayha bidun internet).
830	travel	Fi ba3dh al-qitarat al-3abira lil-7udud, tujra 3amaliyat attaftish fil qitar al-muta7arrik wa yajib 2an yakun ladayka huwiya sali7a 3inda rukub a7ad hadhih al-qitarat.
150	business	Qaddama sa7ib majmu3at Virgin Al-sayed Richard Branson 3ardan lil bank qabla ta2ammihi illa annahu rafadahu.
1806	travel	Tamil ba3dh al-7ayawanat, mithil al-fiyala wa zzrafat, ila al-iqtirab min assayarat 3an kathab, wa tasma7 al-mu3iddat al-qiyasiya bi-rru2ya al-jayida.
902	disasters	Al i3sar howa 3amud dawwar min hawa2 munkhafid addaght lil ghaya yamtassu alhawa2 almu7it ila addakhil wa ila al a3la.
1225	sports	7asala Del Potro 3ala mizat mubakkira filmajmu3a al-thaniya, lakinna hadha tatallaba aydan kasir al-ta3adul ba3da al-wusul ila natijat 6-6.
1342	science	Yataghayar lawn 3asir al-malfoof 7asba mada 7emdiyyat al-madda al-kimya2iyya aw qa3idataha (quluwiyataha).
1959	nature	Ya3ijju muntazah Plitvice Lakes al watani bil ghabat, la siyyama bi ashjar azzan, wa tannub, wa tatamayyaz bi mazij min nnabatat jibal al aleb wal ba7er al abyad al mutawasset.
341	business	"Wa fi ma yata3allaq bel wadh3 al-mali al-3alami, estatradda Zapatero qa2ilan inna ""al-nidham al-mali huwa juz2un asasiyyun min al-eqtisad."
352	science	Ya7duth al-tawattur al-sat7i li 2anna juzay2at al-ma2 al-mawjuda 3ala sate7 al-ma2 tanjadheb bi quwwah ila ba3diha al ba3edh akthar memma tanjadheb ila juzay2at al-hawa2 al-lati fawqaha.
448	nature	Fi kul 3am taqriban fi shaher teshrin al awwal, yusafer ma yuqareb min 1.5 milyon min akili  i al a3shab na7wa al suhul al janubiyya, 3abra nahr Mara, min al tilal al shamaliyya min ajl al amtar.
386	politics	Laqad kana al Malek Sejong rabe3 muluk Joseon wa howa a7ad akthar al muluk e7tiraman.
1438	religion	Kanat as-sulta al markaziyya lel kanisah fi Roma li akthar min alef 3am, wa qad adda tarkiz as-sulta wal mal biha ila tasa2ul kathirin 3an ma idha kanat hadhihi al 3aqidah qad tamma al 3amal wefqan laha.
394	politics	"Lakinna al ba7riya al malakiyya kanat la tazal aqwa bi kathir min al ba7riyya al Almaniya (""Kriegsmarine"") wa kana bi imkaniha tadmir ay ustul ghazuw yatimmu ersalahu 3abra al qanat al Engliziyya."
1977	education	Wa min nafilat al-qawl, idha kunta ta3ref lugha Rumansiyya, sa-yakun mina as-sahel 3alayka ta3allum al-lugha al-Bortughaliyya.
1719	nature	Taqa3 7adiqat Kruger al-wataniya (Kruger National Park) fi shaـmal sharq janub ifriqya, wa hiya tamtaddu 3abra 7udud Mozambique min na7iyat asharq, wa Zimbabwe min jihat ashamal, wa ya7udduha min al-janub nahr attimsـa7.
29	crime	2u'9rimat al-niran fi sijn 2abu '3rib al-3ira8i 5ilal a3mal 4a'3ab.
845	entertainment	"Wa ma3a dhalik, yujad fil waqt al-7adhir rassamu algraffiti, wa fa3aliyat al-kitaba 3ala al-judran wal judran ""ashar3iya"". Ghaliban ma tushbih law7at al-kitaba 3ala al-judran fi hadha assiyaq al-a3mal al-faniya badalan min al-3alamat ghayr al-maqru2a."
165	crime	Wasala al-muhajimun li Mumbai 3ala matni qarib fi 26 November 2008 7amilina ma3ahum asli7a wa qanabil wa darabu akthar min hadaf bi-ma fi dhalika ma7attat qitar Chhatrapati Shivaji Terminus wa funduk Taj ma7al al-shahir.
261	business	Wa qad a3lanat Nijeria fi waqten sabiq annaha tu5atit lil indimam ila mintaqat at-tijara al-7urra lil qarra al-afrikiyya fil 2sbu3 al-ladhi yasbiq al-qimma.
531	sports	Yatimmu la3ib thmaniyata 3ashar 7ufra khilal aljawla al3adiya, 7aythu yabda2 alla3ibun 3adatan min awwali 7ufra fil mal3ab wa yantahun fi athamina 3ashar.
1599	nature	Yumkinu 2an yakuna li ttafrat majmu3a mutanawi3a min atta2thirat almukhtalifa i3timadan 3ala naw3 attafra, wa ahammiyat qit3an almada alwirathiya almuta2athira wa ma idha kant alkhalaya almusaba hiya khalaya khat jurthumy.
428	geography	Yamtad toul 2al 2aradi 2al Turkiyya 2ela 2akthar min 1600 kilometer (1000 mil), baynama yamtad 3ardhuha ela 800 kilometer (500 mil) wa huwa ma yaj3aluha ta2khudh shakel 2al mosta6il.
