	index_id	category	text	gpt-3
0	1523	science/technology	Мутаци нь генетикийн шинэ хувилбар, илэрхийлсэн хувилбарын сангаас үүнийг хасах сонголтыг нэмдэг.	This piece of news appears to be regarding science/technology, specifically genetics and mutations.
1	1644	science/technology	Атомын бөмбөг нь олон тооны протон, нейтроныг ашиглан атомын цөмийг нийлүүлэхэд эрчим хүч зарцуулах зарчмаар ажилладаг.	This piece of news is regarding science/technology. It discusses how the atomic bomb works by utilizing the energy released from the fusion of protons and neutrons in the nucleus of an atom.
2	558	science/technology	Цөм нь нейтрон ба протон гэсэн хоёр жижиг хэсгээс бүрддэг.	This piece of news seems to be related to science/technology, specifically to the topic of neutrons and protons.
3	456	science/technology	Энэ нь таталттай линзэд тохируулгатай фокусын урт бүхий линзээр авсан зургын чанартай харьцуулам зураг авах боломжийг бий болгосон юм.	This is a piece of news regarding science/technology.
4	906	science/technology	Тэдгээр нь хэд хэдэн шалтгаанаар вэб проксигийн хувьд илүү давуу байдаг: тэдгээр нь зөвхөн http биш бүх интернэтийн хөдөлгөөнийг дахин чиглүүлдэг.	This is not a piece of news regarding science/technology, travel, politics, sports, health, or geography. It appears to be a statement about web proxies and their ability to redirect internet traffic.
5	452	science/technology	Медиа бүтээх тухай таамаглалаа дахин үнэлж, шугаман бус замаар сэтгэж сурахыг интерактив дизайн танаас шаарддаг.	This appears to be a piece of news regarding technology.
6	1557	science/technology	Энэ нь түгээмэл туршлага болсон ч вагоны модон дугуйг төмөр илүүтэй элэгдүүлж байв.	This piece of news seems to be related to science/technology.
7	1360	science/technology	Сүрэг нь насанд хүрсэн нэгээс гурван эр арслан болон гуч хүртэл эмэгчин хийгээд бамбаруудтай байдаг.	"This piece of news seems to be related to ""nature/animals"" or ""environment""."
8	1675	science/technology	Хэдийгээр ХОУ нь уран зөгнөлийн хүчтэй нэмэгдэл утгатай боловч, ХОУ нь зан авир, суралцахуй болон машин дахь ой ухааны зохицолтой ажилладаг компьютерийн шинжлэх ухааны маш чухал салбар юм.	This piece of news seems to be related to science/technology.
9	1430	science/technology	Энэ форматын аспектийн харьцаа (хамгийн энгийн бүхэл тооны харьцааг гаргахын тулд арван хоёрт хувааж) нь тиймээс 3:2 байна.	"Энэ форматын аспектийн харьцаа нь 3:2 байна. Тиймээс, энэ мэдээлэл нь {{""science/technology, science/technology, travel, politics, sports, health or geography""}} ангилалд орсон байнагаа эсэхийг тодорхойлох боломжгүй."
10	1907	science/technology	Хиймэл дагуулын утас нь утасны дуудлага хийхдээ гадаа байж, хиймэл дагуултай тодорхой харагдаж байхаар шугамд байх ёстой тул ерөнхийдөө гар утсыг орлуулах зүйл биш юм.	This is a piece of news regarding technology.
11	1555	science/technology	Хэдийгээр вагон зам нь параллель мод төдийгөөс бүрдсэн ч морьдод илүү хурдлах боломжийг олгож, илүү том ачааг багахан хэцүү зам дээр чирэх боломжийг өгчээ.	This appears to be a piece of news regarding science/technology.
12	1632	science/technology	Төрөлх байдлаараа байгалиас олддог бөгөөд болхи багаж хэрэгслээр олборлоход харьцангуй хялбар тул алт, мөнгө болон эртний зэс зэрэг үндсэн химийн элементүүдийн тухай хүмүүс мэддэг байжээ.	This piece of news seems to be related to science/technology, specifically in the field of chemistry, as it mentions the basic chemical elements such as gold, money, and earth.
13	1354	science/technology	Дугуй дэлхийг гайхалтай арга замаар өөрчилжээ. Бидэнд дугуйн хийж өгсөн хамгийн том зүйл бол илүү хялбар, илүү хурдан тээврийн хэрэгсэл билээ.	This news article appears to be about science/technology, specifically about a new method or innovation that aims to make transportation easier and faster.
14	462	science/technology	Энэ нь зургийг нийт дэлгэцийг хамруулахаар хийгдсэн. Түүнийг хэт том ба оверскан гэж нэрэлдэг.	This is a piece of news regarding technology.
15	404	science/technology	Германы шумбагч онгоцыг U-завь гэдэг байв. Германчууд шумбагч онгоцнуудаа жолоодох, удирдахдаа маш сайн байжээ.	I'm sorry, but I am unable to understand the language you have used. Could you please provide the news article in English or clarify the topic you would like me to categorize?
16	604	science/technology	Хэдийгээр бит шинж нь өөршлөгдсөн ч химийн шинж нь хэвээр байна.	This piece of news is regarding science/technology.
17	352	science/technology	Усны гадаргуу дээрх усны молекулууд нь дээрээ байх агаарын молекулд татагддагаас илүүтэйгээр бие биедээ хүчтэй татагдсанаас болж тэлэлт бий болдог.	This piece of news seems to be related to science/technology. It discusses the interaction of water molecules in the air and how they can become more powerful when they come into contact with other molecules, leading to precipitation.
18	459	science/technology	Киног DVD формат руу хөрвүүлэх гэж оролдоход гардаг хамгийн түгээмэл асуудлын нэг нь хэтрүүлэн уншуулах байдаг.	This is not a news article. It appears to be a statement or question about converting a DVD format to another format.
19	1519	science/technology	Ялангуяа нүүрний бичил илэрхийллийг зөв хөрвүүлэх замаар тухайн хүн худал ярьж байгаа эсэхийг илрүүлж болно гэж үздэг.	I'm sorry, but I am unable to understand the language you have used. Could you please provide the text in English or clarify your question?
20	1338	science/technology	Алтыг бүх төрлийн хэлбэрт оруулж болдог. Үүнийг бяцхан дүрс болгон хавтгайлж болдог.	Би мэдээний ангилалыг тодорхойлох боломжгүй байна. Та мэдээний гарчиг, агуулга, эсвэл зохиогчийн нэрээ ашиглан мэдээний ангилалыг тодорхойлох боломжтой.
21	1679	science/technology	Хэдэн гэрийн компьютер болон видео тоглоомын програм хангамжийн апликэйшинд ашигладаг AI системийг өдгөө эдийн засаг, анагаах ухаан, инженер болон цэрэг армийн салбарт ихэвчлэн ашиглаж байна.	This piece of news is regarding science/technology.
22	1428	science/technology	Үүнийг өнөө хүртэл үйлдвэрлэсэн хэвээр байгаа боловч илүү чухал нь түүний аспектийн харьцааг дижитал камерын зураг мэдрэгч форматад ашиглажээ.	This news article seems to be related to science/technology, specifically the use of digital cameras in a particular industry or field.
23	1432	science/technology	Ихэвчлэн тохуурхаж, доог тохуу хийж байдаг гурвын дүрэм бол зураг дахь дарааллын хэмжээг хадгалангаа динамизмийг үүсгэх энгийн зааварчилгаа юм.	This piece of news seems to be related to science/technology.
24	1024	science/technology	Дор хаяад зарим динозаврууд өдтэй байсныг энэ нь батлаад зогсохгүй, өргөн тархсан уг онол нь чулуужсан үлдэгдлүүд нь өнгө болон гурван хэмжээст зохицуулалтыг үүсгэж чадахгүйг харуулдаг.	This is a piece of news regarding science/technology.
25	373	science/technology	Ёо гарагийн татах хүч чамайг хэрхэн татах бол? Хэрэв та Ёо гарагийн гадарга дээр зогсвол дэлхий дээр байдгаас бага жинтэй байх юм.	I apologize, but I am unable to understand the language you have used. Could you please provide your question or statement in English?
26	1332	science/technology	Холбооны Нисэхийн Захиргаанаас агаарын хөлгүүд илүү богино маршрутаар нисэж, жил бүр хэдэн сая галлон түлш хэмнэн, нүүрстөрөгчийн ялгарлыг бууруулах боломжийг НекстЖен систем олгоно гэжээ.	This piece of news is regarding science/technology.
27	1670	science/technology	Нейробиологийн өгөгдөл нь танин мэдэхүйг судлах онолын хандлагад бодит баримтыг хангаж өгдөг. Тийм учраас энэ нь судалгааны бүсийг нарийвчилж, илүү тодорхой болгодог.	This piece of news appears to be regarding science/technology as it mentions neurobiology and data analysis.
28	61	science/technology	"2 цагийн турш хийсэн яриандаа тэрээр ""Өнөөдөр Apple компани утсыг дахин бүтээх гэж байна, бид өнөөдөр түүхийг бүтээх болно"" гэжээ."	This is a piece of news regarding science/technology.
29	454	science/technology	Томруулж, жижигрүүлдэг линзийн сул тал нь фокусын нарийн төвөгтэй байдал бөгөөд фокусын ялгаатай уртуудад хүрэх линзийн хэд хэдэн элементүүд нь гол линзэд зориулснаас хамаагүй их байдаг.	This piece of news is regarding science/technology. It discusses the structure of a lens and how different elements contribute to its overall performance.
30	1234	science/technology	Телевизийн удирдлагатай төстэй тус удирдлага хэрэглэгчийн телевизорын ойролцоо байрлуулсан хоёр мэдрэгчийг ашиглан байрлалыг нь гурвалжин болгож, гурван хэмжээст орон зай үүсгэдэг.	This piece of news seems to be related to technology.
31	1025	science/technology	Эрдэмтэд энэхүү амьтны өд сөд нь цээж хэсгээрээ хүрэн бөгөөд дээр нь өнгөгүй эсвэл фигмент бүхий өнгөтэй байдаг гэдэг.	"This piece of news seems to be related to ""science/technology"" as it mentions a ""colorless or pigmented"" segment in the context of animals."
32	1254	science/technology	Хоёр холимог нэг нэгэнтэйгээ урвалд орж бөөрний ажиллагааг хориглодог байж магадгүй талстыг үүсгэдэг гэж их сургуулийн судлаачид хэлжээ.	This piece of news seems to be related to education or research, as it mentions researchers studying the impact of collaboration on individual performance.
33	780	science/technology	Энэ нь 35 мм-ийн хасах гэдгээс (3136 мм2-ийн эсрэг 864) бараг дөрөв дахин их нягтралыг өгнө.	This appears to be a piece of news related to science/technology.
34	649	science/technology	Европтой холбосон далайн гүний шилэн кабель, өргөн зурвасын хиймэл дагуулын ачаар Гренландын хүн амын 93% нь интернетэд ханддаг, сайтар холбогдсон болжээ.	This news article appears to be about science/technology as it discusses the undersea cable connecting Europe and Greenland, which enables internet access for 93% of the population in Greenland.
35	917	science/technology	Энэ ангилал дахь хамгийн чухал апликэйшнуудын нэг нь хэрэгтэй хэлний өгөгдлийг татаж авсаны дараа офлайн орчуулгын боломжийг олгодог Гүүгл Трэнслэйт билээ.	"This is not a news article, but rather a statement about an application that provides offline translation using Google Translate. Therefore, it falls under the category of ""science/technology."""
36	603	science/technology	Энэ нь хий, шингэн эсвэл хатуу аль ч төлөвт байсан молекулын ижил бүтэцтэй байдаг.	This piece of news seems to be related to science/technology.
37	1518	science/technology	Видео бичлэгийн хэрэглээ нь микро илэрхийлэл буюу хэдхэн миллсекунд үргэлжилдэг нүүрний хөдөлгөөнийг тайлбарлах чухал нээлтэд хүргэсэн.	This news article appears to be related to science/technology.
38	584	science/technology	Хүн төрөлхтөн линзийг аливааг томруулж харах зорилгоор мянга мянган жил хийж, ашиглаж иржээ.	I'm sorry, but I couldn't understand the language you used. Could you please rephrase your question in English?
39	1589	science/technology	Энэ нь гэвч ганц зүйл биш боловч туршилт явуулах, туршилт гэдэг бол асуулт асууж, ажиглалт хийн, мөн шинжлэх ухааны судалгааг зааварчлах замаар нэг эсвэл илүү олон боломжит таамаглалыг ялган хасах туршилт юм.	Энэ нь туршилт явуулах мөн шинжлэх ухааны судалгааг зааварчлах замаар нэг эсвэл илүү олон боломжит таамаглалыг ялган хасах туршилт юм.
40	1558	science/technology	Эцэстээ модон дугуйг төмөр дугуйгаар сольжээ. 1767 онд анхны бүрэн төмөр замыг танлцуулсан байна.	This is a piece of news regarding science/technology. It is about the discovery of the first fully paved road made of iron in 1767.
41	922	science/technology	Олонх картууд нь хаашаа ч залгасан сайн байдаг, зарим нь тодорхой бүлгийн улс орнууд руу зохистой дуудлага хийхэд тохирсон байдаг.	This appears to be a piece of news regarding geography, specifically about certain countries receiving important calls.
42	1981	science/technology	Орчин цагийн судалгааны микроскопууд нь нүсэр байгууламжтай ч алслагдсан газарт таатай уур амьсгалтай нөхцөлд байдаг.	This news article appears to be related to science/technology, specifically in the field of microscopy and its application in various environments.
43	351	science/technology	Ган зүү нь гадаргуугийн таталцлын хүчнээс болж усны дээр хөвдөг.	This is a piece of news regarding science/technology.
44	1429	science/technology	35 мм-ийн формат нь үнэндээ өргөнөөрөө 36 мм ба өндрөөрөө 24 мм тул зарим талаараа толгой эргүүлэм байдаг.	This is not a piece of news. It appears to be a statement or information related to photography formats, specifically the 35mm format.
45	578	science/technology	"Амьдралийг судлахад эс нь тун энгийн бас шүүмжлэм юм, бодит байдалд, тэднийг ""амьдралийн барилгын блок"" гэж зөвлөж ирсэн."	"This piece of news seems to be related to science/technology as it discusses the concept of an ""amidraliin barilgiin blok"" (smart building) and its potential impact on the environment and health."
46	905	science/technology	Хувийн VPN (виртуал хувийн сүлжээ) үзүүлэгчид нь улс төрийн цензур болон арилжааны IP-геофилтер хийдгийг хоёуланг нь хуурдаг шилдэг арга байдаг.	This piece of news is regarding technology.
47	264	science/technology	Сансрын станцын нислэгийн үеэр гироскопоо эрт алдсан ч гэсэн задгай сансарт гарч дуусах хүртэл станц өөрийн байрлалаа хадгалсан байна.	This piece of news appears to be regarding science/technology.
48	628	science/technology	Ийм төрлийн сэтгэхүйтэй хүмүүс логик сэтгэхүйтэй байдаг ба загвар маягийг цээжилж, асуудлыг шийдвэрлэн, шинжлэх ухааны туршилт дээр ажиллах чадвартай байдаг.	This is not a piece of news. It appears to be a statement about the capabilities and characteristics of logical and analytical individuals who are able to work in the field of scientific research and problem-solving.
49	1366	science/technology	Зэрлэг эрээн муур жижиг амьтдыг идэх дуртай байдаг. Тэд сармагчин, могой, мэрэгч болон чадвал шувуу барина. Зэрлэг эрээн муурын барьдаг бараг бүх амьтад эдгээрээс хамаагүй жижигхэн байдаг.	This piece of text does not appear to be a news article. It seems to be a random statement or description rather than a news story.
50	779	science/technology	Зарим дунд форматтай кино камерууд 6 харьцах 6 см харьцах, 56 харьцах 56 мм-ийн формат ашигладаг.	This piece of news seems to be related to science/technology, specifically about different camera formats used in filmmaking.
51	1874	travel	Аяллын төлөвлөгөөнд нөлөөлж болохуйц тухайн бүсэд болж буй цаг агаарын аливаа эрсдэлт үзэгдлийг мэдэж байх хэрэгтэйг аялагчдад зөвлөдөг.	This article appears to be about travel.
