index_id	category	text
797	technology	若攜帶筆電或平板電腦旅行，請在其記憶體或光碟中儲存備份（在沒有網際網路時仍可存取）。
830	travel	某些跨越邊境的火車會在行進時進行檢查，因此搭乘這種火車時，你應該攜帶有效的身分證明。
150	business	理查‧布蘭森爵士的維珍集團在該銀行國有化之前曾出價收購但遭拒。
1806	travel	大象和長頸鹿這些動物往往會接近車子，因此標準裝備能讓你看得更清楚。
902	disasters	龍捲風是一個極低氣壓的旋轉空氣柱，它把周圍的空氣往內、往上吸。
1225	sports	德爾波特羅在第二盤前期佔上風，但在比分達到 6-6 時仍需要搶七決勝負 。
1342	science	甘藍汁會根據化學物質的酸鹼度變色。
1959	nature	十六湖國家公園林木蔥鬱，以山毛櫸、雲杉和樅樹為主，融合了高山和地中海植物景觀。
341	business	談到全球金融狀況時，薩巴德洛繼續說道：「金融系統是經濟的一部份，而且是很重要的一部份。」
352	science	發生表面張力是因為水面的分子會強烈吸引彼此，強度超過上方的空氣分子。
448	nature	每年十月左右，都有將近 150 萬隻草食動物為了雨水，會從北邊的山丘跨越馬拉河，遷移至南方的平原。
386	politics	朝鮮王朝的第四任國王是世宗大王，他是最受景仰的國王之一。
1438	religion	一千多年來，教會的權力核心都位於羅馬，這種權力與金錢的集中，令許多人質疑教會是否確實遵循這項信條。
394	politics	但皇家海軍仍比德國海軍 (Kriegsmarine) 強大許多，並可摧毀任何欲入侵英吉利海峽的艦隊。
1977	education	不用說，如果你會一種羅曼語系的語言，那葡萄牙文對你來說會非常好學。
1719	nature	克魯格國家公園 (KNP) 位於南非東北部，東接莫三比克，北鄰辛巴威，南邊以鱷魚河為界。
29	crime	伊拉克的阿布格萊布監獄在一次暴亂中慘遭祝融。
845	entertainment	不過，現今已有很多知名的塗鴉藝術家、塗鴉活動和「合法」塗鴉牆。這類的塗鴉繪畫通常類似於藝術品，而非難以辨別的標誌。
165	crime	孟買恐攻者在 2008 年 11 月 26 日搭船抵達，他們攜帶著手榴彈和自動武器，並攻擊多個目標，包括擁擠的賈特拉帕蒂·希瓦吉終點站和著名的泰姬瑪哈酒店。
261	business	奈及利亞此前宣布，計畫在峰會舉行前一周加入非洲大陸自由貿易區協定 (AfCFTA)。
531	sports	一場標準比賽是 18 洞，球員一般從球場的第一洞開始，然後在第 18 洞結束。
1599	nature	根據突變的種類、受影響遺傳物質的重要性、以及受影響細胞是否為生殖系細胞，突變能有各種不同的效果。
428	geography	土耳其的領土長 1,600 多公里（1,000 英里），寬 800 公里（500 英里），大致上呈現一個矩形形狀。
1206	health	漢彌爾頓 (Hamilton) 證實霍華德大學醫院 (Howard University Hospital) 收治了病情穩定的病人。
277	politics	前麻薩諸塞州州長米特‧羅姆尼週二以超過 46% 的選票贏下佛羅里達共和黨總統初選。
2	disasters	 JAS 39C 獅鷲戰鬥機在當地時間上午 9 點 30 分（世界協調時間 02:30）墜落在跑道上並爆炸，導致機場暫停商業航班的起降。
719	geography	多明尼加共和國（西班牙文：República Dominicana）是一個加勒比海國家，和西邊的海地共同位於伊斯帕尼奧拉島上。
324	geography	這場颶風距離佛羅里達州邁阿密約三千英里，最大持續風速是每小時 40 英里（每小時 64 公里）。
15	business	「巴拿馬文件」統稱 2016 年春天，巴拿馬法律事務所莫薩克‧馮賽卡外洩給媒體的文件，約有一千萬份。
13	sports	納達爾在這場比賽中拿下了 88% 的網前分，首發贏得 76 分。
1276	crime	被告的姓名為巴巴·康戛爾、布薩·康戛爾、藍普洛·康戛爾、迦札·康戛爾和維斯努·康戛爾。
37	entertainment	這部美國公共電視臺 (PBS) 出品的節目獲得超過 24 座艾美獎，播出時間僅次於《芝麻街》和《羅傑斯先生的鄰居》。
1192	health	該名攝影師被送往加州大學洛杉磯分校雷根醫學中心，之後仍不幸死亡。
1239	entertainment	根據記者會的文字記錄，他說：「她很可愛，也很會唱歌。」
373	science	艾奧的重力有多大 對我有多少影響？如果您站在艾奧的地面上，您的體重會比您在地球上的體重輕。
42	disasters	氣象預報員說，這場颶風位於維德角島西方 645 英里（1040 公里）處，很有可能在威脅到陸地之前就消散掉。
1780	travel	一年四季都有許多人到大堡礁旅行，鮮少有人因此在大堡礁受傷。
533	sports	球賽在草地上進行，球洞周圍的草割得較短，稱為果嶺。
167	politics	此攻擊為印度和巴基斯坦間的關係帶來巨大壓力。
57	crime	Ansa 表示，警方憂心最猛烈的數起攻擊恐造成繼任之爭全面爆發。
1264	politics	休恩已辭職，他在內閣的職位將由愛德·戴維議員接任。諾曼·蘭姆議員有望接替戴維，出任商務大臣一職。
460	entertainment	多數電視節目的製作目的是取悅一般大眾。
1911	education	這對應屆畢業生來說特別受歡迎，讓他們在大學畢業前能有一年的假期，而不用犠牲學業。
1631	religion	梵蒂岡的所有公民都是羅馬天主教徒。
1997	religion	當然有基督教神學對此傳統的解釋，但這很可能是基督教出現前就存在的春天及豐收儀式。
142	sports	一名猶他爵士隊球員確診新冠病毒之後，NBA 做出此決定。
197	health	總統目前病情穩定，但依然要在家隔離幾天。
107	geography	當太空艙在大約凌晨 5 點 (美東時間) 抵達地球並進入大氣層時，預計將會為北加州、奧瑞岡州、內華達州和猶他州居民上演一場精采燈光秀。
295	health	直升機救出了十二名船員，只有一人鼻骨骨折。
342	business	我們經歷了長達一年的金融危機，而最近兩個月是情況最為嚴峻的時期，我認為金融市場現在已經開始復甦了。」
365	technology	這是因為如果您在燈泡的金屬底座仍有部份插在插座上時，觸碰到插座內部或其金屬底座，則流入燈泡金屬部份插座的電流，會讓您嚴重觸電。
268	crime	自 2003 年頒布法規，遏止未經收信人許可寄發大量郵件（亦即垃圾郵件）至使用者信箱以來，這是第一次依該法規定罪。
426	education	查爾斯是首位被授予學位的英國王室成員。
1379	science	牠長長的下顎上佈滿了 70 多顆如剃刀般鋒利的牙齒，加上上顎的另一套牙齒，這表示擋在牠眼前的任何生物都無法逃脫。
135	nature	自然因素可以交互作用產生理想的環境，讓這種藻類的數量急速增加。
1437	religion	基督教有一條主要信條，亦即財富必須用於幫助受苦與貧窮的人，而教堂的資金就是特別為這種理由設立的。
1687	education	寫部落格是一種啟發合作的工具，可以鼓勵學生將學習遠遠延伸到傳統的學校生活之外。
1166	entertainment	該電臺的網站形容這個節目是「老套的廣播劇，但具有極其古怪的反轉，充滿新意！」
1111	health	疫情促使印度政府採取一些措施，比方在重災區部署捕豬隊、分發大量蚊帳以及噴灑殺蟲劑。
720	geography	除了白色沙灘和山岳景觀，這個國家也是美洲最古老的歐式城市的所在地，就是現在是聖多明哥的一部份。
1943	religion	在教堂的院落中，一些墓碑上有一些有趣的鴿子大理石雕像。
1036	travel	在他的旅程中，岩崎圭一碰過不少麻煩。
248	disasters	當地時間今天早上 10 點，伊斯蘭聖城麥加有一處旅館倒塌。
111	technology	Stardust 專案經理湯姆．達克斯伯里 (Tom Duxbury) 表示：「它將飛越北加州的西海岸，照亮從加州到俄勒岡州中部，再經由內華達州及愛達荷州直到猶他州的天空。」
665	travel	最「典型」的行程包括飛往奧蘭多國際機場、搭巴士前往迪士尼飯店、在迪士尼園區玩上一週後再回家。
1241	technology	發射約 3 分鐘後，艙內攝影機顯示許多絕緣泡沫塑料碎片自油箱脫落。
1428	technology	它至今日仍持續在生產，不過更重要的是，數位相機的感光元件規格沿用了其長寬比。
643	education	學生也可以隨時提交問題給老師，並在合理時間內快速得到回覆，不必等到下一次面對面的會談。
637	science	四年後獲得一項專利，這是世界上第一個 MRI 領域的專利。
1280	disasters	緊急救難人員將駕駛員從紅色奧迪 TT 中救出來時，發生車禍的路段暫時封閉。
