index_id	category	text
797	technology	Si bu viaja ku un portátil ô tablet, guarda un kópia na bu mimória ô disku (asesível sen Internet).
830	travel	Na alguns konboius ki ta travesa frontera, inspeson é fetu na konboiu duranti sirkulason y bu debe tene ku bo un identifikason válidu nun des konboiu.
150	business	Virgin Group di Sir Richard Branson's tevi un proposta pa banku rijeitadu antis di nasionalizason di banku.
1806	travel	Alguns animal, sima elifanti y girafa, ten tendénsia a aprosima pertu di karu y ekipamentus padron ta pirmiti bon vizualizason.
902	disasters	Un tornadu é un kuluna ki ta gira ar di mutu baxu preson, ki ta absorvi ar a se redor pa dentu y pa riba.
1225	sports	Del Potro tevi vantajen inisial na sigundu konjuntu, mas kel-li tanbê iziji un dizinpati dipôs di atinji 6-6.
1342	science	Sumu di kovi ta muda di kor dipendendu di modi ki produtu sta ásidu ô (alkalinu) báziku.
1959	nature	Parki nasional di Plitvice Lakes ten txeu floresta, prinsipalmenti ku arvri sima faia, abetu y pinherus, y el ten un mistura di vejetason Alpinu y Miditirániku.
341	business	Rilativamenti a situason finanseru global, Zapatero kontinua ta fla ma “sistéma finanseru é un parti di ikunomia, un parti krusial.
352	science	Tenson superfisial ta kontise pamodi mulékulas di agu na superfísi di agu ta atrai fortimenti pa kunpanhéru más di ki es ta ku mulékulas di ar pa ses riba.
448	nature	Tudu anu pur volta di Otubru serka di 1,5 milhon di erbívorus ta viaja en direson a planísis di sul, travesandu riu Mara, a partir di kulinas di norti pa txuba.
386	politics	Rei Sejong foi kuartu rei di Dinastia Joseon y el é un di kes más konseituadu.
1438	religion	Otoridadi sentral di igreja éna Roma a más di mil anu y es konsentrason di puder y dinheru leba monti pesoas ta kestiona si es prinsípiu staba ta ser kunpridu.
394	politics	Mas Marinha Rial inda staba más forti di ki Marinha Alemon (“Kriegsmarine”) y pudia ter distruidu kualker frota di invazon mandadu através di Kanal Inglês.
1977	education	Ka meste fla ma si bu sabe un língua romaiku, ma ta ser más fásil prende purtugês.
1719	nature	Parki Nasional Kruger (KNP) ta fika na nordesti di Áfrika di Sul y ta pbai ti frontera ku Mosanbiki ap lesti, Zinbabué pa norti, y frontera pa sul é Riu Krukudilu.
29	crime	Kadia di Iraki Abu Ghraib podu lumi duranti un ribelion.
845	entertainment	Nu entantu, oji en dia ten artistas di grafiti rikunhesidu, iventus di grafiti y paredis “legal”. Pinturas di grafiti nes kontestu monti bês ta parse ku obras di arti en vês di markas ilejivel.
165	crime	Atakantis di Mumbai txiga di barku dia 26 di Nuvenbru di 2008, es traze ku es granadas, armas automátiku y atinji monti alvus, inkluindu stason feroviáriu Chhatrapati Shivaji Terminus ki ta sta xeiu di algen y famozu Otel Taj Mahal.
261	business	Nijéria anunsiaba antis ma el sa ta planiaba faze parti di AfCFTA na kel simana antis di simera.
531	sports	Ta jugadu dizoitu braku duranti un ronda normal, ku jugadoris ta kumesa normalmenti na priméru braku y ta tirmina na désimu oitavu.
1599	nature	Mutasons pode ten un variedadi di ifeitus diferenti, dipendendu di tipu di mutason, inpurtánsia di kel padas di material jenétiku afetadu y si sélulas afetadu é sélulas di linha jerminal.
428	geography	Teritóriu di Turkia ten más di 1.600 km di konprimentu y 800 km di largura, ku un forma más ô ménus di retángulu.
1206	health	Hamilton konfirma ma Ôspital di Howard interna duenti na situason istável.
277	politics	Antigu guvernador di Massachusetts Mitt Romney ganha ileison primáriu prizidensial di Partidu Republikanu di Florida na térsa-fera ku más di 46 pur sentu di votus.
2	disasters	JAS 39C Gripen kai nun pista pur volta di 9:30 óra lokal (0230 UTC) y spludi, y kaba pa fitxa aerportu pa vôu kumersial.
719	geography	Repúblika Dominikana (Spanhol: Repúblika Dominikana) é un país di Karaíbas ki ta okupa kel metadi oriental di ilha di Hispaniola ki el ta dividi ku Haiti.
324	geography	Tenpestadi, lokalizadu serka di 3.000 milhas di Miami, Florida, ten bentu sustentadu másimu di 40 mph (64 kph).
15	business	“Papeladas di Panama” é un termu pa serka di dés milhon di dukumentu di enpreza di adivokasia di Panama Mossack Fonseca, ki kai na mon di inprensa na primavera di 2016.
13	sports	Nadal akumula 88% di pontus líkidu na jogu, ganhandu 76 pontus na priméru sirvisu.
1276	crime	Nomi di kes arguídu é Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar y Vishnu Kanjar.
37	entertainment	Kel show di PBS ten más di dôs duzia di prémius Emmy, y se durason é más kurtu di ki Sesame Street y Mister Rogers' Neighborhood.
1192	health	Futógrafu lebadu pa Sentru Médiku Ronald Reagan UCLA, undi ki el falese dipôs.
1239	entertainment	“El é mutu bunita y tanbê el ta kanta mutu dretu, el fla”, di akordu ku un transkrison di konferénsia di inpresa.
373	science	Modi ki gravidadi di lo ta puxa-N? Si bu staba sakedu na superfisi di Io, bu ta pezaba ménus di ki sima bu ta peza na Téra.
42	disasters	Kel tenpestadi situa serka di 645 milhas (1040 km) a oesti di ilhas di Kabu Verdi, é provável el dizaparese antis di amiasa kualker ária terestri, kes meteorolojista fla.
1780	travel	Ta fazedu txeu viajen pa risifi duranti anu interu, y lizons pamodi un kualker des kauzas na risifi é raru.
533	sports	Kel jogu ta jugadu na relva, y kel relva a volta di braku é kortadu más baxu y txomadu di verdi.
167	politics	Kel ataki poi un grandi tenson na rilason entri Índia y Pakiston.
57	crime	Di acordu ku Ansa, “pulísia staba priokupadu ku alguns golpis di altu nível ki es tinha medu ma pudia dizenkadia un géra di suseson total.
1264	politics	Huhne dja dimiti y el ta ser substituídu na Gabineti pa Diputadu Ed Davey. Ta speradu pa diputadu Norman Lamb pa aseita kargu di Ministru di Enprezas ki Davey sa ta dizokupa.
460	entertainment	Maioria di tilivizon é fetu di un forma pa agrada públiku en jeral.
1911	education	Kel-li é spesialmenti popular entri kes ki ta larga skola, u ki ta permiti-s tra un anu antis di universidadi, sen konprometi ses ensinu.
1631	religion	Tudu sidadon di Sidadi di Vatikanu é Katólikus Romanu.
1997	religion	Klaru ki izisti splikason tiolójiku Kriston pa es tradison, mas pode mutu ben ser un ritual pré-Kriston di Primavera y Fertilidadi.
142	sports	Disizon di NBA tomadu dipôs ki un jugador di Utah Jazz testa puzitivu pa vírus di COVID-19.
197	health	Stadu di prizidenti é istável, enbora el ta fika izuladu na kaza duranti txeu dia.
107	geography	Oras ki kápsula txiga na Téra y entra na atmusféra, dentu di 5 ora di madrugada (ora di lesti), ta speradu ma el ta da un bon spetákulu di lus pa gentis di Norti di Kalifórnia, Oregon, Nevada, y Utah.
