index_id	category	text
797	technology	Kud tellit urdinatur miɣ atablit, yessuf ad Teǧǧet ilkaḍen-nek dar-s. miɣ daɣ isekta wi haḍen.
830	travel	Daɣ cross-border trains wiyuḍ taǧen assefyka daɣ iyen daɣ running train, d yewarkai as tellid ID yeẓallen daɣ as taɣred iyen daɣ trains wiyaɣ.
150	business	Taqqemt tan Richrd Branson tǝja addabara s tunjăy bank data as tat ermas alxăkum.
1806	travel	Haret n axuten cunt amdaɣ d ilu war uksaḍen tureft, tuhaẓen d-es hullan , teddubit ad tecwaḍd daɣ-s miɣ a ten-tessiwired.
902	disasters	Tornado enta as adhou Wa yeghllayen dagh pressure ifnaz'en n air, Wa yjjabbaden air har ammas d afella.
1225	sports	Del potro ǝjraw tinfa tazzărat daɣ azzoj wan ǝssǝn mušam awen ǝlzam azoj aziyăran darat as ewad 6-6.
1342	science	Bwason wan šu ǝsǝmutti dumu net daɣ lăkkumăt n ǝmmǝk wa dar olăh asid net (alkaline).
1959	nature	Afarǧ wan plitivitc n akal iḍnay icekrac, s amek mequren iheckan win tebarakatin d heckan wi mequrnin ,temus daɣ ayertayen deɣ heckan win sulan win alb d aǧariw wa melan n ammas.
341	business	"Daɣ akayad n talɣa tan măsruf, Zapatero okay asiwil har allăɣat as ""sistem wan măsruf amos ăšrut assohen n aqtisăd."
352	science	Eses n ănmidăs ǝtaj alwaq wa ǝd molekil wǝ fal arori n aman ǝknan anǝrkab jǝr ǝman nasan ojarăn wan molekil tan n adu fal asan.
448	nature	Ak awatay deɣ Tallit n Uktubar 1.5 n lmelyun n ăddunet ǝkănnen ǝferǧăn takken s ǝdagăn n aǧus ḍeffer ma uyen ǝdrăren n afella, ukayen ful tǝɣezziwin Mara, eǧmăyen aǧenna.
386	politics	Amnukăl Sejong yemus ămnukăl wan ekkuẓ daɣ tămnukla tan Joseon d wa ytiwazzăyen hullan.
1438	religion	Alxakum wan ammas n egliz Roma s kala tat eha har efad n awatay tolas tidawt n tanaya d azruf eraw id s addinat ajjotnen asistan n as kud inta ijja asitbat i tisittaɣhal net.
394	politics	"Bucan ămnukal Navy ugăr ǝmăknassen n Germany daɣ esṣăhet(""Kriegsmarine"") d yeddubbet ad ǝreẓẓa ǝtilla attǝyăra tan fuk n tădlemt siwăynin ser English Channel."
1977	education	Amun daɣ as telmade tawalt tan temalagasin , ahak dirɣas ad telmeded tawalt tan alburtuɣal.
1719	nature	Tseɣsert n Kruger(KNP)deɣ fuy brin aɣaḍel n tafuk deɣ anahul n afara wa ful yerkeb deɣ igananaten n Mozambique deɣ atkul n tafuk, d Zimbabwe brin fuy, d agananaten n anahul nta as asif n aɣucaf.
29	crime	Tăkărmut tan Abu Ghraib daɣ Iraq ǝjan daɣ s addinat efew daɣ šăɣab.
845	entertainment	Amarad daɣ allant sesanǧalen win grafiti, d ameken win Afanaɣ fel elxeyaḍen ti alkemnin yelqanun , deɣ aǧut nesnet lakemnet yektab fel elxeyaḍ deɣ awin isesnǧilen wi ahusktnin, ufen harten wi wer in anfalel.
165	crime	Inădlamăn win Mumbai osan ǝd dǝhen ašal wan 26 daɣ ayor wan Nufimbar 2008, ewayan grenat tan, albărodan tolas ijan ǝɣăšodan ăjotnen eha wan stayon n abarid wan Chhatrapati Shivaji d Otel wan Taj Mahal.
261	business	Nigeria tăllaɣat as tǝja addabara wan ujiš n AfCFTA daɣ issiboɣ id daɣ tazzar s taɣaymit.
531	sports	Mraw d tam n anabag yellan deɣ addal waɣ. ad ntun deɣ wazzaren wa ad smendun deɣ wan mraw d tam.
1599	nature	Abeddel yeddubi ad yell haret n tigawin war ulin ilmend n tawsit n ameskel, tixutert n tafult n ADN iɣhan, kud isan wi iɣhan antani isan wi n twekki.
428	geography	Akal wan Turkey ila ayǧen n 1,600 n kilumitr (1,000 mi) deɣ tibeddi d 800 n kilometir (500 mi) deɣ tilewwit, d tăɣessa rektangil.
1206	health	Hamilton asudăttăt as lăɣtor wan Iniversite tan Howard tijrăw alăfu ǝ-ămirhăn.
277	politics	Guverner n Massachusetts wan aru, Mitt Romney ǝnjax ašal wan Altanata wote n Parti Repibliken daɣ Florda s 46 n wote daɣ temede.
2	disasters	JAS 39C Gripen aftăqqat daɣ abara edes n alwaq n addawla wan 9:30 s tifăwt awen amos (0230 UTC) tolas tăbuqqat edes n eɣărɣar n torfen n ǝšǝnnăwan.
719	geography	Jămăhiriya tan duminik (Spania:República Dominicana) tǝmus ăkăl wan kărăyǝb tan s ǝntăned a eṭṭăf-nǝn ăɣǝl wan ăǧămuḍ n tăfukt n ăkăl wan Hispaniola, tăt ăẓunăn d Haiti
324	geography	Tadut hat ǝddikod n 3,000 n kilometir ǝ- Miami, Florida, tila tamadalt n har 40mph (64kph).
15	business	"""Panama Papers"" amos ǝsim n milyon n tǝmǝrwen n ǝlkădan daɣ ăššăreɣa wan Panama Mossack Fonseca, ǝd ǝzjărnen daɣ addinat wǝn ǝsălan daɣ tăjrǝst tan 2016."
