index_id	category	text
797	technology	Ni o veitosoyaki voli ena nomu laptop se tablet, maroya kina e dua na kena ilavelave (o rawa ni rai kina ke o sega ni sema rawa ina veilawa).
830	travel	Ena so na tereni e takosova na iyala ni so na vanua, ena dau caka na veidikevi ena loma ni tereni qai vinakati mo kauta tiko e dua nomu ID ni o vodo tiko ena dua vei ira na tereni qori.
150	business	Sega ni vakadonui na nodratou vinakata nai Lawalawa ni Sir Richard Branson Virgin ni se bera ni mai taukena na matanitu.
1806	travel	Eso na manumanu me vaka a Elefaniti kei na Giraffe, era dau gole volekata mai na motoka, ke tiko gona e dua na ka ni vakadodorairai era rawa ni laurai vinaka.
902	disasters	E kaukauwa sara na cagi maliwa ni covulaca, e dau domica cake gona i macawa na ka e toka e matana.
1225	sports	E mai liu ena ikarua ni wasewase ni qito o Del Potro, ia, erau gadreva me wasei na kai ni rau sa mai tautauvata tu ena 6-6.
1342	science	E veisau na roka ni waini kaveti ka vakatau ena ivakatagedegede ni acidi se basic (alkaline).
1959	nature	E vanua veikau ena Drano ni sarasara mai Plitvice, e levu kina na vunikau na beech, spruce kei na fir, e tu ruarua tale ga kina na kau e bula ena vanua batabata kei na vanua vaka Mediterranean.
341	business	"Me vaka e yaco tiko ena ituvaki vakailavo e vuravura, e kaya o Zapatero ni ""tiki bibi ni bula ni ituvatuva vakailavo."
352	science	E yaco na kaukauwa e tiko e delana baleta na wai e tiko e dela ni wai e dreta kaukauwa mai ni vakatauvatani ena cagi ka tiko e delana.
448	nature	Na veiyabaki ni sa roro mai na vula o Okotova, volekata e 1.5 na milioni na manumanu e kania na vunikau e mua ki na vanua e ra, takosovi na Uciwai Mara mai na delana ena vualiku me ra lakova mai na uca.
386	politics	Na Tui o Sejong e ka va ni Tui ena matanitu o Joseon ka dua vei ira e dokai sara vakalevu.
1438	religion	Na veiliutaki taudonu ni lotu e a tiko mai Roma ena loma ni dua na udolu na yabaki, ka vakavuna na vakataudonutaki ni kaukauwa oqo kei na ilavo e oka kina mera vakataroga e lewe vuqa na kena sotavi na vakasama ni vakavuvuli oqo.
394	politics	E kaukauwa cake na Mataivalu e wai ni Ranadi mai vei ira Mataivalu e wai ni Jamani (“Kriegsmarine”) ka rawa me ra ravuta na waqa lelevu era takosova na iyalayala kei Igiladi.
1977	education	Ke kila gona na vosa e vu mai na vosa vaka Latina, ena rawarawa mo vulica na vosa vaka Potukali.
1719	nature	Na vanua ni sarasara na Kruger National Park (KNP) e toka ena vuaira kei Sauca Aferika qai toka sara ga ena iyala ni vanua o Mozambique ena tokalau, Zimbabwe ena vualiku, kei na iyala ni vanua ena ceva e tiko kina na Crocodile River.
29	crime	Na valeniveivesu na Abu Gharaib e Iraki e vakamai ena dua na vakacaca mai vei ira na daubasulawa.
845	entertainment	Ia ena gauna qo sa tiko o ira na rogo ena buturara ni droini, e dau caka na soqo ni graffiti kei na vola ni lalaga e “vakadonui vakalawa”. Na iboro ni graffiti ena ituvaki qo e vakaibalebaleta ka na droini se yaloyalo se ni dua na ga na ivakatakilakila ni basulawa.
165	crime	Era yaco mai na dauvakacaca ni Mumbai ena waqa ena ika 26 ni Noveba, 2008, ka kauta tiko mai kei ira na gasau kuru e vanua, na iyaragi ni valu ka cakacaka vakataki koya ka qai vanavana tu ena vica vata na vanua ka oka kina na siteseni ni sitima ni vanua osooso na Chhatrapati Shivaji Terminus kei na Otela kilai levu na Taj Mahal.
261	business	E mai vakaraitaka na matanitu o Naijiria ni sa tuva tiko me lewena na AfCFTA ena macawa sa voleka tiko ki na bose cokovata.
531	sports	Me na sagai ena dua na qito me vakacurumi na polo ena 18 na qara, tekivu mai na kena imatai me lai cava sara ena kena iotioti.
1599	nature	E levu na ka e dau yaco ni veisau e dua na ka, qori ena dau vakatau ena veisau. Na veika bibi e vauca na itukuku ni kawa kei na kena veisau se sega na sela ni vakatubukawa.
428	geography	Na iyalayala nei Turkey e sivia e 1,600 kilomita (1,000 maile) na kena balavu ka 800 na km (500 maile) na kena raba, vatuka vaka na rectangle.
1206	health	E vakadeitaka o Hamilton ni a curu ki na Valenibula e Howard Univesiti ka se vakilai koya tiko na tamata oya.
277	politics	Na kovana vakacegu e Massachussetts o Mitt Romney e winitaka na veisisivitaki ni veidigidigi taumada ni itutu vaka peresitedi ena Soqosoqo ni Republican e Florida ena Tusiti ena 46 na pasede na veidigidigi.
2	disasters	Na waqavuka na JAS 39C Gripen e voca ena rara ni waqavuka ena 9:30 na mataka (0230 UTC) ka kabacabote, mai sogo kina na rara ni waqavuka ka sega ni ro rawa mai na waqavuka usa pasidia eso.
719	geography	Na Dominican Republic (Spanish: República Dominicana) e dua na matanitu mai na Keribia ka tiko ena babatokalau ni yanuyanu o Isepaniolo, ka rau wasea vata kei Haiti.
324	geography	Na cagilaba, e laurai ena 3,000 na maile mai Miami, Florida, ka tubu tiko na cagi ki na 40mph (64kph).
15	business	"""Panama Papers""e dua na vosa e vakatokai ki na milioni vakacaca na ivola tukutuku mai na valenivolavola ni Mossack Fonseca, e Panama, ka soli vakailowa ki na tabana ni volaitukutuku ena 2016."
13	sports	Mai rawata o Nadal e 88% na kai ena qito ka wini taka e 76 na poidi ena imatai ni rauni.
1276	crime	Na yacadratou na beitaki o Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar kei Vishnu Kanjar.
37	entertainment	Na PBS show e winitaka e rua na daseni na isausau na Emmy awards, e dina ga ni a qai tekivu muri mai vei na Sesame Street kei na Mister Roger’s Neighborhood.
1192	health	Qai usa o dauniveitaba ki na Valenibula na Ronald Reagan UCLA, ka qai mate kina.
1239	entertainment	"""Sa totoka dina na kena irairai ka dau lagasere talega,"" e kaya o koya me vaka e tukuni ena ivolawiliki ni tukutuku kaburaki."
373	science	E na dreti iko vakacava na idre ni qele? Kevaka mo tucake ena qeteqete kei lo, na kemu bibi ena lailai cake mai na kemu bibi e vuravura.
42	disasters	Tekivu mai na cava, ni rauta e 645 na maile (1040 km) ena ra kei na yanuyanu o Cape Verde, sa na yali yani ni se bera ni yaco ki vanua, era kaya na daunidraki.
1780	travel	Ena veiyabaki taucoko e levu era dau gole ena cakau, ia e sega ni levu era mavoa mai kina.
533	sports	Ena caka na qito ena dela ni veico e koti vakalekaleka qai dau vakatokai me green se drokadroka.
167	politics	Na ravuravu oqo e vakavuna na kena mai luluqa sra na isema ni veiwekani vei Idia kei Pakisitani.
57	crime	"Me vaka e tukuna o Ansa, ""era leqataka na ovisa ena so na vakaduiduile ena vakatagedegede e cake ka na rawa ni vakavuna na ivalu ni rawaka levu."
