index_id	category	text
431	geography	Tres de los lados de Turquía están rodados por mares: el oeste, por el Mar Egeo; el norte, por el Mar Negro y el sur, por el Mediterráneo.
403	science/technology	Al comienzo de la guerra, viajaban principalmente sobre el nivel del mar, pero, a medida que se desarrollaron los radares y adquirieron mayor precisión, los submarinos se vieron forzados a sumergirse para evitar ser detectados.
1592	science/technology	A medida que el dominio del idioma griego fue decayendo, Occidente se distanció de sus raíces griegas tanto filosóficas como científicas.
993	entertainment	De todas formas, su belleza y encanto en época invernal son especiales, con un gran número de estaciones de montaña en las que nieva en cantidades provechosas, posibilitando la práctica de deportes como el esquí y tabla nieve.
755	entertainment	En estos hoteles se hospedaban los ricos y famosos del momento y, con frecuencia, disfrutaban de buenas cenas y vida nocturna.
1936	politics	En 1994, este conflicto condujo a la formación de la autoproclamada República de Transnistria, al este de Moldavia, que cuenta con gobierno y moneda propios, pero que ningún estado miembro de la ONU reconoce.
1205	health	Según Danielle Lantagne, especialista en la enfermedad que trabaja para la ONU, es probable que el brote haya sido provocado por las fuerzas de paz.
1692	geography	Las grandes áreas más hacia el norte están poco pobladas y algunas son tierras silvestres, casi inhabitadas.
280	politics	Quienes organizaron la manifestación afirmaron que cerca de 100 000 personas participaron en ciudades de Alemania como Berlín, Colonia, Hamburgo y Hannover.
247	politics	Estos funcionarios tienen el deber de proveer servicios gubernamentales y judiciales a tenor de lo dispuesto por el artículo 247 de la Constitución paquistaní.
1439	politics	Al poco tiempo de desatarse las hostilidades, los británicos comenzaron un bloqueo naval a Alemania.
1239	entertainment	Según una transcripción de la rueda de prensa, él dijo «que ella era muy bonita y que, además, cantaba bastante bien».
743	geography	Aunque no cuentan con ciudades, las Islas Cook están formadas por 15 islas. Las más importantes son Rarotonga y Aitutaki.
18	politics	Se llevaron a cabo manifestaciones a nivel mundial, se condujeron numerosos juicios criminales, y los jefes de estado tanto de Islandia como de Pakistán renunciaron.
1344	science/technology	Los átomos de hidrógeno están formados por un protón y un electrón. Por ello, un ion de hidrógeno es el resultado de despojar a un protón de su electrón.
688	travel	Para los visitantes con poco tiempo sería conveniente que lo invirtieran en otro lugar.
556	science/technology	El átomo puede ser considerado como una de las piedras angulares para la construcción toda la materia.
1645	science/technology	Es similar a lo que sucede al rodar un carro pesado en ascenso por una colina. Al dividir el núcleo una vez más, libera parte de esa energía.
907	science/technology	Por lo general, brindan mayor ancho de banda y mejor calidad de servicio. Están encriptados y, gracias a ello, es más complicado hackearlos.
1071	politics	Sin embargo, el primer ministro John Howard afirmó que el único objetivo de la ley fue proteger las instalaciones del hospital de la degradación por parte del gobierno de Tasmania, al otorgar 45 millones de dólares australianos adicionales.
555	sports	Los atletas pueden sentir que prefieren un producto, aun cuando no le proporcione beneficios verdaderos.
1203	health	Previo al arribo de las fuerzas de paz, Haití no había enfrentado problemas asociados a la enfermedad desde el siglo XIX.
58	politics	La policía expresó que Lo Piccolo corría con ventaja, ya que había sido el hombre de confianza de Provenzano en Palermo y su gran experiencia le permitió ganar el respeto de la generación previa de jefes ya que éstos seguían la política de Provenzano de mantener un perfil tan bajo como fuera posible mientras que fortalecían su red de poder.
1764	travel	Asimismo, recuerde que los olores atraen a los osos y a otros animales salvajes, por lo que debe evitar tener o cocinar alimentos que liberen mucho aroma y mantenga la limpieza en el campamento.
195	sports	Massa debe estar fuera durante al menos lo que resta de la temporada 2009.
1785	travel	La reserva de alojamiento con antelación al viaje le brinda la tranquilidad de que tendrá un lugar en donde dormir cuando arribe a su destino.
600	science/technology	Los elementos y compuestos son capaces de cambiar de estado sin sufrir alteraciones.
553	sports	La carrera de distancia media es un deporte relativamente económico; no obstante, existen muchos conceptos erróneos en relación con los pocos equipamientos requeridos para participar.
1720	geography	El parque tiene una superficie de 19 500 km2 y se encuentra dividido en 14 ecozonas distintas, en cada una de las cuales se desarrolla una vida silvestre diferente.
1622	geography	El río Amazonas es el más caudaloso y el segundo más extenso del planeta. Contiene 8 veces más agua que el río que le sigue en tamaño.
1441	politics	Gran Bretaña extrajo aguas internacionales en sectores completos del océano para bloquear el ingreso de los barcos, poniendo en riesgo, incluso, a embarcaciones neutrales.
566	health	La vista, o la capacidad de ver, está a cargo de los órganos sensoriales (ojos) del sistema visual.
1515	science/technology	Los distintos rasgos que presenta la Internet abren paso a nuevas dimensiones desde la perspectiva del concepto de usos y recompensas.
585	science/technology	Sin embargo, los primeros verdaderos telescopios se desarrollaron en Europa, a fines del siglo XVI.
1689	geography	Ottawa es la cautivadora capital bilingüe de Canadá y cuenta con una variedad de museos y galerías de arte que exhiben la historia y la actualidad del país.
1256	health	Al ser comparados a través del uso de la espectroscopia infrarroja (FTIR), pudo determinarse que la composición de los cristales coincide con la encontrada en la orina de las mascotas afectadas.
60	science/technology	Al subir a escenario, el director ejecutivo de Apple, Steve Jobs, presentó el dispositivo sacando el IPhone del bolsillo de su bluyín.
32	sports	Cuando los automóviles delante de Alonso se detuvieron para recargar combustible durante la pasada del coche de seguridad, él aumentó los cambios para obtener la victoria.
1411	politics	Durante la Guerra de la Revolución, los trece estados formaron, en un principio, un gobierno central endeble bajo los Artículos de la Confederación, en el que el congreso era su único componente.
13	sports	En el partido, Nadal acumuló un 88% de puntos netos y ganó 76 en el primer servicio.
1941	travel	Tanto los extensos bulevares como las edificaciones con frentes espejados y los centros comerciales vanguardistas están salpicados por techos de tejas rojas tradicionales, del mercado del siglo XVIII y de las antiguas mezquitas e iglesias. Aun así, su ambiente se asemeja más al de la Europa mediterránea que al de la Turquía tradicional.
732	sports	Whistler, que se encuentra a una hora y media en automóvil desde Vancouver, es costosa pero conocida por los Juegos Olímpicos de Invierno de 2010.
871	entertainment	Colme su hogar con un exquisito café en la mañana y con un relajante té de manzanilla en la noche.
886	geography	La Antártida es el sitio de menor temperatura del planeta y rodea al Polo Sur.
362	science/technology	Tras funcionar por cientos de horas, el filamento en el foco eventualmente se quema y esta deja de funcionar.
1578	health	Lea la etiqueta para contar con información específica sobre los primeros auxilios pertinentes para ese veneno específico.
996	travel	En todos los casos, usted tiene que hacer la reserva telefónicamente y en forma directa con la aerolínea.
197	health	El presidente se encuentra estable, aunque permanecerá aislado en su casa por varios días.
460	entertainment	El diseño de la mayoría de las televisiones tiene como objetivo complacer al público general.
