index_id	category	text
797	technology	Eger hûn bi laptopê yan tabletê digerin, kopîyeke wê di bîra wê yan dîska wê de veşêrin (bêyî hebûna înternetê dikare bê gihîştinê).
830	travel	Di hinek trênên derdikevin derveyî welêt de kontrol di trêna diçe de çêdibe, û gava mirov bikeve van trênan, divê mirov îqameya xwe ya derbas dibe bi xwe re bîne.
150	business	Koma Virgin a Sir Richard Bransonî pêşnîyarekê da bankeyê ku hat redkirin berî dewletîkirina bankeyê.
1806	travel	Meyla hin gîyanewerên wek fîl û zurafayan ji bo ji nêz ve nêzîkbûna tirimpêlan heye û alavên standar dîmengirîya baş peyder dike.
902	disasters	Babelîsk stûneka zivîronek a hewaya gelek kêm-fişar e, ku ew hewaya derdora xwe dimije ber bi hundir û jor ve.
1225	sports	Del Potro di setan didiyan de xwedîyê avantejeke baş bû lê ev jî piştî ku gihîşt 6-6-an, jê re bêhnvedaneke qeytanê vêya.
1342	science	Ava kelemê reng diguherîne li gor kîmyayî çi çend asîdîk yan bazîk (alkalî) e.
1959	nature	Parka neteweyî ya Golên Plitvice-ê, daristineke xwe heye ku ew bi pirranî ji darên hûş, ladîn û fîrê yên himbiz e û terkîbeke zemîna gîyayî ya Alpîn û Deryaya Sipî ye.
341	business	"Li ser rewşa pereyî ya gerdûnî, Zapatero hê jî gotina xwe dewam dike ""sîstema pereyî perçeyekî aborîyê ye, perçeyekî giring."
352	science	Tengijîna zemînê, gava ku molekulên ser rûyê avê, ji molekulên hewayê yên ser xwe bêtir ber bi hev ve tên kişandin peder dibe.
448	nature	Her sal di Cotmehê de bi qasî 1.5 mîlyon giyaxwir li wargehên başêr digerin û ji aliyê girên bakur ve ji ber baranê ji Çemê Mara derbas dibin.
386	politics	Şah Sejong sêyemîn şahê Xanedan Joseon bû û yek ji wanên herî ecîbandî ye.
1438	religion	Desthilata navendî ya dêrê bêtirî hezar salan e li Romayê ye û li yek cîhî berhevbûna hêzê û pereyî bi vî awayî, bûye sebebê pirsa ku gelek kes a rastî vê bawerîyê bi cîh tînin yan naynin.
394	politics	"Lê Sepeya Leşkerî ya Deryayî ya Qiralîyetê hê jî ji Sepeya Leşkerî ya Deryayî ya Elman (""Kriegsmarine"") gelek bihêztir bû û karibû her fîloyeke îstîlayê ya ji ser Coya Îngilîz şandî tune bikira."
1977	education	Ne hêjayî gotinê ye, eger hûn bi zimanî Romans zanibin, hînbûna Portekîzî hêsantir dibe.
1719	nature	Parka Neteweyî ya Kruger (KNP) li bakurê rojavayê Efrîqaya Başûr e û li rojhilat seranserê sînorê Mozambîkê, li bakur ê Zîmbabweyê diçe û sînorê başûr Çemê Krokodîl e.
29	crime	Girtîgeha Abu Ghraib a Îraqê di dema serhildanekê de hatiye şewitandin.
845	entertainment	"Wekî din van rojan hunermendên grafîtiyê, çalakiyên grafîtiyê û dîwarên ""legal"" hene. Boyaxkirinên grafîtiyê di vê çarçoweyê de dişibin berhemên hunerî yên nayên xwendin."
165	crime	Êrîşkarên Mumbaîyê di 26ê çirîya paşîn a 2008an de bi kelekê bombeyên destan, çekên otomatîk anîn û tevlî îstasyona trênê Chhatrapati Shivaji Terminus û Otêla Taj Mahalê ya navdar jî, li çendîn hedefan xistin.
261	business	Nîjerya berê ragihandibû, ku ew ê di hefteya beriya komcivîna AfCFTA de tev lê bibin.
531	sports	Hijdeh qul di her çerxa ji rêzê de tên lîstin, ku lîstikvan piranî bi qula pêşî ya qadê dest pê dikin û bi ya hijdehan dawî dikin.
1599	nature	Li gora cûrê mûtasyonê, giringîya materyalê genetîk ê tesîrdîtî hebûn û nebûna torên germ ên hicreyan dibe gelek bandorên cuda yên mûtasyonê hebin.
428	geography	Axa Tirkîyeyê ji 1.600 kîlometreyan (1000 mi) dirêjtir e û 800 km (500 mi) firehbûna wê ye û kêm zêde bi şiklê çargoşeyan e.
1206	health	Hamilton erê kir, ku Nexweşxaneya Zanîngeha Howardê nexweşî di rewşeke baş de pêşwazî kir.
277	politics	Parêzgarê berê yê Massachusetts-ê Mitt Romney roja sêşemê bi zêdetir ji sedî 46ê dengan hilbijartina serokkomariyê ya sereke ya Partiya Komarparêz li Florida qezenc kir.
2	disasters	JAS 39C Gripen bi saeta herêmî di 9:30yê sipêdeyê de (0230 UTC) li pîstekê qelibî û teqîya, firokxaneyê ji firên bazirganîyê re girt.
719	geography	Komara Domînîk (Bi îspanî: República Dominicana) yek ji welatên Karayîbê ye ku nîvê rojhilatê girava Hîspanîola ya bi Haîtîyê re par dike digire.
324	geography	Bayê ku bi qasî 3,000 mîl ji Miamaiya Floridayê dûr, xwedî hêza bayê ya 40 mph (64 kmph) ye.
15	business	"Belgeyên Panama"" termek sîwan e ji bo nêzîkî deh mîlyon belge yên ji pargîdaniya hiqûqê ya Panamayî Mossack Fonseca yên di bihara 2016-an de ji bo çapemeniyê hatin çorîn."
13	sports	Nadal di maçê de 88% ji pûanên safî girtin û di serî de bi 76 pûanan qezenc kir.
1276	crime	Navên tawanbaran pêk tê ji Baba Kancar, Bhusa Kancar, Rampro Kancar, Gaza Kancar û Visçinu Kancar.
37	entertainment	Rêzefîlma PBSê bêtirî du duzîne xelatên Emmy-yê sitandin û dema weşanê bi tenê ji Sesame Street-ê û Mister Rogers' Neighborhood-ê kintir e.
1192	health	Fotografkêş, hat veguhestin Navenda Tibbê ya Ronald Reagan UCLAyê ku paşê li wê mir.
1239	entertainment	"Li gora transkrîpsîyoneke kombûna çapemenîyê wî gotiye ""ew a han pirr şêrîn e û gelek jî delal disitire."""
373	science	Kişîna erdê min çawa dikişîne? Eger hûn li ser zemîna Io-yê bisekinin, hûn ê ji Dinyayê kêmtir giran bin.
42	disasters	Texmînkir dibêjin bahoza li nêzî 645 mîlan (1040 km.) rojavayê giravên Cape Verdeyê ye, berî ku gef li tu cîheke bejî bixwe dibe belav bibe.
1780	travel	Di seranserê salê de gelek geştê resîfan tên kirin û ji ber her çi sebebekî ji van ê li ser resîfê, birîndarbûn gelek kêm e.
533	sports	Lîstik li ser çîmenan tê lîstin û giyayên dora qulê tên qusandin û wekî kes bi nav dikin.
167	politics	Êrîş, barekî giran danî ser têkilîyên nava Hindistan û Pakistanê.
57	crime	"Li gora Ansayê, ""polîs, bifikar bû li ser pevçûnên çen alî di astên bilind da ditirsiyan şereke rastî ya çêgiriyê biafirîne."""
1264	politics	Huhne xwe paş ve kişandiye û parlementerekî din dê di kabîneya Ed Davey de cihê wî bigire. Xuya ye parlementer Norman Lamb dê bibe wezîrê aboriyê, ku Davey jê îstîfa kiriye.
460	entertainment	Piranîya têlevizyonan bi awayê ku xelq bi gelemperî pê qayîl bin tên çêkirin.
1911	education	Ev, nexasim di nava yên dev ji xwandingehê berdayî de nas e û bêyî kêmkirina ji hînbûnê destûra wan tê dayîn ku berî salekê ji unîversîteyê derkevin derve.
1631	religion	Tevahiya hemwelatiyên Bajarê Vatîkanê katolîk in.
1997	religion	Ji bo vê 'adetê helbet ravekirinên dînî yên Filehtîyê hene, lê berî Filehtîyê jî dibe merasimeke Bihar û Zayokîyê hebe.
142	sports	Biryara NBA ya piştî pozîtîf derketina testa vîrûsa COVID-19 ya lîstikvanê Utah Jazz-ê bû.
197	health	Rewşa serokî sabît e, lê belê ew ê li malê ji bo çend rojan were îzolekirin.
107	geography	Gava kapsul bigihîje Dinyayê û bikeve atmosferê, li dora hema 5-ê sipêdeyê (dema rojhilatî) hîvî ew e ku xelqên Bakurê Kalîfornîyayê, Oregonê, Nevadayê û Utahê nîşandaneke piçûk a ronahîyê bikin.
295	health	Helîkopteran dozdeh xebatkarên balafirê rizgar kirin û tenê kesek bi pozê xwe birîndar bû.
342	business	"em krîzeke pereyî ya yek sal dirêj dibuhurînin ku di nava du mehên paşîn de a herî mayînde bû û bi a min vêga piyaseyên pereyî bi xwe ve tên."""
365	technology	Sebebê vê ew e ku elektrîka diherike soketa ku beşa metalîk a ampûlê lê rûdinê, eger hûn dema ku ampûl hê di mala xwe de be dest bidin binê wê yê metal yan cihê hundirî yê sokêtê dibe cereyan bi awayekî ciddî bi we ve bigire.
268	crime	Ev cara yekemîn e, ku cezayek ji ber qanûneke di 2003-an de ketiye meriyetê, tê dan, da ku pêşî li belavkirina e-mailên beredayî were girtin, ango wekî spaman.
426	education	Cahrles yekemîn endamê Malbata Şahîniya Brîtanî bû ku diplomayek wergirt.
1379	science	Çeneyên wan bi 70 diranên tûj ên wekî birrekan, digel serbaneke ekstra li devê wan de, wisa diyar dikir ku tu xelasbûna tişteke jê biqelibe tune.
135	nature	Faktorên siruştî dikarin bikelişin da ku mercên mengî peyda bikin, û rê didin hejmara vê kevza behrê pir zêde bibe.
1437	religion	Yek ji bingehîn mesîhiyê ew e, ku divê dewlemendî ji bo kêmkirina êş û xizaniyê were xerckirin û pereyên dêrê jî bi taybet ji bo vê sedemê ne.
1687	education	Blogging alaveke ku hevkariya di navbera xwendekaran de palpişt dike û cesaretê dide wan ku piştî perwerdayîya rojane piroseya hînbûnê ya xwendekaran berdevam bike.
1166	entertainment	"Di sîteya înternetê ya îstasyonê de wek ""tîyatroya radyoyê ya kevn a vegereke bi harîtî û nû!"" tê binav kirin."
1111	health	Şofê teşwîqa hikûmeta Hindistanê kir ku ew li herêmên bandordîtî rêli bergirtinên wekî bi awayekî ciddî nêçîrvanên berazan bi cîh bikin, bi hezaran perdeyên kelmêşan belav bikin û jehrên kêzikan bireşînin.
720	geography	Tevlî beravên sîlika sipî û dîmenên çîyayî, welat, wargehê bajarê Ewropayê ya herî kevn ê li Emerikayê ye ku niha  perçeyekî Santo Domîngoyê ye.
1943	religion	Li hewşa dêrê, li ser hin tirban, heykelên balkêş ên kevokan hene.
1036	travel	Gava gera xwe dikir, serê lwasakîyê di gelek rewşan de ket belayê.
248	disasters	Mekkeya bajarê pîroz ê Îslamê bi dema herêmî vê sipêdeyê saet di 10-an de hostelek pelişî.
111	technology	"Tom Duxbury, rêvebirê projeya Starurdust-ê got, ""Ew ê li berava rojavayê Kalîforniya ya bakur here û ji Kalîforniya ber bi Oregona navîn û Nevada û heta nava Idaho dê asîman ronahî bike."""
665	travel	"Serdana ""tîpîk"" tê de firîna li Balafirgeha Navneteweyî ya Orlando'yê, rêwîtiyeke otobusê bo otêleke Disney'ê, derbas kirina nêzîkî hefteyekê bi mercê derneketina ji milkê Disney'ê, û vegerina malê heye."
1241	technology	3 deqîqe piştî rabûnê, kamerayeke di cîh de nîşan da ku çendîn perçeyên dûrkirinê yên bermîla ardûyê qetîyane.
1428	technology	Ev ê hêj îro were çêkirin, lê belê jê girîngtir, derdorên wêneyê bi riya formata wêneyan ya kameraya dîjîtal hatiye çê kirin.
643	education	Xwendekar, di şûna ku di heman demê de ji mamosteyan di her çi dema rojê de pirsan bikin û careke din li hêvîya rûbirûmayînê bimînin, dixwazin zûzûka bersivan bistînin.
637	science	Piştî çar salan patentek hat dayîn ku ew patentê pêşîn ê dinyayê bû ku li ser mijara MRI-ê dihat dayîn.
1280	disasters	Rêya ku qeza lê qewimî bi awayê demkî hat girtin, xizmeta awarte ajovanî ji Audi TT-ya sor xelas kir.
