	index_id	category	text	gpt-4
0	1523	science/technology	Mutācija pievieno jaunu ģenētisko variāciju, bet atlase to noņem no izteiktās variācijas kopuma.	This piece of news is regarding science/technology.
1	1644	science/technology	Atombumba darbojas pēc principa, ka ir vajadzīga enerģija, lai saliktu kodolu ar daudziem protoniem un neitroniem.	This piece of news is regarding science/technology.
2	558	science/technology	Kodols sastāv no divām daļiņām - neitroniem un protoniem.	"This news piece seems to be related to ""Science/Technology"" as it discusses elements of atomic structure."
3	456	science/technology	Tas ļāva tālummaiņas objektīviem radīt tādas kvalitātes attēlus, kas ir līdzvērtīgi tiem, ko nodrošina objektīvi ar noteiktu fokusa attālumu.	"This text appears to be in Latvian and seems to be discussing something related to the quality of images produced by certain types of lenses. This could potentially fall under the category of ""science/technology."" However, without more context, it's difficult to categorize definitively."
4	906	science/technology	Tie ir pirmšķirīgāki par tīmekļa starpniekserveriem vairāku iemeslu dēļ: tie maina visu interneta trafiku, ne tikai http.	"This piece of news seems to be related to ""Science/Technology"", as it discusses internet traffic and web intermediaries, which are technological topics."
5	452	science/technology	Veicot interaktīvu izstrādi, jums jāpārvērtē savi pieņēmumi par producēšanu plašsaziņas līdzekļu jomā un jāiemācās domāt nelineāri.	"The provided text is not a news article. It seems to be a statement or advice about interactive development in media production. Therefore, it cannot be categorized under ""science/technology, travel, politics, sports, health or geography""."
6	1557	science/technology	Tā kļuva par ierastu praksi, bet dzelzs izraisīja lielāku vagonu koka riteņu nodilumu.	"This piece of news seems to be related to ""science/technology"", as it discusses the impact of iron on the wear of wooden wagon wheels, which is a technical or mechanical issue. However, without more context, it's hard to definitively categorize it."
7	1360	science/technology	Baru veido viens līdz trīs radniecīgi pieauguši tēviņi un līdz pat trīsdesmit mātītēm un mazuļiem.	I'm sorry, but the text you provided is not in English and doesn't contain enough context for me to categorize it. Could you please provide more information or translate the text into English?
8	1675	science/technology	Lai arī mākslīgais intelekts tiek lielā mērā saistīts ar zinātnisko fantastiku, tas ir ārkārtīgi svarīgs datorzinātnes virziens, kas pēta tehnoloģiju izturēšanos, mācīšanos un inteliģentu pielāgošanos.	This news article is regarding science/technology.
9	1430	science/technology	Tāpēc šī formāta malu attiecība (dalot ar divpadsmit, lai iegūtu vienkāršāko veselo skaitļu attiecību) ir 3:2.	As an AI, I'm unable to directly analyze the content you provided as it seems to be a statement about aspect ratio, which could potentially relate to technology. However, without further context or details, it's challenging to accurately categorize this information. Could you please provide more details or context?
10	1907	science/technology	Satelīttālrunis nav gluži tas pats, kas mobilais tālrunis, jo zvana veikšanai nepieciešams atrasties ārā un tiešā līnijā pret satelītu.	"This news article is related to ""science/technology""."
11	1555	science/technology	Lai arī zirgu dzelzceļš sastāvēja tikai no paralēli novietotiem koka dēļiem, tie ļāva vilcējzirgiem sasniegt lielāku ātrumu un vilkt lielākas kravas nekā pa tā laika grumbuļainajiem ceļiem.	"This news piece seems to be related to ""travel"" or ""history"", as it discusses the use of horse railways. However, without more context, it's hard to categorize it definitively."
12	1632	science/technology	Cilvēki ir pazinuši tādus ķīmiskos pamatelementus kā zelts, sudrabs un varš jau no seniem laikiem, jo tie visi ir atrodami dabā brīvā veidā un ir relatīvi viegli izrokami ar primitīviem rīkiem.	"This news article can be categorized under ""science/technology""."
13	1354	science/technology	Ritenis ir mainījis pasauli neticamos veidos. Lielākais, ko ritenis mūsu labā ir izdarījis - tas mums nodrošina daudz vienkāršāku un ātrāku pārvadāšanu.	"This news article can be categorized under ""science/technology""."
14	462	science/technology	Tas tiek darīts, lai nodrošinātu, ka attēls aptver visu ekrānu. To sauc par attēla izvērsi.	"Based on the provided text, it's difficult to categorize the news article as it does not provide enough context or information about any specific topic such as science/technology, travel, politics, sports, health, or geography. It seems to be discussing a technical aspect of image display, so it could potentially fall under ""science/technology"", but more context is needed for a definitive categorization."
15	404	science/technology	"Vācu zemūdenes tika sauktas par ""U-Boats"". Vācieši lieliski prata vadīt un izmantot savas zemūdenes."	This news piece seems to be related to history or military. However, without more specific information, it's difficult to categorize it under the provided categories (science/technology, travel, politics, sports, health, or geography).
16	604	science/technology	Lai arī tā fizikālais stāvoklis var mainīties, tā ķīmiskais sastāvs paliek nemainīgs.	"The provided text is in Latvian and translates to ""Although its physical state may change, its chemical composition remains unchanged."" This seems to be related to science/technology, specifically chemistry or physics."
17	352	science/technology	Virsmas spraigums notiek tāpēc, ka ūdens molekulas ūdens virsmā spēcīgi pievelkas viena otrai, vairāk nekā gaisa molekulām virs tām.	"This news piece seems to be related to ""Science/Technology"", as it discusses the properties of water molecules, which falls under the field of physics and chemistry."
18	459	science/technology	Viena no izplatītākajām problēmām, mēģinot filmu pārveidot DVD formātā, ir attēla izvērse.	"This news piece falls under the category of ""science/technology""."
19	1519	science/technology	Jo īpaši tiek apgalvots, ka cilvēks var noteikt, vai kāds melo, pareizi izprotot sejas mikroizteiksmes.	This piece of news regards science/technology.
20	1338	science/technology	Zeltu var izliet visu veidu formās. To var izrullēt pat ļoti sīkās formās.	As an AI, I'm unable to understand the content of the text you provided as it is not in English. Could you please provide an English translation or context?
21	1679	science/technology	AI sistēmu tagad bieži izmanto ekonomikas, medicīnas, inženierzinātņu un militārajā jomā, kā arī tā ir iebūvēta vairākās mājas datoru un videospēļu programmatūras lietojumprogrammās.	"This news article falls under the category of ""science/technology""."
22	1428	science/technology	Tas  joprojām tiek ražots, bet svarīgāk, ka tā attēla proporcijas tagad izmanto digitālo kameru attēlu sensoru formātos.	"This piece of news seems to be related to ""Science/Technology"" as it discusses digital camera image sensor formats."
23	1432	science/technology	Daudz izkropļotais un bieži izsmietais trešo daļu likums ir vienkārša vadlīnija, kas rada dinamiku, vienlaikus saglabājot attēla kārtību.	I'm sorry, but the text you provided is in Latvian and doesn't seem to be a news article. Could you please provide more context or a specific news article for me to categorize?
24	1024	science/technology	Tas ne tikai apstiprina, ka vismaz dažiem dinozauriem bija spalvas, šī teorija jau bija plaši izplatīta, bet arī sniedz informāciju, ko fosilijas vispārīgi nevar, piemēram, krāsu un trīsdimensiju izvietojumu.	"This news article seems to be related to ""Science/Technology"", as it discusses topics related to dinosaurs and fossils."
25	373	science/technology	Kā Īo gravitācija mani ietekmētu? Ja tu stāvētu uz Īo virsmas, tu svērtu mazāk nekā uz Zemes.	"This piece of news can be categorized under ""Science/Technology"" as it discusses gravitational effects on Io, one of Jupiter's moons."
26	1332	science/technology	„NextGen” ir sistēma, kura, pēc FAA teiktā, ļautu lidmašīnai lidot īsākus maršrutus un katru gadu ietaupīt miljoniem galonu degvielas, kā arī samazināt oglekļa emisiju.	This news article is regarding science/technology.
27	1670	science/technology	Neirobioloģiskie dati sniedz fizisku pierādījumu izzināšanas spēju izpētes teorētiskajai pieejai. Tādēļ tā sašaurina izpētes jomu un padara to precīzāku.	"The text appears to be in Latvian and seems to be discussing a topic related to ""science/technology"", specifically in the field of neurobiology. However, without further context or a full translation, it's difficult to categorize it with complete certainty."
28	61	science/technology	"Savā 2 stundu ilgajā runā viņš norādīja, ka ""šobrīd ""Apple"" no jauna izgudros tālruni. Mēs ierakstīsim šo brīdi vēsturē""."	"This news article would be categorized under ""Science/Technology"" as it discusses Apple, a technology company, reinventing the phone."
29	454	science/technology	Tālummaiņas objektīvu trūkums ir tāds, ka fokusa sarežģītība un objektīvu elementu skaits, kas nepieciešami fokusa attāluma diapazona sasniegšanai, ir daudz lielāks nekā pamata objektīviem.	"This text appears to be in Latvian and discusses technical aspects of lenses, which could be categorized under ""Science/Technology""."
30	1234	science/technology	Vadāmierīce līdzinās televizora tālvadības pultij, un tā izmanto divus lietotāja televizora tuvumā novietotus sensorus, lai triangulētu savu pozīciju trīsdimensiju telpā.	"This news piece is regarding ""science/technology""."
31	1025	science/technology	. Zinātnieki saka, ka šī dzīvnieka apspalvojums augšpusē bija kastaņbrūnā krāsā, bet apakšpusē — karotinoīdu krāsās.	"This news piece seems to be related to ""Science/Technology"" as it discusses something about animal characteristics which is a topic in biology, a branch of science."
32	1254	science/technology	Divi savienojumi reaģē viens ar otru, veidojot kristālus, kas var bloķēt nieru darbību, sacīja universitātes pētnieki.	"This piece of news seems to be related to ""science/technology"" or ""health"" as it discusses a scientific research about kidney function."
33	780	science/technology	Tādējādi izšķirtspēja ir gandrīz četrreiz lielāka par 35 mm negatīvu (3136 mm2 pret 864).	The provided text seems to be related to measurements or specifications, possibly related to technology or science. However, the text is not clear enough to categorize it definitively. Could you please provide more context or details?
34	649	science/technology	Pateicoties zemūdens optisko kabeļu savienojumiem ar Eiropu un platjoslas satelītam, Grenlandē labi sakari ir ar 93% iedzīvotāju, kuriem ir piekļuve internetam.	"This news article can be categorized under ""science/technology""."
35	917	science/technology	Viena no izcilākajām šīs kategorijas lietotnēm ir „Google Translate”, kurā pēc vajadzīgās valodas datu lejupielādes iespējams tulkot bezsaistē.	"This piece of news can be categorized under ""science/technology""."
36	603	science/technology	Tam ir vienāda molekulārā struktūra gāzveida, šķidruma un cietā formā.	"This news article seems to be related to ""Science/Technology"" as it discusses molecular structures, which is a topic in Chemistry, a branch of Science."
37	1518	science/technology	Videoierakstu izmantošana ir novedusi pie svarīgiem atklājumiem mikro izteiksmju - sejas kustību, kas ilgst dažas milisekundes - interpretācijā.	"This news article falls under the category of ""science/technology""."
38	584	science/technology	Cilvēki jau tūkstošiem gadu izgatavo un izmanto palielināmos stiklus.	"This piece of news seems to be related to ""science/technology"" as it talks about the manufacture and use of magnifying glasses, which falls under the category of technology and its historical development."
39	1589	science/technology	Pastāv arī  eksperimentēšana, un eksperiments ir tests, kas tiek izmantots, lai izslēgtu vienu vai vairākas iespējamās hipotēzes. Jautājumu uzdošana un novērojumi arī var virzīt zinātnisko pētniecību.	"This piece of news seems to be related to ""science/technology"" as it discusses experimentation, hypotheses, and scientific research."
40	1558	science/technology	Galu galā koka riteņi tika nomainīti ar dzelzs riteņiem. 1767. gadā tika ieviestas pirmās pilnībā no dzelzs izgatavotās sliedes.	"This news piece seems to be related to ""science/technology"" as it discusses the evolution of wheel materials and the introduction of iron-made rails."
41	922	science/technology	Lai gan lielāko daļu karšu var izmantot zvanīšanai uz jebkuru valsti, dažām kartēm tiek piedāvāti izdevīgi tarifi zvanīšanai uz noteiktām valstu grupām.	"This piece of news seems to be related to ""Travel"", as it discusses international calling rates which are often associated with travel. However, without more context, it's hard to definitively categorize it."
42	1981	science/technology	Vairums izpētei paredzēto mūsdienu teleskopu ir milzīgas ēkas, kas atrodas attālos rajonos ar labvēlīgiem atmosfēras apstākļiem.	This piece of news is regarding science/technology.
43	351	science/technology	Tērauda adata peld pa ūdens virsmu virsmas spraiguma dēļ.	"This piece of news seems to be related to ""science/technology"", as it discusses a physical phenomenon (surface tension)."
44	1429	science/technology	35 mm formāts patiesībā, nedaudz mulsinoši, ir 36 mm platumā un 24 mm augstumā.	"This piece of news seems to be related to ""science/technology"", as it discusses the dimensions of a 35mm format, which is typically associated with photography and film technology."
45	578	science/technology	"Šūnas ir būtiski pamatelementi dzīvu būtņu pētniecībā, ka patiesība tās bieži vien sauc par ""dzīvības pamatsastāvdaļām""."	"This news piece seems to be related to ""science/technology"" as it discusses elements vital in the research of living beings."
46	905	science/technology	Personīgā VPN (virtuāls privāts tīkls) nodrošinātāji ir izcils veids, kā apiet gan politisko cenzūru, gan IP filtrēšanu pēc ģeogrāfiskās atrašanās vietas komerciālos nolūkos.	"This piece of news can be categorized under ""science/technology""."
47	264	science/technology	Stacija saglabāja savu attieksmi līdz iziešanas kosmosā beigām, neskatoties uz žiroskopa pazaudēšanu agrāk kosmosa stacijas misijā.	"This piece of news seems to be regarding ""science/technology""."
48	628	science/technology	Cilvēkiem ar šāda veida domāšanu piemīt loģiskā domāšana, un viņi spēj iegaumēt modeļus, risināt problēmas un strādāt pie zinātniskiem izmēģinājumiem.	"This piece of news seems to be related to ""science/technology"" as it mentions logical thinking, memorizing patterns, problem-solving, and working on scientific experiments."
49	1366	science/technology	Ocelotiem patīk ēst mazus dzīvniekus. Ja ir iespēja, viņi ķer pērtiķus, čūskas, grauzējus un putnus. Gandrīz visi dzīvnieki, kurus medī ocelots, ir daudz mazāki par viņu pašu.	"This news piece seems to be related to ""science/technology"" as it discusses the eating habits of ocelots, a type of wild cat. It could be categorized under wildlife or animal behavior."
50	779	science/technology	Dažām vidēja formāta filmu kamerām ir 6 x6 cm formāts, precīzāk, 56 x 56 mm negatīvs.	"This piece of news seems to be related to ""science/technology"", as it discusses the technical aspects of medium format film cameras."
51	1874	travel	Ceļotājiem ir ļoti ieteicams apzināties jebkādu bargu laikapstākļu risku, kas ietekmē teritoriju, jo tie var ietekmēt visus ceļojuma plānus.	"This news article is regarding ""travel""."
52	1734	travel	Autobusi atiet no starppilsētu autobusu stacijas (otrpus upei) visas dienas garumā, taču vairums, jo īpaši austrumu virziena un Džakāras/Bumtangas maršrutos, atiet laikā no plkst. 06:30 līdz 07:30.	"This piece of news seems to be related to ""travel"" as it mentions bus schedules and routes."
53	1840	travel	Tie nodrošina lielāku jātnieka stabilitāti, bet var radīt bažas par drošību, jo jātnieka kājas var tajos iestrēgt.	This news piece seems to be related to sports, specifically equestrian sports or horse riding.
54	1919	travel	Vairākumā atšķirīgo Baltijas jūras kruīzu ir ietverta pagarināta uzturēšanās Sanktpēterburgā, Krievijā.	"This piece of news can be categorized under ""Travel""."
55	828	travel	Padomā tiek pieņemts, ka ceļotāji nezog, nepārkāpj, nepiedalās nelegālajā tirgū, nelūdz un kā citādi neizmanto citus cilvēkus sava labuma gūšanai.	"This piece of news seems to be related to ""Travel""."
56	818	travel	Pirms ceļošanas un tās laikā jums ir jāņem vērā daudzas lietas.	"This piece of news seems to be related to ""Travel""."
57	978	travel	Dienas karstajā laikā ceļotāji var redzēt mirāžu, kas rada ūdens (vai citu lietu) ilūziju.	"This news article can be categorized under ""Travel"" and ""Geography""."
58	765	travel	Ģimenes ar bērniem ir ļoti reta parādība, taču daži hosteļi ļauj tiem apmesties privātās istabās.	"This piece of news seems to be related to ""travel""."
59	1992	travel	Piemēram, apmeklēt pilis Luāras ielejā, Reinas ielejā vai doties kruīza izbraucienā uz interesantām vietām pa Donavu vai braukt ar kuģīti pa Erijas kanālu.	"This news article seems to be related to ""Travel""."
60	823	travel	Varētu būt noderīgāk izmantot aģentu, kas bieži pasūta jūsu braucienam līdzīgus braucienus.	"This piece of news seems to be related to ""Travel""."
61	762	travel	Couchsurfing platforma tika izveidota 2004. gada janvārī pēc tam, kad datorprogrammētājs Keisijs Fentons atrada lētu lidojumu uz Islandi, taču viņam nebija, kur apmesties.	"This news article falls under the category of ""Travel"" and ""Science/Technology""."
62	932	travel	Studentu vīzām parasti ir atšķirīgas prasības un pieteikšanās kārtība nekā parastajām tūrisma vai biznesa vīzām.	"This piece of news seems to be related to ""Travel"", as it discusses student visas, which are typically associated with international travel for education."
63	678	travel	Katrai valstij ir arī savi unikāli likumi, kuri nosaka, kādiem ārkārtas situācijas priekšmetiem ir jāatrodas automašīnā.	"This news piece seems to be related to ""travel"" as it discusses laws regarding emergency items in vehicles, which is relevant to travel and transportation."
64	822	travel	Lai arī vairums aģentūru labprāt pieņem izplatītākos pasūtījumus, daudzi aģenti specializējas konkrētos ceļojumu veidos un piedāvā ceļojumus noteiktu budžetu ietvaros vai uz noteiktiem galamērķiem.	"This piece of news appears to be related to ""Travel""."
65	1820	travel	Ceļotāji var saskarties ar dzīvnieku parazītiem, kuri viņiem nav zināmi viņu dzimtajos reģionos.	"This news article can be categorized under ""Travel"" and ""Health""."
66	1947	travel	Tālāk uz ziemeļiem apmeklējiet arī Dievmātes sanktuāriju Fatimas pilsētā (svētnīcu), kas ir slavena visā pasaulē ar Jaunavas Marijas parādīšanos.	"This piece of news seems to be related to ""Travel"" as it mentions visiting a location, specifically the Sanctuary of Our Lady of Fatima in the city of Fatima. However, without more context, it's hard to definitively categorize it."
67	1713	travel	Lai pārvietotos pa Gomu, varat izmantot „boda-boda” (motociklu taksometrs). Parastā (vietējā) cena par īsu braucienu ir aptuveni 500 Kongo franki.	"This piece of news can be categorized under ""travel""."
68	731	travel	"Tiem, kam patīk aktivitātes brīvajā dabā, noteikti jāizmēģina dabas takas kalnu pārejas reģionā ""Sea to Sky""."	"This news article can be categorized under ""travel"" as it talks about outdoor activities in the ""Sea to Sky"" mountain pass region."
69	1808	travel	"Safari gājiens (ko sauc arī par ""krūmu gājienu"", ""safari pārgājienu"" vai iešanu ""ar kājām"") ir pārgājiens, kas var ilgt no dažām stundām līdz pat vairākām dienām."	"This news article can be categorized under ""travel""."
70	1929	travel	Vienīgais veids, kā ātrāk to nokārtot, bija nosūtīt to kā reģistrētu bagāžu. Aviokompānijas noteikumi neļaus viņiem sūtīt bagāžu bez pasažiera, tad jums vajadzēs iesaistīties.	"This piece of news seems to be related to ""travel"", as it discusses topics related to airlines and luggage."
71	131	travel	Iegādājoties papildu 300 vagonus, pavisam kopā būs 1300, tādējādi mazinot pasažieru pārpildītību.	"This news article seems to be related to ""Travel"", as it mentions the purchase of additional wagons to reduce passenger overcrowding, which is a transportation issue. However, without more context, it's hard to be certain."
72	814	travel	Ģimenēm ar maziem bērniem var būt nepieciešama lielāka sagatavošanās, taču dienu brīvā dabā var viegli pavadīt pat ar zīdaiņiem vai pirmsskolas bērniem.	This piece of news does not seem to fall under the categories of science/technology, travel, politics, sports, health, or geography. It appears to be related to family or lifestyle.
73	1799	travel	Ikvienam, kurš grasās vadīt transportlīdzekli polārajos rajonos vai pār kalnu pārejām, jāņem vērā sniega, ledus vai stindzinošu temperatūru iespējamība.	"This news article falls under the category of ""Geography"" as it discusses conditions related to specific geographical locations such as polar regions and mountain passes."
74	1715	travel	Mūsdienās Timbuktu ir nabadzīga pilsēta, lai gan tās reputācija padara to par tūristus piesaistošu objektu un tai ir lidosta.	"This news piece is related to ""travel"" and ""geography""."
75	1801	travel	Sniegavētrās pavisam īsā laika var uzsnigt tik daudz sniega, kas var radīt sastrēgumu.	This piece of news seems to be related to geography or weather conditions, as it talks about snowstorms. However, without more context, it's hard to categorize it definitively.
76	957	travel	Ja vēlaties aplidot apkārt pasaulei tikai dienvidu puslodē, ir ierobežota reisu un galamērķu izvēle, jo nav maršrutu pāri okeānam.	"This news article can be categorized under ""Travel"" and ""Geography""."
77	953	travel	"Vairākas aviokompānijas, piemēram, ""Emirates"", ""Etihad Airways"", ""Qatar Airways"" un ""Turkish Airlines"" ir ievērojami paplašinājušas savus maršrutus uz Āfriku un piedāvā reisus uz daudzām lielākajām Āfrikas pilsētām par daudz izdevīgākām cenām nekā citas Eiropas valstu aviolīnijas."	"This news article can be categorized under ""Travel""."
78	1334	travel	Netiek plānota papildu transportlīdzekļu pievienošana, virszemes vilcieni pie Vemblija stadiona neapstāsies, bet autostāvvietas un „novieto un brauc” iespējas šajā vietā nebūs pieejamas.	"This news article seems to be related to ""travel"" as it discusses transportation and parking issues."
79	931	travel	Parasti, lai uzturētos citā valstī ilgstoši, iepriekš jāsaņem vīza.	"This piece of news can be categorized under ""Travel""."
80	855	travel	"Ikvienam vilcienam ir gan ""MetroPlus"", gan ""Metro"" vagoni. ""MetroPlus"" vagoni vienmēr atrodas vilciena galā tuvāk Keiptaunai."	"This piece of news seems to be related to ""travel"" as it discusses trains and their arrangement."
81	1607	travel	Ikviens ir sabiedrības daļa un piedalās transporta sistēmās. Gandrīz ikviens sūdzas par transporta sistēmām.	"This news piece seems to be related to ""travel"", as it discusses transportation systems."
82	2004	travel	Tā kā šīs teritorijas nav blīvi apdzīvotas un līdz ar to gaismas piesārņojums bieži vien nerada problēmu, jūs varēsiet arī lūkoties zvaigznēs.	"This news article seems to be related to ""travel"" and possibly ""science/technology"" due to the mention of stargazing, which could be considered an aspect of astronomy."
83	677	travel	Vīzu prasības un izmaksas dažādās valstīs ir atšķirīgas, un tās ietekmē tas, no kuras valsts esat.	"This news article can be categorized under ""Travel""."
84	1932	travel	Būtībā nav nozīmes pat meklēt atlaides biznesa vai pirmās klases sēdvietām tiešajos lidojumos no A uz B.	"This news article would fall under the category of ""travel""."
85	846	travel	Bumeranga mešana ir populāra prasme, ko vēlas apgūt daudzi tūristi.	"This piece of news can be categorized under ""Travel""."
86	960	travel	Šis lidojums nav vienīgā iespēja, ja vēlaties izlaist Klusā okeāna dienvidu daļu un Dienvidamerikas rietumu krastu. (skatīt zemāk)	"This news article is related to ""Travel""."
87	662	travel	Sanfrancisko ir plaši attīstīta tūrisma infrastruktūra, kurā ietilpst daudz viesnīcu, restorānu un augstākā līmeņa ēku sanāksmju rīkošanai.	"This news article can be categorized under ""Travel""."
88	942	travel	Brīvprātīgais darbs ceļojuma laikā ir lielisks veids, kā kaut ko mainīt, bet runa nav tikai par došanu.	"This piece of news seems to be related to ""Travel""."
89	1894	travel	Cilvēki var nenojaust, ka arī ceļotājiem, kuri atgriežas mājās, ir nepieciešama pacietība un sapratne.	"This news article is related to ""travel""."
90	956	travel	Neaizmirstiet pierēķināt papildu izmaksas par papildu vīzām, izlidošanas nodokļiem, sauszemes transportu u.c. visās vietās ārpus Āfrikas.	"This piece of news seems to be related to ""Travel""."
91	1172	politics	Vairāki Biškekas iedzīvotāji nelikumībās vainoja protestētājus, kas bija ieradušies no dienvidiem.	As an AI, I'm unable to understand Latvian. Could you please provide the text in English so I can categorize it properly?
92	433	politics	Beļģijas tagadējās daļas senāk piederēja Luksemburgai, taču tika pievienotas Beļģijai pēc 1830. gadu revolūcijas.	"This news article is related to ""Geography"" and possibly ""Politics"", as it discusses territorial changes between countries."
93	1162	politics	Kopš 1988. gada vēlēšanu urnām ir jābūt caurspīdīgām, lai vēlētāji un novērotāji var apliecināt, ka vēlēšanu sākumā tajās nav nevienas aploksnes un ka netiek pievienotas nekādas citas aploksnes, izņemot pienācīgi reģistrēto un pilnvaroto vēlētāju aploksnes.	"This news article is related to ""Politics""."
94	1320	politics	Premjerministra vietas izpildītāja Džūlija Gilarde 2010. gada federālo vēlēšanu kampaņas laikā apgalvoja, ka, viņasprāt, pēc Karalienes Elizabetes II valdīšanas beigām Austrālijai būtu jākļūst par republiku.	This news article is related to politics.
95	181	politics	Situācijas labošanai Īrijas valdība uzsver parlamentārās likumdošanas steidzamību.	"This news piece seems to be related to ""politics"" as it mentions the government and parliamentary legislation. However, without more context, it's hard to be certain."
96	963	politics	Diplomātiskie strīdi attiecībā par šo reģionu joprojām bojā attiecības starp Armēniju un Azerbaidžānu.	This news piece is regarding politics.
97	1068	politics	Otrdien pēc 25 minūšu ilgas tikšanās savā birojā ar Jaunās demokrātiskās partijas (NDP) vadītāju Džeku Leitonu premjerministrs Stīvens Hārpers piekrita valdības Likumu par tīru gaisu nosūtīt komitejai, kurā ietilpst visas partijas, lai tā to izskatītu pirms otrā lasījuma.	This news article is regarding politics.
98	284	politics	Pagājušajā mēnesī, kad valsts parakstīja ACTA līgumu, Polijā norisinājās lieli protesti, tādēļ Polijas valdība nolēma šo līgumu pagaidām neratificēt.	This news article is regarding politics.
99	1868	politics	Ceļveži sniedz tikai īsu apkopojumu par politisko situāciju vienā valstī.	"This news article can be categorized under ""Politics"" and ""Travel""."
100	1015	politics	1976. gada vēlēšanās viņš konsultēja Kārteru par ārpolitiku; pēc tam no 1977. līdz 1981. gadam no viņš ieņēma nacionālās drošības padomnieka (NSA) amatu, pārņemot Henrija Kisingera pienākumus.	"This news piece seems to be related to ""Politics"" as it discusses about elections, foreign policy consultation, and a position in national security."
101	1023	politics	Turcija pārņems arī sagūstīto ISIS kaujinieku apsargāšanu, kurus, kā teikts paziņojumā, Eiropas valstis ir atteikušās repatriēt.	"This news article is related to ""Politics""."
102	1545	politics	Tomēr šie plāni morāli novecoja gandrīz vai dienas laikā, kad ieradās vairāk nekā 800 000 Padomju Savienības Sarkanās Armijas karavīru un izveidoja Baltkrievijas un Ukrainas frontes pēc tam, kad bija okupējuši Polijas austrumu reģionus, pārkāpjot Rīgas miera līgumu, Padomju-Polijas neagresijas paktu un citus starptautiskos divpusējos un daudzpusējos līgumus.	"This news article is regarding ""politics"" or ""geography"" as it discusses historical events involving different countries and political agreements."
103	300	politics	Procesam beidzoties, HJR-3 atkārtoti izskatīs nākamā ievēlētā likumdevēja vara 2015. vai 2016. gadā, lai tā arī turpmāk tiktu iesaistīta procesā.	As an AI, I am unable to understand the content of the text as it is not in English. Please provide an English translation so I can categorize it properly.
