index_id	category	text
797	technology	अगर लैपटॉप या टैबलेट का साथे यात्रा करत अहैं, तो एके मेमोरी या डिस्क मा एक कॉपी स्टोर करैं (इंटरनेट का बिना सुलभ)।
830	travel	कुछ क्रॉस-बॉर्डर ट्रेन मा चलती ट्रेन मा निरीक्षण करा जाथे अउर ऊ ट्रेन मा से कऊनो मा भी चढ़त का आपके पास वैध आईडी होए का चाही।
150	business	सर रिचर्ड ब्रैनसन का वर्जिन ग्रुप वाले बैंक का राष्ट्रीयकरण से पहिले बैंक का लिए एक बोली खारिज कई दिहिन रहा।
1806	travel	कुछ जानवर, जइसे हाथी अउर जिराफ, कार का करीब आवथीं अउर मानक उपकरण का मदद से इनका अच्छे से देखा जाए सकथे।
902	disasters	बवंडर बहुत ही कम दबाव वाली हवा का एक घूमत स्तंभ होत है। जऊन अपने आसपास की हवा का अंदर अऊर ऊपर की ओर खींचत है।
1225	sports	डेल पोत्रो का दुसरे सेट मा शुरुआती बढ़त मिली रही लेकिन एकरे लिए भी 6-6 से बराबरी करय का बादो उन्हयं टाई ब्रेक की जरूरत परी।
1342	science	गोभी का रस कितना अम्लीय या क्षारीय (क्षारीय) अहै, रसायन एके आधार पर रंग बदलथे।
1959	nature	प्लिटविस झील राष्ट्रीय उद्यान मुख्य रूप से बीच, स्प्रूस अऊर देवदार का पेड़न का साथ भारी वनाच्छादित है। एकर विशेषता अल्पाइन अऊर भूमध्यसागरीय वनस्पति का मिश्रण है।
341	business	"वैश्विक वित्तीय स्थिति का बारे मा, ज़ापटेरो ई कहिन की ""वित्तीय प्रणाली अर्थव्यवस्था का एक हिस्सा अहै, एक महत्वपूर्ण हिस्सा अहै।"
352	science	पृष्ठ तनाव ई लिए होथे काहे की पानी का सतह पे पानी का अणु अपने ऊपर हवा का अणु का तुलना मा एक दूसरे का प्रति जादा आकर्षित होथीं।
448	nature	हर साल अक्टूबर का आसपास लगभग 1.5 मिलियन शाकाहारी लोग बारिश खातिर उत्तरी पहाड़ी से मारा नदी का पार कई का दक्षिणी मैदान का ओर जाथीं।
386	politics	किंग सेजोंग जोसियन राजवंश का चौथे राजा रहें अउर सबसे उच्च माने जाए वालेन मा से एक अहैं।
1438	religion	चर्च के केंद्रीय अधिकार रोम मा एक हजार से भी जादा साल तक रहा। इतनी जादा शक्ति अउर धन का कारण कई लोगन इ सवाल करै लागेन कि, का इ सिद्धांत पूरा होत रहा।
394	politics	"मगर रॉयल नेवी अबेव जर्मन नौसेना (""क्रेग्समारिन"") का तुलना मा बहुत मजबूत रही अउर इंग्लिश चैनल पर भेजे गए कउनो भी आक्रमण बेड़े का नष्ट कई सकत रही।"
1977	education	कहय की जरूरत नाही है, अगर आप रोमांस का भाषा जानत हैं त आपके लिए पुर्तगाली सीखब आसान होई जाई।
1719	nature	क्रूगर नेशनल पार्क (केएनपी) दक्षिण अफ्रीका का उत्तर-पूर्व मा स्थित है। इ पूर्व मा मोज़ाम्बिक की सीमा का किनारे तक , उत्तर मा ज़िम्बाब्वे की सीमा तक फईला है अऊर दक्षिणी सीमा मगरमच्छ नदी है।
29	crime	इराक की अबू ग़रेब जेल का दंगे का समय आग लगाई दिया गवा।
